#TSV
#============Begin of sheet============
@Sheet=PlayerAttackData
ID	TagID	Type	TAG	备注	AttackName	AttackInfo	DamageNumberM	PiyoM	StaminaM	BalanceM	Damage_LevelM	Damage_Level_NumberM	Damage_PowerM	Damage_Dir_useM	Damage_DirM	Fire_AtkM	Water_AtkM	Dragon_AtkM	Electric_AtkM	Ice_AtkM	CutM	Cut_ValueM	HanmmerM	Hammer_ValueM	ShootM	Shoot_ValueM	HitTypeM	HitType_ValueM	ScarM	BuffMID1	BuffMID2	StateBuffM	SpecAttackM1	SpecValueM1	SpecAttackM2	SpecValueM2	SpecAttackM3	SpecValueM3	SpecAttackM4	SpecValueM4	DamageNumberP	PiyoP	StaminaP	Damage_LevelFriendP	Damage_LevelP	Damage_Level_NumberP	Damage_PowerP	Check_Enhance_Defense	Attack_LevelFriendP	Attack_LevelP	Damage_Dir_useP	Damage_DirP	Fire_AtkP	Water_AtkP	Dragon_AtkP	Electric_AtkP	Ice_AtkP	CutP	Cut_ValueP	HanmmerP	Hammer_ValueP	ShootP	Shoot_ValueP	HitTypeP	IgnoreDefense	HitType_ValueP	HitType_Friend	ScarP	BuffPID1	BuffPID2	BuffAsyncP	StateBuffP	SpecAttackP1	SpecValueP1	SpecAttackP2	SpecValueP2	SpecAttackP3	SpecValueP3	SpecAttackP4	SpecValueP4	IgnoreDefenceDirCheck
0	10000001	1		通用	defaultAttack		0	0	0	0	0	0	0	0	0,0,0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0										0	0	0	2	0	0	0		5	5	5	0,0,0	0	0	0	0	0	0	0	0	0	0	0	0				0	0	0											
1	10000002	1		通用	FlashAttack		0	0	0	0	0	0	0	0	0,0,0	0	0	0	0	0	0	0	0	0	0	1	0	100	0	11009	0		闪光弹	1							0	0	0	2	0	0	0		5	9	5	0,0,0	0	0	0	0	0	0	0	0	0	0	0	0				0	0	0		60009	闪光弹	1							
2	10000003	1		通用	VoiceAttack		0	0	0	0	0	0	0	0	0,0,0	0	0	0	0	0	0	0	0	0	0	1	0	100	0	70008	0		音爆弹	1							0	0	0	2	0	0	0		5	9	5	0,0,0	0	0	0	0	0	0	0	0	0	0	0	0				0	0	0		60015	音爆弹	1							
3	10000004	1		通用	Knife		1	0	0	0	0	0	10	0	0,0,0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0										1	0	0	2	16	0	0		5	5	5	0,0,0	0	0	0	0	0	0	0	0	0	0	0	0				0	0	0											
4	10000005	1		通用	sleepKnife		1	0	0	0	0	0	0	0	0,0,0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0		眠积蓄	400							1	0	0	2	16	0	0		5	5	5	0,0,0	0	0	0	0	0	0	0	0	0	0	0	0				0	0	0											
5	10000006	1		通用	posionKnife		1	0	0	0	0	0	0	0	0,0,0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0		毒积蓄	300							1	0	0	2	16	0	0		5	5	5	0,0,0	0	0	0	0	0	0	0	0	0	0	0	0				0	0	0											
6	10000007	1		通用	paralysisKnife		1	0	0	0	0	0	0	0	0,0,0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0		麻积蓄	400							1	0	0	2	16	0	0		5	5	5	0,0,0	0	0	0	0	0	0	0	0	0	0	0	0				0	0	0											
7	10000008	1		通用	SmallBarrel		200	0	0	0	0	0	71	0	0,0,0	0	0	0	0	0	0	0	0	0	0	1	0	200	0	0	0										5	0	0	22	22	0	0		5	5	5	0,0,0	0	0	0	0	0	0	0	0	0	0	0	0		100	2	0	0	0											
8	10000009	1		通用	BigBarrel		600	0	0	0	0	0	71	0	0,0,0	0	0	0	0	0	0	0	0	0	0	1	0	200	0	0	0										25	0	0	22	22	0	0		22	22	5	0,0,0	0	0	0	0	0	0	0	0	0	0	0	0		100	3	0	0	0											
9	10000010	1		通用	FlyBarrel	FlyBarrel	150	0	0	0	0	0	71	0	0,0,0	0	0	0	0	0	0	0	0	0	0	1	0	200	0	0	0										0.01	0	0	2	16	0	0		5	5	5	0,0,0	0	0	0	0	0	0	0	0	0	0	0	0				0	0	0											
10	10000011	1		通用	ColorGrenade		1	0	0	0	0	0	0	0	0,0,0	0	0	0	0	0	0	0	0	0	0	1	0	100	0	11004	0										0.001	0	0	2	16	0	0		5	5	5	0,0,0	0	0	0	0	0	0	0	0	0	0	0	0				0	0	0											
11	10000012	1		通用	BeeJade		1	0	0	0	0	0	0	0	0,0,0	0	0	0	0	0	0	0	0	0	0	1	0	100	0	11005	0										0.001	0	0	2	16	0	0		5	5	5	0,0,0	0	0	0	0	0	0	0	0	0	0	0	0				0	0	0											
12	10000013	1		通用	SleepFresh		0	0	0	0	0	0	0	0	0,0,0	0	0	0	0	0	1	0	0	0	0	0	0	100	0	0	0		眠积蓄	2000							1	0	0	2	16	0	0		5	5	5	0,0,0	0	0	0	0	0	0	0	0	0	0	0	0				0	0	0			眠积蓄	1000							
13	10000014	1		通用	PoisonFresh		0	0	0	0	0	0	0	0	0,0,0	0	0	0	0	0	1	0	0	0	0	0	0	100	0	0	0		毒积蓄	3000							1	0	0	2	16	0	0		5	5	5	0,0,0	0	0	0	0	0	0	0	0	0	0	0	0				0	0	0			毒积蓄	1000							
14	10000015	1		通用	ParalysisFresh		0	0	0	0	0	0	0	0	0,0,0	0	0	0	0	0	1	0	0	0	0	0	0	100	0	0	0		麻积蓄	3000							1	0	0	2	16	0	0		5	5	5	0,0,0	0	0	0	0	0	0	0	0	0	0	0	0				0	0	0			麻积蓄	1000							
15	10000016	1		通用	CatchJade		0	0	0	0	0	0	0	0	0,0,0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0		捕获积蓄	100							0	0	0	2	16	0	0		5	5	5	0,0,0	0	0	0	0	0	0	0	0	0	0	0	0				0	0	0											
16	10000017	1		通用	BlastFruit		0.1	0	0	0	1	0	0	0	0,0,0	0	0	0	0	0	0	0	0	0	1	0	0	100	0	20000309	0		爆裂								0	0	0	2	16	0	0		5	5	5	0,0,0	0	0	0	0	0	0	0	0	0	0	0	0				0	0	0											
17	10000018	1		通用	Boomerangs		3	0	0	0	0	0	10	0	0,0,0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0										1	0	0	2	16	0	0		5	5	5	0,0,0	0	0	0	0	0	0	0	0	0	0	0	0				0	0	0											
18	10000019	1		通用	MuTianLuoBaoDan		0	0	0	0	0	0	10	0	0,0,0	0	0	0	0	0	0	0	0	0	1	0	0	100	0	0	0										1	0	0	2	16	0	0		5	5	5	0,0,0	0	0	0	0	0	0	0	0	0	0	0	0				0	0	0											
19	10020001	1		大锤	FirstHammerAttack	FirstHammerAttack	0.8855	200	0	3	4	0	10	0	0,0,0	4	4	4	4	4	0	0	1	12	0	0	0		1	0	0		交互行为	1							0.56	50	0	13	26	15	-15		13	13	0	0,0,0	0	0	0	0	0	0	0	1	12	0	0	0				0	0	0											
