#TSV
#============Begin of sheet============
@Sheet=人物buff80-83
基因ID	name	type	增益标志	基因类型1	基因类型2	group	是否被动Buff	持续时间	有效状态	状态参数1	状态参数2	生效状态	有效地区	叠加类别	叠加类型	叠加上限	部位叠加	互斥标志	互斥优先级	下线保留	死亡清除	离开副本清除	触发条件	触发参数	触发几率	触发次数	触发特效	触发CD	CD组	效果类型	效果参数1	效果参数2	效果参数3	效果参数4	打断是否生效	结束时效果类型	结束时效果参数1	结束时效果参数2	结束时效果参数3	结束时效果参数4	Icon	Icon显示信息	基因tips	开启特效	开启提示	关闭特效	关闭提示	中断特效	中断提示	音效	异常受击状态Flag
10630	毒汁力量		1					10000						时间更新,次数不变							1	1								伤害结果修饰	伤害	百分比修改	200								buff04			14							
10631	伤心虚弱		0					10000						时间更新,次数不变							1	1								伤害结果修饰	伤害	百分比修改	-90								buff04										
10632	猪油的锋利		1					6000						时间更新,次数不变							1	1								伤害结果修饰	伤害	百分比修改	130								buff04										
10633	综合毒素		1					720000						时间更新,次数叠加		2					0	1	EOT触发	立即触发				1500		固定百分比扣绿血	2										buff12		你中毒了！不断损失生命，这个毒液让你无法食用任何道具	14							
10633	综合毒素		1					720000						时间更新,次数叠加		2					0	1								不能使用道具	1										buff12			14							
10633	综合毒素		1					720000						时间更新,次数叠加		2					0	1								不能使用指定技能	100000501										buff12			14							
10634	怒气一百		1					500						时间更新,次数不变							1	1	EOT触发	立即触发				1000		增加怒气	10000										buff04			627							
10635	怒气二十		1					500						时间更新,次数不变							1	1	EOT触发	立即触发				1000		增加怒气	2000										buff04			607							
10636	部位之力		1					30000						时间更新,次数叠加		20					1	1								伤害结果修饰	伤害	百分比修改	10								buff04										
10637	部位之源		1					500						时间更新,次数不变							1	1	EOT触发	立即触发				1000		固定百分比加血	50										buff04										
10638	怒气五十		1					500						时间更新,次数不变							1	1	EOT触发	立即触发				1000		增加怒气	5000										buff04			617							
10639	麻之击		1					10000						时间更新,次数不变		1					1	1								伤害结果修饰	麻积蓄值	值修改	99999999								buff43		你的攻击可以让怪物麻痹！抓紧时间！	608							
10640	爱的勇气		1					720000						时间更新,次数叠加		3					0	1								被伤害结果修饰	伤害	百分比修改	-20								buff05			604;704							
10641	连击之力		1					9000						时间更新,次数叠加		20		10641	2		1	1								人物属性修饰	PlayerAtk	百分比修改	60								buff02			606;706							
10642	受击之虚		1					10000						时间更新,次数叠加		10					1	1								被伤害结果修饰	伤害	百分比修改	20								buff04										
10643	防御加倍		1					10000						时间更新,次数不变							1	1								人物属性修饰	CharDefence	百分比修改	100								buff04										
10644	移动速度减半		1					10000						时间更新,次数不变							1	1								人物属性修饰	CharSpeed	百分比修改	-50								buff19			47							
10645	提速10秒		1					10000						时间更新,次数不变							1	1								人物属性修饰	CharSpeed	百分比修改	50								buff20			602;702							
10645	提速10秒		1					10000						时间更新,次数不变							1	1								人物属性修饰	CharAnimSpeed	百分比修改	50								buff20			602;702							
10646	攻击加倍10秒		1					10000						时间更新,次数不变							1	1								伤害结果修饰	伤害	百分比修改	100								buff04										
10647	肚子疼！		1					720000						时间更新,次数叠加		3					0	1	EOT触发	立即触发				1000		固定百分比扣绿血	1										buff14		一阵阵的绞痛！不断损失生命！不能吃任何常规回复药品！也不能在营地里睡觉！	14							
10647	肚子疼！		1					720000						时间更新,次数叠加		3					0	1								不能使用道具	1										buff14										
10647	肚子疼！		1					720000						时间更新,次数叠加		3					0	1								不能使用指定技能	100000501										buff14										
10648	恢复生命10%		1					500						时间更新,次数不变							1	1	EOT触发	立即触发				1000		固定百分比加血	30										buff04			1							
10649	连击破除		1					500						时间更新,次数不变				10641	1		1	1								人物属性修饰	CharDefence	百分比修改	0								buff04										
10650	肚子疼！		1					720000						时间更新,次数叠加		3					0	1	EOT触发	立即触发				1000		固定百分比扣绿血	1										buff14		一阵阵的绞痛！不断损失生命！不能吃任何常规回复药品！也不能在营地里睡觉！	14							
10650	肚子疼！		1					720000						时间更新,次数叠加		3					0	1								不能使用道具	1										buff14										
10650	肚子疼！		1					720000						时间更新,次数叠加		3					0	1								不能使用指定技能	100000501										buff14										
10651	损失生命25%		1					500						时间更新,次数不变							1	1	EOT触发	立即触发				1000		固定百分比扣绿血	25										buff04			609							
10652	不使用武器的约定！		1					1800000						时间更新,次数不变							0	1								不能使用武器											buff04		你必须遵守规则，不使用武器！完成狩猎！								
10652	不使用武器的约定！		1					1800000																						不能使用指定技能	100006201																				
10652	不使用武器的约定！		1					1800000																						不能使用指定技能	100000100																				
10652	不使用武器的约定！		1					1800000															EOT触发	立即触发				500		增加怒气	-100000																				
10652	不使用武器的约定！		1					1800000																						增加玩家怒气	全部	百分比修改	-1000																		
10653	永恒的脆皮		1					720000						时间更新,次数不变							0	1								被伤害结果修饰	伤害	百分比修改	100								buff04										
10654	生命恢复		1					720000						时间更新,次数叠加		3					0	1	EOT触发	立即触发				1500		固定百分比加血	2										buff04			2							
10655	连击之速		1					10000						时间更新,次数叠加		10					1	1								人物属性修饰	CharSpeed	百分比修改	5								buff20			602;702							
10655	连击之速		1					10000						时间更新,次数叠加		10					1	1								人物属性修饰	CharAnimSpeed	百分比修改	5								buff20										
10656	怒气之力		1					30000						时间更新,次数不变		1					1	1								伤害结果修饰	伤害	百分比修改	50								buff04			606;706							
10656	怒气之力		1					30000						时间更新,次数不变		1					1	1								被伤害结果修饰	伤害	百分比修改	-50								buff04										
10657	连击之速		1					30000						时间更新,次数叠加		10					1	1								人物属性修饰	CharSpeed	百分比修改	3								buff20			602;702							
10657	连击之速		1					30000						时间更新,次数叠加		10					1	1								人物属性修饰	CharAnimSpeed	百分比修改	3								buff20			602;702							
10658	野猪的力量		1					720000						时间更新,次数叠加		10					0	1								人物属性修饰	PlayerAtk	百分比修改	50								buff26			606;706							
10659	盾蟹的防御		1					720000						时间更新,次数叠加		10					0	1								人物属性修饰	CharDefence	百分比修改	20								buff27			604;704							
10659	盾蟹的防御		1					720000						时间更新,次数叠加		10					0	1								被伤害结果修饰	伤害	百分比修改	-5								buff27			604;704							
10660	忘情		1					20000						时间更新,次数不变		1					1	1								被伤害结果修饰	伤害	百分比修改	-75								buff04			201							
10661	连击之韧		1					720000						时间更新,次数叠加		20					0	1								人物属性修饰	CharMaxHP	百分比修改	20								buff28			603;703							
10662	速龙的速度		1					720000						时间更新,次数叠加		10					0	1								人物属性修饰	CharSpeed	百分比修改	3								buff29			602;702							
10662	速龙的速度		1					720000						时间更新,次数叠加		10					0	1								人物属性修饰	CharAnimSpeed	百分比修改	3								buff29			602;702							
10663	怒气扣100		1					500						时间更新,次数不变							1	1	EOT触发	立即触发				1000		增加怒气	-10000										buff04										
10664	黏液裹体		1					6000						时间更新,次数不变		1					1	1								人物属性修饰	CharSpeed	百分比修改	-35								buff19		移动速度降低	47							
10664	黏液裹体		1					6000						时间更新,次数不变		1					1	1								人物属性修饰	CharAnimSpeed	百分比修改	-35								buff19		移动速度降低	47							
10665	泡泡加血		1					500						时间更新,次数不变							1	1	EOT触发	立即触发				1000		固定百分比加血	5										buff04			1							
10666	嫩之连击		1					18000						时间更新,次数叠加		10		10666	2		1	1								人物属性修饰	PlayerAtk	百分比修改	60								buff02			606;706							
10667	受击之虚		1					10000						时间更新,次数叠加		10		10666	1		1	1								被伤害结果修饰	伤害	百分比修改	20								buff04										
10668	猎人的坚韧		1					720000						时间更新,次数叠加		10					0	1								人物属性修饰	CharSpeed	百分比修改	5								buff04										
10668	猎人的坚韧		1					720000						时间更新,次数叠加		10					0	1								人物属性修饰	CharAnimSpeed	百分比修改	5								buff04										
10668	猎人的坚韧		1					720000						时间更新,次数叠加		10					0	1								人物属性修饰	PlayerAtk	百分比修改	20								buff04										
10668	猎人的坚韧		1					720000						时间更新,次数叠加		10					0	1								人物属性修饰	CharDefence	百分比修改	20								buff04										
10668	猎人的坚韧		1					720000						时间更新,次数叠加		10					0	1								人物属性修饰	CharMaxHP	百分比修改	20								buff04										
10669	力量守护		1					720000						时间更新,次数不变							0	1								人物属性修饰	PlayerAtk	百分比修改	200								buff26			621;721							
10670	霸之守护		1					720000						时间更新,次数不变							0	1								人物属性修饰	AttackLevelDef	值修改	13								buff27		处于霸体状态	623;723							
10671	速度守护		1					720000						时间更新,次数不变							0	1								人物属性修饰	CharSpeed	百分比修改	30								buff24		提升移动速度与攻击速度	622;722							
10671	速度守护		1					720000						时间更新,次数不变							0	1								人物属性修饰	CharAnimSpeed	百分比修改	30								buff24		提升移动速度与攻击速度								
10672	生命守护		1					720000						时间更新,次数不变							0	1								人物属性修饰	CharReju	百分比修改	200								buff28		最大生命及生命恢复提升	625;725							
10672	生命守护		1					720000						时间更新,次数不变							0	1								人物属性修饰	CharMaxHP	百分比修改	200								buff28		最大生命及生命恢复提升								
10673	怒气的守护		1					720000						时间更新,次数不变							0	1	EOT触发	立即触发				20000		增加怒气	10000										buff29		每20秒获得怒气	624;724							
10674	连击之力		1					30000						时间更新,次数叠加		20					0	1								人物属性修饰	PlayerAtk	百分比修改	20								buff02			621;721							
10675	蚊子克星		1					720000						时间更新,次数不变							0	1								人物属性修饰	CharSpeed	百分比修改	30								buff24										
10675	蚊子克星		1					720000						时间更新,次数不变							0	1								人物属性修饰	CharAnimSpeed	百分比修改	30								buff24										
10675	蚊子克星		1					720000						时间更新,次数不变							0	1								伤害结果修饰	伤害	百分比修改	300								buff24										
10676	雷光虫克星		1					720000						时间更新,次数不变							0	1								人物属性修饰	CharSpeed	百分比修改	30								buff24										
10676	雷光虫克星		1					720000						时间更新,次数不变							0	1								人物属性修饰	CharAnimSpeed	百分比修改	30								buff24										
10676	雷光虫克星		1					720000						时间更新,次数不变							0	1								伤害结果修饰	伤害	百分比修改	500								buff24										
10677	紫泡泡之毒		0	毒				5000						时间更新,次数叠加		10					0	1	EOT触发	立即触发				1000		固定百分比扣绿血	5										buff12			14							
10678	麻痹粉尘之力		1					10000						时间更新,次数不变							1	1								免疫	免疫指定buff	60005									buff21		你的肌肉被麻痹了，你觉得你一点也不怕蚊子了！可以发挥出超强的力量	608							
10678	麻痹粉尘之力		1					10000						时间更新,次数不变							1	1								被伤害结果修饰	伤害	百分比修改	-99								buff21			608							
10678	麻痹粉尘之力		1					10000						时间更新,次数不变							1	1								伤害结果修饰	伤害	百分比修改	3000								buff21			608							
10679	泡泡的虚弱		1					720000						时间更新,次数不变							0	1								人物属性修饰	PlayerAtk	百分比修改	-100								buff04		不知怎么地，你的武器完全无法对怪物造成伤害了！								
10679	泡泡的虚弱		1					720000						时间更新,次数不变							0	1								人物属性修饰	WaterAttack	百分比修改	-100								buff04		不知怎么地，你的武器完全无法对怪物造成伤害了！								
10679	泡泡的虚弱		1					720000						时间更新,次数不变							0	1								人物属性修饰	FireAttack	百分比修改	-100								buff04		不知怎么地，你的武器完全无法对怪物造成伤害了！								
10679	泡泡的虚弱		1					720000						时间更新,次数不变							0	1								人物属性修饰	LightningAttack	百分比修改	-100								buff04		不知怎么地，你的武器完全无法对怪物造成伤害了！								
