#TSV
#============Begin of sheet============
@Sheet=effect
ID	说明	效果类型	参数1	参数2	参数3	参数4	buff是否可用	skill是否可用	item是否可用	关卡是否可用	BT是否可用
10001	Transmit Life Recovery Effect	Transmit Effect	1								1
10002	Transmit Atk Enhancement Effect	Transmit Effect	201								1
10003	Transmit Def Enhancement Effect	Transmit Effect	202								1
10004	Transmit Support Enhancement Effect	Transmit Effect	203								1
10005	Paralysis Trap	Generate Scene Objects	MHTrap.MHParalysisTrap	0.7	1						1
10006	Cave	Generate Scene Objects	MHTrap.DropTrap	0.7	1						1
10007	Small Barrel Bomb	Generate Scene Objects	SmallBucketBomb								1
10008	Big Barrel Bomb	Generate Scene Objects	BigBucketBomb								1
10009	Art of the Horn Flute Lv 1	Increase rage of monsters within a radius	40	50							1
10010	Art of the Horn Flute Lv2	Increase rage of monsters within a radius	60	50							1
10011	Art of the Horn Flute Lv3	Increase rage of monsters within a radius	80	50							1
10012	Art of Flute Recovery Lv1	Fixed % Increase in HP	30								1
10013	Art of Flute Recovery Lv2	Fixed % Increase in HP	45								1
10014	Art of Flute Recovery Lv3	Fixed % Increase in HP	60								1
10015	减少耐力上限	增加耐力上限	-35							1	
10016	毒烟雾玉	触发逻辑伤害	30008								
10017	燃烧	触发逻辑伤害	31001							1	
10018	测试即死	固定怪物百分比扣血	100								
10019	麻痹	触发逻辑伤害	30013							1	
10020	无敌	获得BUFF	50001							1	
10021	移除无敌	移除BUFF	50001							1	
10022	给周围怪物加血	区域范围内恢复怪物生命	100	10	50210						1
10023	怒气1段满	Transmit Effect	208				1				
10024	怒气2段满	Transmit Effect	209				1				
10025	给周围怪物加buff	区域范围内加怪物buff	11001	10	50210						1
10026	怪物减速50%	获得BUFF	11066							1	
10027	移除怪物减速50%	移除BUFF	11066							1	
10028	怪物减速30%	获得BUFF	11069							1	
10029	移除怪物减速30%	移除BUFF	11069							1	
10030	怪物减速10%	获得BUFF	11070							1	
10031	移除怪物减速10%	移除BUFF	11070							1	
10032	怪物加速10%	获得BUFF	11071							1	
10033	移除怪物加速10%	移除BUFF	11071							1	
10034	怪物加速30%	获得BUFF	11072							1	
10035	移除怪物加速30%	移除BUFF	11072							1	
10036	怪物加速50%	获得BUFF	11073							1	
10037	移除怪物加速50%	移除BUFF	11073							1	
10038	常怒	获得BUFF	11064							1	
10039	移除常怒	移除BUFF	11064							1	
10040	常怒加速50%	获得BUFF	11065							1	
10041	移除常怒加速51%	移除BUFF	11065							1	
10042	锁血	获得BUFF	50008							1	
10043	移除锁血	移除BUFF	50008							1	
