#TSV
#============Begin of sheet============
@Sheet=EquipEnchant
编号	装备等级下限	装备等级上限	物品大类	物品中类	物品小类	装备品质	装备Rank	时效	效果BUFF	描述
1	5	15	2	2	1	1	1	600	21001	ATK UP 2%
2	5	15	2	2		1	1	600	21002	ATK UP 4%
3	5	15	2	2		1	1	600	21003	ATK UP 6%
4	5	15	2	2		1	1	600	21001	ATK UP 2%
5	5	15	2	2		1	1	600	21002	ATK UP 4%
6	5	15	2	2		1	1	600	21003	ATK UP 6%
7	5	15	2	2		1	1	600	21001	ATK UP 2%
8	5	15	2	2		1	1	600	21002	ATK UP 4%
9	5	15	2	2		1	1	600	21003	ATK UP 6%
10	5	15	2	2		1	1	600	21001	ATK UP 2%
11	5	15	2	2		1	1	600	21002	ATK UP 4%
#============End of sheet============

#============Begin of sheet============
@Sheet=PetEquipEnchant
编号	装备等级下限	装备等级上限	物品大类	物品中类	物品小类	装备品质	装备Rank	时效	效果BUFF	描述
100	1	40	4	1					12171	Attack up 8
101	10	40	4	1					12172	Attack up 14
102	15	40	4	1					12173	Attack up 19
103	20	40	4	1					12174	Attack up 27
104	25	40	4	1					12175	Attack up 38
105	30	40	4	1					12176	Attack up 52
106	35	40	4	1					12177	Attack up 67
107	40	40	4	1					12178	Attack up 84
108	10	40	4	1					12179	提升角笛之术10%的发动几率
109	10	40	4	1					12180	提升鬼人笛之术10%的发动几率
110	10	40	4	1					12181	提升硬化笛之术10%的发动几率
111	10	40	4	1					12182	提升解毒消臭笛之术10%的发动几率
112	10	40	4	1					12183	提升回复笛之术10%的发动几率
113	10	40	4	1					12184	提升自然回复笛之术10%的发动几率
114	10	40	4	1					12185	提升防暑防寒笛之术10%的发动几率
115	10	40	4	1					12186	提升强走笛之术10%的发动几率
116	10	40	4	1					12187	提升听觉保护笛之术10%的发动几率
117	10	40	4	1					12188	提升风压水流笛之术10%的发动几率
118	10	40	4	1					12189	提升属性耐性提升笛之术10%的发动几率
119	20	40	4	1					12190	提升角笛之术15%的发动几率
120	20	40	4	1					12191	提升鬼人笛之术15%的发动几率
121	20	40	4	1					12192	提升硬化笛之术15%的发动几率
122	20	40	4	1					12193	提升解毒消臭笛之术15%的发动几率
123	20	40	4	1					12194	提升回复笛之术15%的发动几率
124	20	40	4	1					12195	提升自然回复笛之术15%的发动几率
125	20	40	4	1					12196	提升防暑防寒笛之术15%的发动几率
126	20	40	4	1					12197	提升强走笛之术15%的发动几率
127	20	40	4	1					12198	提升听觉保护笛之术15%的发动几率
128	20	40	4	1					12199	提升风压水流笛之术15%的发动几率
129	20	40	4	1					12200	提升属性耐性提升笛之术15%的发动几率
130	30	40	4	1					12201	提升角笛之术20%的发动几率
131	30	40	4	1					12202	提升鬼人笛之术20%的发动几率
132	30	40	4	1					12203	提升硬化笛之术20%的发动几率
133	30	40	4	1					12204	提升解毒消臭笛之术20%的发动几率
134	30	40	4	1					12205	提升回复笛之术20%的发动几率
135	30	40	4	1					12206	提升自然回复笛之术20%的发动几率
136	30	40	4	1					12207	提升防暑防寒笛之术20%的发动几率
137	30	40	4	1					12208	提升强走笛之术20%的发动几率
138	30	40	4	1					12209	提升听觉保护笛之术20%的发动几率
139	30	40	4	1					12210	提升风压水流笛之术20%的发动几率
140	30	40	4	1					12211	提升属性耐性提升笛之术20%的发动几率
141	40	40	4	1					12212	提升角笛之术25%的发动几率
142	40	40	4	1					12213	提升鬼人笛之术25%的发动几率
143	40	40	4	1					12214	提升硬化笛之术25%的发动几率
144	40	40	4	1					12215	提升解毒消臭笛之术25%的发动几率
145	40	40	4	1					12216	提升回复笛之术25%的发动几率
146	40	40	4	1					12217	提升自然回复笛之术25%的发动几率
147	40	40	4	1					12218	提升防暑防寒笛之术25%的发动几率
148	40	40	4	1					12219	提升强走笛之术25%的发动几率
149	40	40	4	1					12220	提升听觉保护笛之术25%的发动几率
150	40	40	4	1					12221	提升风压水流笛之术25%的发动几率
151	40	40	4	1					12222	提升属性耐性提升笛之术25%的发动几率
152	1	40	4	2	1				12223	提升21点生命力
153	10	40	4	2	1				12224	提升26点生命力
154	15	40	4	2	1				12225	提升31点生命力
155	20	40	4	2	1				12226	提升42点生命力
156	25	40	4	2	1				12227	提升57点生命力
157	30	40	4	2	1				12228	提升72点生命力
158	35	40	4	2	1				12229	提升87点生命力
159	40	40	4	2	1				12230	提升95点生命力
160	1	40	4	2	2				12238	提升13点生命力
161	10	40	4	2	2				12239	提升16点生命力
162	15	40	4	2	2				12240	提升21点生命力
163	20	40	4	2	2				12241	提升20点生命力
164	25	40	4	2	2				12242	提升27点生命力
165	30	40	4	2	2				12243	提升42点生命力
166	35	40	4	2	2				12244	提升57点生命力
167	40	40	4	2	2				12245	提升79点生命力
168	3	55	4	1					30001000	提升4点攻击力
169	13	55	4	1					30001001	Attack up 8
170	23	55	4	1					30001002	提升15点攻击力
