#TSV
#============Begin of sheet============
@Sheet=EquipRelation
装备ID	关联属性1	关联属性2	关联属性3	关联属性4	关联属性5	关联属性6	随机关联属性组1	概率1	随机关联属性组2	概率2	随机关联属性组3	概率3	随机关联属性组4	概率4	随机关联属性组5	概率5	随机关联属性组6	概率6
75000	0	0	0	0	0	0	1	100	2	5		0	0	0	0	0	0	0
75001	0	0	0	0	0	0	1	100	2	5		0						
75002	0	0	0	0	0	0	1	100	2	5		0						
75003	0	0	0	0	0	0	1	100	2	5		0						
75004	0	0	0	0	0	0	1	100	2	5		0						
75005	0	0	0	0	0	0	1	100	2	5		0						
75006	0	0	0	0	0	0	1	100	2	5		0						
75007	0	0	0	0	0	0	1	100	2	5		0						
75008	0	0	0	0	0	0	1	100	2	5		0						
75009	0	0	0	0	0	0	1	100	2	10		0						
75010	0	0	0	0	0	0	1	100	2	10		0						
75011	0	0	0	0	0	0	1	100	2	10		0						
75012	0	0	0	0	0	0	1	100	2	10		0						
75013	0	0	0	0	0	0	1	100	2	10		0						
75014	0	0	0	0	0	0	1	100	2	10		0						
75015	0	0	0	0	0	0	1	100	2	10		0						
75016	0	0	0	0	0	0	1	100	2	10		0						
75017	0	0	0	0	0	0	1	100	2	10		0						
75018	0	0	0	0	0	0	1	100	2	10		0						
75019	0	0	0	0	0	0	1	100	2	10		0						
75020	0	0	0	0	0	0	1	100	2	10		0						
75021	0	0	0	0	0	0	1	100	2	20		0						
75022	0	0	0	0	0	0	1	100	2	5		0						
75023	0	0	0	0	0	0	1	100	2	5		0						
75024	0	0	0	0	0	0	1	100	2	5		0						
75025	0	0	0	0	0	0	1	100	2	5		0						
75026	0	0	0	0	0	0	1	100	2	5		0						
75027	0	0	0	0	0	0	1	100	2	5		0						
75028	0	0	0	0	0	0	1	100	2	5		0						
75029	0	0	0	0	0	0	1	100	2	5		0						
75030	0	0	0	0	0	0	1	100	2	5		0						
75031	0	0	0	0	0	0	1	100	2	10		0						
75032	0	0	0	0	0	0	1	100	2	10		0						
75033	0	0	0	0	0	0	1	100	2	10		0						
75034	0	0	0	0	0	0	1	100	2	10		0						
75035	0	0	0	0	0	0	1	100	2	10		0						
75036	0	0	0	0	0	0	1	100	2	10		0						
75037	0	0	0	0	0	0	1	100	2	10		0						
75038	0	0	0	0	0	0	1	100	2	10		0						
75039	0	0	0	0	0	0	1	100	2	10		0						
75040	0	0	0	0	0	0	1	100	2	10		0						
75041	0	0	0	0	0	0	1	100	2	10		0						
75042	0	0	0	0	0	0	1	100	2	10		0						
75043	0	0	0	0	0	0	1	100	2	20		0						
75044	0	0	0	0	0	0	1	100	2	15		0						
#============End of sheet============

#============Begin of sheet============
@Sheet=EquipRelationAttr
关联属性编号	关联属性组	关联属性概率	生效条件类型	生效条件参数1	生效条件参数2	效果BUFF1	效果BUFF2	效果BUFF3	效果BUFF4	效果BUFF5	属性名称	属性说明	index	装备（R2）	远程（R2）
1	1	400	2	5	6						攻击力提升（小）	【速食】超过6，获得效果：攻击力提升（小）	1	无	
2	1	400	2	9	17						攻击力提升（小）	【千里眼】超过17，获得效果：攻击力提升（小）	1	河狸兽+15	雪狮子王+15
3	1	400	2	11	12						攻击力提升（小）	【观察眼】超过12，获得效果：攻击力提升（小）	1	蓝速龙王+10	蓝速龙王+10
4	1	400	2	15	12						攻击力提升（小）	【回复力】超过12，获得效果：攻击力提升（小）	1	大野猪王+10	大野猪王+10
5	1	400	2	19	17						攻击力提升（小）	【加护】超过17，获得效果：攻击力提升（小）	1	毒怪鸟+15	毒怪鸟+15
6	1	400	2	20	6						攻击力提升（小）	【全抗增加】超过6，获得效果：攻击力提升（小）	1		
7	1	400	2	23	17						攻击力提升（小）	【气候】超过17，获得效果：攻击力提升（小）	1	沙龙王+15	沙龙王+15
8	1	400	2	25	12						攻击力提升（小）	【一起吃】超过12，获得效果：攻击力提升（小）	1	河狸兽+10	
9	1	400	2	28	17						攻击力提升（小）	【饥饿感】超过17，获得效果：攻击力提升（小）	1	桃毛兽王+15	河狸兽+10
10	1	400	2	29	12						攻击力提升（小）	【体术】超过12，获得效果：攻击力提升（小）	1	沙龙王+10	沙龙王+10
11	1	400	2	35	12						攻击力提升（小）	【团队之星】超过12，获得效果：攻击力提升（小）	1	青怪鸟+10	青怪鸟+10
12	1	400	2	36	12						攻击力提升（小）	【高速设置】超过12，获得效果：攻击力提升（小）	1	大怪鸟+10	大怪鸟+10
13	1	400	2	37	12						攻击力提升（小）	【通常弹强化】超过12，获得效果：攻击力提升（小）	1		桃毛兽王+10
14	1	400	2	38	12						攻击力提升（小）	【震地减轻】超过12，获得效果：攻击力提升（小）	1	沙狸兽+10	
15	1	400	2	39	17						攻击力提升（小）	【强韧】超过17，获得效果：攻击力提升（小）	1	盾蟹+15	
16	1	400	2	40	12						攻击力提升（小）	【荷尔蒙】超过12，获得效果：攻击力提升（小）	1	桃毛兽王+10	眠鸟+10
17	1	400	2	42	12						攻击力提升（小）	【眠弹追加】超过12，获得效果：攻击力提升（小）	1		眠鸟+10
18	1	400	2	43	12						攻击力提升（小）	【气息】超过12，获得效果：攻击力提升（小）	1	眠鸟-10	盾蟹+10
19	1	400	2	47	12						攻击力提升（小）	【耐力回复】超过12，获得效果：攻击力提升（小）	1	蓝速龙王+10	蓝速龙王+10
20	1	400	2	49	12						攻击力提升（小）	【麻弹追加】超过12，获得效果：攻击力提升（小）	1	电龙+10	沙雷鸟+10
21	1	400	2	50	12						攻击力提升（小）	【根性】超过12，获得效果：攻击力提升（小）	1	电龙+10	电龙+10
22	1	400	2	51	12						攻击力提升（小）	【挑战者】超过12，获得效果：攻击力提升（小）	1	桃毛兽王+10	桃毛兽王+10
23	1	400	2	52	12						攻击力提升（小）	【抗菌】超过12，获得效果：攻击力提升（小）	1	金毛兽王+10	金毛兽王+10
