#TSV
#============Begin of sheet============
@Sheet=表情组
组id	组名称
1	Palico
2	Friendship
#============End of sheet============

#============Begin of sheet============
@Sheet=表情配置
id	名称	表情等级	升级需求个数	表情组ID	默认收集数	文字转义符	动态资源	本地资源	来源说明	最高等级
1	Blinking	1	0	1	0	眨眼	mc_em_airo_origin_01		缤纷表情包	5
1	Blinking	2	4	1	0	眨眼2	mc_em_airo_xiaofeng_01		缤纷表情包	5
1	Blinking	3	8	1	0	眨眼3	mc_em_airo_leo_01		缤纷表情包	5
1	Blinking	4	12	1	0	眨眼4	mc_em_airo_jiaoguan_01		缤纷表情包	5
1	Blinking	5	16	1	0	眨眼5	mc_em_airo_lili_01		缤纷表情包	5
2	Happy	1	0	1	0	高兴	mc_em_airo_origin_02		缤纷表情包	5
2	Happy	2	4	1	0	高兴2	mc_em_airo_xiaofeng_02		缤纷表情包	5
2	Happy	3	8	1	0	高兴3	mc_em_airo_leo_02		缤纷表情包	5
2	Happy	4	12	1	0	高兴4	mc_em_airo_jiaoguan_02		缤纷表情包	5
2	Happy	5	16	1	0	高兴5	mc_em_airo_lili_02		缤纷表情包	5
3	Shining	1	0	1	0	闪耀	mc_em_airo_origin_05		缤纷表情包	5
3	Shining	2	4	1	0	闪耀2	mc_em_airo_xiaofeng_05		缤纷表情包	5
3	Shining	3	8	1	0	闪耀3	mc_em_airo_leo_05		缤纷表情包	5
3	Shining	4	12	1	0	闪耀4	mc_em_airo_jiaoguan_05		缤纷表情包	5
3	Shining	5	16	1	0	闪耀5	mc_em_airo_lili_05		缤纷表情包	5
4	Exciting	1	0	1	0	兴奋	mc_em_airo_origin_06		缤纷表情包	5
4	Exciting	2	4	1	0	兴奋2	mc_em_airo_xiaofeng_06		缤纷表情包	5
4	Exciting	3	8	1	0	兴奋3	mc_em_airo_leo_06		缤纷表情包	5
4	Exciting	4	12	1	0	兴奋4	mc_em_airo_jiaoguan_06		缤纷表情包	5
4	Exciting	5	16	1	0	兴奋5	mc_em_airo_lili_06		缤纷表情包	5
5	Angry	1	0	1	0	生气	mc_em_airo_origin_07		缤纷表情包	5
5	Angry	2	4	1	0	生气2	mc_em_airo_xiaofeng_07		缤纷表情包	5
5	Angry	3	8	1	0	生气3	mc_em_airo_leo_07		缤纷表情包	5
5	Angry	4	12	1	0	生气4	mc_em_airo_jiaoguan_07		缤纷表情包	5
5	Angry	5	16	1	0	生气5	mc_em_airo_lili_07		缤纷表情包	5
6	Mad	1	1	1	0	愤怒	mc_em_airo_origin_08		缤纷表情包	5
6	Mad	2	4	1	0	愤怒2	mc_em_airo_xiaofeng_08		缤纷表情包	5
6	Mad	3	8	1	0	愤怒3	mc_em_airo_leo_08		缤纷表情包	5
6	Mad	4	12	1	0	愤怒4	mc_em_airo_jiaoguan_08		缤纷表情包	5
6	Mad	5	16	1	0	愤怒5	mc_em_airo_lili_08		缤纷表情包	5
7	Touching	1	1	1	0	感动	mc_em_airo_origin_09		缤纷表情包	5
7	Touching	2	4	1	0	感动2	mc_em_airo_xiaofeng_09		缤纷表情包	5
7	Touching	3	8	1	0	感动3	mc_em_airo_leo_09		缤纷表情包	5
7	Touching	4	12	1	0	感动4	mc_em_airo_jiaoguan_09		缤纷表情包	5
7	Touching	5	16	1	0	感动5	mc_em_airo_lili_09		缤纷表情包	5
8	Crying	1	1	1	0	哭哭	mc_em_airo_origin_10		缤纷表情包	5
8	Crying	2	4	1	0	哭哭2	mc_em_airo_xiaofeng_10		缤纷表情包	5
8	Crying	3	8	1	0	哭哭3	mc_em_airo_leo_10		缤纷表情包	5
8	Crying	4	12	1	0	哭哭4	mc_em_airo_jiaoguan_10		缤纷表情包	5
8	Crying	5	16	1	0	哭哭5	mc_em_airo_lili_10		缤纷表情包	5
9	Surprised	1	1	1	0	惊讶	mc_em_airo_origin_11		缤纷表情包	5
9	Surprised	2	4	1	0	惊讶2	mc_em_airo_xiaofeng_11		缤纷表情包	5
9	Surprised	3	8	1	0	惊讶3	mc_em_airo_leo_11		缤纷表情包	5
9	Surprised	4	12	1	0	惊讶4	mc_em_airo_jiaoguan_11		缤纷表情包	5
9	Surprised	5	16	1	0	惊讶5	mc_em_airo_lili_11		缤纷表情包	5
10	ok	1	1	1	0	ok	mc_em_airo_origin_12		缤纷表情包	5
10	ok	2	4	1	0	ok2	mc_em_airo_xiaofeng_12		缤纷表情包	5
10	ok	3	8	1	0	ok3	mc_em_airo_leo_12		缤纷表情包	5
10	ok	4	12	1	0	ok4	mc_em_airo_jiaoguan_12		缤纷表情包	5
10	ok	5	16	1	0	ok5	mc_em_airo_lili_12		缤纷表情包	5
11	Tired	1	1	1	0	困了	mc_em_airo_origin_13		缤纷表情包	5
11	Tired	2	4	1	0	困了2	mc_em_airo_xiaofeng_13		缤纷表情包	5
11	Tired	3	8	1	0	困了3	mc_em_airo_leo_13		缤纷表情包	5
11	Tired	4	12	1	0	困了4	mc_em_airo_jiaoguan_13		缤纷表情包	5
11	Tired	5	16	1	0	困了5	mc_em_airo_lili_13		缤纷表情包	5
12	Sigh	1	1	1	0	叹气	mc_em_airo_origin_14		缤纷表情包	5
12	Sigh	2	4	1	0	叹气2	mc_em_airo_xiaofeng_14		缤纷表情包	5
12	Sigh	3	8	1	0	叹气3	mc_em_airo_leo_14		缤纷表情包	5
