#TSV
#============Begin of sheet============
@Sheet=射程伤害加成
Name	ID	Ratio1	Time1	Ratio2	Time2	Ratio3	Time3	RatioFinal	LastDecrease
Default	1							1	
NormalLV1	11	0.8	0.142857142857143	1	0.357142857142857	0.5	0.571428571428571	0.001	1
NormalLV2	12	0.8	0.185714285714286	1.1	0.357142857142857	0.5	0.571428571428571	0.001	1
NormalLV3	13	0.8	0.228571428571429	1.2	0.357142857142857	0.5	0.571428571428571	0.001	1
Guantong	14	0.7	0.214285714285714	0.8	0.357142857142857	1	0.571428571428571	0.001	1
ShandanLV1	15	0.9	0.166666666666667	1	0.5	0.7	1.33333333333333	0.001	1
ShandanLV2	16	0.9	0.166666666666667	1	0.433333333333333	0.7	1.33333333333333	0.001	1
ShandanLV3	17	0.9	0.166666666666667	1	0.366666666666667	0.7	1.33333333333333	0.001	1
BowGuantongLV1	21	0.528	0.233	0.88	0.433	0.616	1	0.001	1
BowGuantongLV2	22	0.528	0.233	0.88	0.433	0.616	1	0.001	1
BowGuantongLV3	23	0.528	0.233	0.88	0.433	0.616	1	0.001	1
BowGuantongLV4	24	0.528	0.233	0.88	0.433	0.616	1	0.001	1
BowLianSheLV1	25	0.616	0.2	0.88	0.366	0.528	1	0.001	1
BowLianSheLV2	26	0.616	0.2	0.88	0.366	0.528	1	0.001	1
BowLianSheLV3	27	0.616	0.2	0.88	0.366	0.528	1	0.001	1
BowLianSheLV4	28	0.616	0.2	0.88	0.366	0.528	1	0.001	1
BowkuoShanLV1	29	0.616	0.066	0.88	0.233	0.528	1	0.001	1
BowkuoShanLV2	30	0.616	0.066	0.88	0.233	0.528	1	0.001	1
BowkuoShanLV3	31	0.616	0.066	0.88	0.233	0.528	1	0.001	1
BowkuoShanLV4	32	0.616	0.066	0.88	0.233	0.528	1	0.001	1
BowRage01	35	1	0.444444444444444						
SpeicalShootWuJu_LV1	36	1.06	0.05	1.06	0.75	1.06	1.2	0.001	1
SpeicalShootWuJu_LV2	37	1.06	0.05	1.06	0.75	1.06	1.2	0.001	1
SpeicalShootWuJu_LV3	38	1.06	0.05	1.06	0.75	1.06	1.2	0.001	1
SpeicalShootWuJu_LV4	39	1.06	0.05	1.06	0.75	1.06	1.2	0.001	1
ShuxingLV1	40	0.8	0.0857142857142857	1	0.228571428571429	0.5	0.371428571428571	0.001	1
DragonLV1	41	0.7	0.142857142857143	0.8	0.228571428571429	1	0.371428571428571	0.001	1
#============End of sheet============

#============Begin of sheet============
@Sheet=爆炸效果
ID	Name	Type	AttackName	Radius	OffsetX	OffsetY	OffsetZ
1	RathFireBallExplosion	Normal	RathFireBall	3	0	0	0
2	FlashGrenade	Flash	FlashAttack	40	0	0	0
3	NoisyGrenade	Noisy	VoiceAttack	40	0	0	0
4	ExplosionBullet	Normal	NiuDanBombLV1	3	0	0	0
5	Em004FireBallExplosion	Normal	Em004FireBall	1	0	0	0
6	Em008PooBallExplosion	Normal	PooBall	2.8	0	0	0
7	Pet_SmallBomb	Normal	Pet_Attack_Light_Fire	0.5	0	0	0
8	HellLV1Bomb	Normal	HellLV1Bomb	3	0	0	0
9	Grenade	Normal	N_grenade	3	0	0	0
10	Hi_Grenade	Normal	Hi_grenade	5	0	0	0
11	Sleep_Grenade	Normal	Sleep_grenade	3	0	0	0
12	FlashGrenadeP	Flash	FlashAttack	8	0	0	0
13	NoisyGrenadeP	Noisy	VoiceAttack	8	0	0	0
14	ShakaBomb	Normal	Template_KnockAway_Fire_15	1	0	0	0
15	BeamBombExplosion	Normal	BeamBomb	10	0	0	0
16	BoatNormalLV1Explosion	Normal	BoatNormalLV1Explosion	5	0	0	0
17	BoatNormalLV2Explosion	Normal	BoatNormalLV2Explosion	5	0	0	0
18	BoatNormalLV3Explosion	Normal	BoatNormalLV3Explosion	5	0	0	0
19	HellLV2Bomb	Normal	HellLV2Bomb	3.5	0	0	0
20	HellLV3Bomb	Normal	HellLV3Bomb	4	0	0	0
21	HellLV4Bomb	Normal	HellLV4Bomb	5	0	0	0
22	SmallBomb	Normal	Template_Attack_05	0.5	0	0	0
23	NB5Dragon	Normal	Template_KnockAway_45	3	0	0	0
24	NoisyExplosiveGrenade	Normal	NoisyExplosiveGrenade	40	0	0	0
25	NBY_Railgun_I	Normal	NBY_PositiveBall_Explode	3	0	0	0
26	NBY_Railgun_II	Normal	NBY_PositiveBall_Explode	5	0	0	0
27	FireWork	Normal	Em008_NewYearFireWork	2	0	0	0
28	Em025_u01Explode	Normal	RathFireBall	2.5	0	0	0
29	Throw_SpecialFireworksBombBlast	Normal	SpeicalFireworksFlyBomb	2	0	0	0
30	NewYearCat_Bomb	Normal	NewYearCat_BombAttack	1	0	0	0
31	MissileFireWork_Launch	Normal	MissileFireWork_Launch	1.5	0	0	0
32	MissileFireWorks_Launch	Normal	MissileFireWorks_Launch	1.5	0	0	0
33	NBYPositiveBallExplode	Normal	NBY_PositiveBall_Explode	5	0	0	0
34	NBYNegativeBallExplode	Normal	NBY_Negative_Explode	5	0	0	0
35	NBY_SlashAroundExplode	Normal	NBY_SlashAroundII_Explode	4	0	0	0
36	Em022u01_TrampleExplode	Normal	Em022u_TrampleExplode	3	0	0	0
37	M023RaidFire	Normal	RathFireBall	1	0	0	0
38	Em016WaterS	Normal	WaterS_Slow	4	0	0	0
39	Em016WaterM	Normal	WaterM_Slow	4	0	0	0
40	Em016WaterL	Normal	WaterL_Slow	4	0	0	0
41	Em023_u01SandStone	Normal	Em023_u01_SandWave	2	0	0	0
42	Em023_u01SandBall_Big	Normal	Em023_u01_SandWave_Big	5	0	0	0
43	Em035_AOE_Thunder	Normal	Kirin_AOE_Thunder	3.1	0	0	0
44	Em029FireBallExplosion	Normal	RathFireBall	4	0	0	0
45	Em029SFireBallExplosion	Normal	RathFireBall	2.3	0	0	0
47	RathFireBallCoopExplosion	Normal	RathFireBall	7	0	0	0
48	GoldLionBallExplosion	Normal	Left	2.7	0	0	0
49	Em002_Lemon_IceAttackL	Normal	Template_KnockAway_Snow_30	1.5	0	0	0
50	PetSkill_Boom_Missile	Normal	Pet_SummonSkill_Boom1	5	0	0	0
51	Em001_Lemon_ThrowStone	Normal	Template_KnockAway_35	5	0	0	0
52	Em001_Lemon_ThrowStone1	Normal	Template_KnockAway_35	3	0	0	0
53	Em001_Lemon_BeaverRoll	Normal	Template_KnockAway_35	3.5	0	0	0
54	Em004_Lemon_FireBallExplosion	Normal	Em004FireBall	2	0	0	0
55	Em021_Lemon_PoisonBallExplosion	Normal	PoisonBall	2	0	0	0
56	Em010_u01_CrystalExplosion	Normal	Em010_u01_Crystal	3.5	0	0	0
57	Em013_u02_EnergyBallExplosion	Normal	Em013_u02_EnergyBallExplode	7	0	0	0
58	Em087_ThunderBallExplosion	Normal	Em087_ThunderBallExplode	5	0	0	0
59	Em087_ThunderExplosion	Normal	Em087_ThunderAttack	1.5	0	0	0
60	Em087_ThunderDragonDash	Normal	Em087_ThunderDragonDashBack	4	0	0	0
61	Em035_ThunderRaid	Normal	Em035_LightningAttack	0.7	0	0	0
62	Em049_u01_Railgun_I	Normal	Em049_u01_Railgun	3	0	0	0
63	Em049_u01_Railgun_II	Normal	Em049_u01_RailgunII	4	0	0	0
64	Em028_u01_FireBlast	Normal	Em028_u01_FireBlast	10	0	0	0
65	Em017_Lemon_SnowBallExplosion	Normal	Em017_Lemon_SnowBallExplosion	4	0	0	0
67	RathFireBallExplosionU02	Normal	Em025_u02_FireBall_35	3	0	0	0
68	Em034_AirConnon	Normal	Em034_Attack_both_AirConnonbao	4	0	0	0
69	Em034_Tron	Normal	Em034_Attack_male_TrornWind	4	0	0	0
70	Em046_FootBallExplode	Normal	Em046_FootBallExplode	3	0	0	0
71	Em046_ThunderRaid(qiyong)	Normal	Em013_u02_EnergyBall	0.8	0	0	0
72	Em046_AOE_FallThunder(qiyong)	Normal	Em013_u02_EnergyBall	1	0	0	0
73	Em063_u01_Stone	Normal	Em063_u01_ForwardBiteExplodeStone	1	0	0	0
74	Em046_ThunderRaid	Normal	Em046_LightningAttack	0.7	0	0	0
75	Em025_u04_FireCircleStoneBoom	Normal	Em025_u04_FireCircleBoom	7	0	0	0
76	Em025_u04_RathFireBallExplosion	Normal	Em025_u04_FireBall_35	3	0	0	0
77	Em087_u01_BallExplode	Normal	Em087_u01_ThunderBall	1.5	0	0	0
78	Em087_u01_ThunderBallExplode	Normal	Em087_u01_ThunderBallExplode	5	0	0	0
79	Em087_u01_ThunderExplode	Normal	Em087_u01_ThunderExplode	1.5	0	0	0
80	Em087_u01_ThunderDragonDash	Normal	Em087_u01_ThunderDragonDash	4	0	0	0
81	Em087_u01_ChargeExplode	Normal	Em087_u01_ThunderBall	3	0	0	0
82	Em036_ThreeBall	Normal	Em036_BigBallBoom	4.3	0	0	0
83	Em036_ThreeBallD3	Normal	Em036_BigBallBoomMore	5.8	0	0	0
