#TSV
#============Begin of sheet============
@Sheet=关卡内狩猎包静态数据
狩猎包ID	狩猎包名称	是否保留时装	装备ID	物品ID	物品数量	狩猎包关卡类型
101	求生道具包	0		419	10	
101	求生道具包	0		1210	3	
101	求生道具包	0		64	5	
101	求生道具包	0		1231	1	
101	求生道具包	0		60	5	
101	求生道具包	0		7201	1000	
101	求生道具包	0		7202	99	
101	求生道具包	0		7203	60	
101	求生道具包	0		7204	20	
101	求生道具包	0		7205	20	
101	求生道具包	0		7206	20	
101	求生道具包	0		7207	40	
101	求生道具包	0		7208	40	
101	求生道具包	0		7209	40	
101	求生道具包	0		7210	40	
101	求生道具包	0		7211	40	
101	求生道具包	0		7212	40	
102	陷阱道具包	0		419	3	
102	陷阱道具包	0		64	5	
102	陷阱道具包	0		1231	3	
102	陷阱道具包	0		1226	3	
102	陷阱道具包	0		1230	3	
102	陷阱道具包	0		7201	1000	
102	陷阱道具包	0		7202	99	
102	陷阱道具包	0		7203	60	
102	陷阱道具包	0		7204	20	
102	陷阱道具包	0		7205	20	
102	陷阱道具包	0		7206	20	
102	陷阱道具包	0		7207	40	
102	陷阱道具包	0		7208	40	
102	陷阱道具包	0		7209	40	
102	陷阱道具包	0		7210	40	
102	陷阱道具包	0		7211	40	
102	陷阱道具包	0		7212	40	
103	干扰道具包	0		419	3	
103	干扰道具包	0		64	5	
103	干扰道具包	0		1227	1	
103	干扰道具包	0		1212	3	
103	干扰道具包	0		1210	1	
103	干扰道具包	0		7201	1000	
103	干扰道具包	0		7202	99	
103	干扰道具包	0		7203	60	
103	干扰道具包	0		7204	20	
103	干扰道具包	0		7205	20	
103	干扰道具包	0		7206	20	
103	干扰道具包	0		7207	40	
103	干扰道具包	0		7208	40	
103	干扰道具包	0		7209	40	
103	干扰道具包	0		7210	40	
103	干扰道具包	0		7211	40	
103	干扰道具包	0		7212	40	
104	医疗道具包	0		419	2	
104	医疗道具包	0		1229	6	
104	医疗道具包	0		64	5	
104	医疗道具包	0		60	5	
104	医疗道具包	0		7201	1000	
104	医疗道具包	0		7202	99	
104	医疗道具包	0		7203	60	
104	医疗道具包	0		7204	20	
104	医疗道具包	0		7205	20	
104	医疗道具包	0		7206	20	
104	医疗道具包	0		7207	40	
104	医疗道具包	0		7208	40	
104	医疗道具包	0		7209	40	
104	医疗道具包	0		7210	40	
104	医疗道具包	0		7211	40	
104	医疗道具包	0		7212	40	
105	万能道具包	0		419	2	
105	万能道具包	0		1229	2	
105	万能道具包	0		64	5	
105	万能道具包	0		1227	1	
105	万能道具包	0		1228	1	
105	万能道具包	0		1226	1	
105	万能道具包	0		1230	1	
105	万能道具包	0		7201	1000	
105	万能道具包	0		7202	99	
105	万能道具包	0		7203	60	
105	万能道具包	0		7204	20	
105	万能道具包	0		7205	20	
105	万能道具包	0		7206	20	
105	万能道具包	0		7207	40	
105	万能道具包	0		7208	40	
105	万能道具包	0		7209	40	
105	万能道具包	0		7210	40	
105	万能道具包	0		7211	40	
105	万能道具包	0		7212	40	
511	生存竞技者	0	130535			
511	生存竞技者	0	64501			
511	生存竞技者	0	64502			
511	生存竞技者	0	64503			
511	生存竞技者	0	64504			
511	生存竞技者	0	64505			
512	强袭竞技者	0	130535			
512	强袭竞技者	0	64506			
512	强袭竞技者	0	64507			
512	强袭竞技者	0	64508			
512	强袭竞技者	0	64509			
512	强袭竞技者	0	64510			
513	奇巧竞技者	0	130535			
513	奇巧竞技者	0	64511			
513	奇巧竞技者	0	64512			
513	奇巧竞技者	0	64513			
513	奇巧竞技者	0	64514			
513	奇巧竞技者	0	64515			
514	支援竞技者	0	130535			
514	支援竞技者	0	64516			
514	支援竞技者	0	64517			
514	支援竞技者	0	64518			
514	支援竞技者	0	64519			
514	支援竞技者	0	64520			
515	重装竞技者	0	130535			
515	重装竞技者	0	64521			
515	重装竞技者	0	64522			
515	重装竞技者	0	64523			
515	重装竞技者	0	64524			
515	重装竞技者	0	64525			
#============End of sheet============

#============Begin of sheet============
@Sheet=关卡外狩猎包静态数据
狩猎包ID	狩猎包名称	是否保留时装	装备ID	物品ID	物品数量	狩猎包关卡类型
106	双刀狩猎包	0	55119			
106	双刀狩猎包	0	61141			
106	双刀狩猎包	0	61142			
106	双刀狩猎包	0	61143			
106	双刀狩猎包	0	61144			
106	双刀狩猎包	0	61145			
121	太刀狩猎包	0	52053			
121	太刀狩猎包	0	60121			
121	太刀狩猎包	0	60122			
121	太刀狩猎包	0	60123			
121	太刀狩猎包	0	60124			
121	太刀狩猎包	0	60125			
122	大剑狩猎包	0	50052			
122	大剑狩猎包	0	60131			
122	大剑狩猎包	0	60132			
122	大剑狩猎包	0	60133			
122	大剑狩猎包	0	60134			
122	大剑狩猎包	0	60135			
123	锤狩猎包	0	54053			
123	锤狩猎包	0	60141			
123	锤狩猎包	0	60142			
123	锤狩猎包	0	60143			
123	锤狩猎包	0	60144			
123	锤狩猎包	0	60145			
124	弩炮狩猎包	0	51052			
124	弩炮狩猎包	0	60156			
124	弩炮狩猎包	0	60157			
124	弩炮狩猎包	0	60158			
124	弩炮狩猎包	0	60159			
124	弩炮狩猎包	0	60160			
131	片手狩猎包	0	53051			
131	片手狩猎包	0	60121			
131	片手狩猎包	0	60122			
131	片手狩猎包	0	60123			
131	片手狩猎包	0	60124			
131	片手狩猎包	0	60125			
132	双刀狩猎包	0	55034			
132	双刀狩猎包	0	60131			
132	双刀狩猎包	0	60132			
132	双刀狩猎包	0	60133			
132	双刀狩猎包	0	60134			
132	双刀狩猎包	0	60135			
133	大剑狩猎包	0	50055			
133	大剑狩猎包	0	60141			
133	大剑狩猎包	0	60142			
133	大剑狩猎包	0	60143			
133	大剑狩猎包	0	60144			
133	大剑狩猎包	0	60145			
134	弓狩猎包	0	59054			
134	弓狩猎包	0	60156			
134	弓狩猎包	0	60157			
134	弓狩猎包	0	60158			
134	弓狩猎包	0	60159			
134	弓狩猎包	0	60160			
141	锤狩猎包	0	54051			
141	锤狩猎包	0	60121			
141	锤狩猎包	0	60122			
141	锤狩猎包	0	60123			
141	锤狩猎包	0	60124			
141	锤狩猎包	0	60125			
142	片手狩猎包	0	53051			
142	片手狩猎包	0	60131			
142	片手狩猎包	0	60132			
142	片手狩猎包	0	60133			
142	片手狩猎包	0	60134			
142	片手狩猎包	0	60135			
143	双刀狩猎包	0	55052			
143	双刀狩猎包	0	60141			
143	双刀狩猎包	0	60142			
143	双刀狩猎包	0	60143			
143	双刀狩猎包	0	60144			
143	双刀狩猎包	0	60145			
144	弩炮狩猎包	0	51053			
144	弩炮狩猎包	0	60156			
144	弩炮狩猎包	0	60157			
144	弩炮狩猎包	0	60158			
144	弩炮狩猎包	0	60159			
144	弩炮狩猎包	0	60160			
145	包笛子活动	0	56013			
145	包笛子活动	0	60011			
145	包笛子活动	0	60012			
145	包笛子活动	0	60013			
