#TSV
#============Begin of sheet============
@Sheet=主次分支
ID	图片资源	分支小Icon	分支警句	挑战分支编号	能力分支编号	纪录分支编号	分支名称	默认等级	分支解锁类型	分支解锁值
0	small1a	small1	警句1	S	s	R	总星级	1	0	
1	small2a	small2	警句2	A	a	R	收藏	1	0	
2	small5a	small5	警句3	D	d	R	生产	1	0	
3	small4a	small4	警句4	C	c	R	艾露	1	0	
4	small7a	small7	警句5	H	h	R	武器	1	0	
5	small3a	small3	警句6	B	b	R	见闻	1	0	
6	small6a	small6	警句7	E	e	R	狩猎	1	0	
7	small8a	small8	警句8	F	f	R	猎团	1	0	
8	small9a	small9	警句9	G	g	R	竞争	0	2	999
#============End of sheet============

#============Begin of sheet============
@Sheet=分支等级
星级分支编号	等级	需要积分	日常积分上限
1	1	300	150
1	2	800	150
1	3	1700	150
1	4	8630	150
1	5	8630	150
2	1	100	150
2	2	300	150
2	3	700	150
2	4	2765	150
2	5	2765	150
3	1	100	150
3	2	300	150
3	3	500	150
3	4	1165	150
3	5	1165	150
4	1	100	150
4	2	300	150
4	3	500	150
4	4	5340	150
4	5	5340	150
5	1	100	150
5	2	300	150
5	3	500	150
5	4	1295	150
5	5	1295	150
6	1	200	150
6	2	500	150
6	3	1200	150
6	4	8585	150
6	5	8585	150
7	1	100	150
7	2	200	150
7	3	400	150
7	4	745	150
7	5	745	150
8	1	200	150
8	2	500	150
8	3	1000	150
8	4	9999	150
8	5	9999	150
#============End of sheet============

#============Begin of sheet============
@Sheet=总览数据
星级等级	FeatureTags	星级事项
1		完成主线任务[属于猎人的星]
2		完成挑战卡片《二星猎人》
2		取得500星级积分
3		完成挑战卡片《三星猎人》
3		取得1500星级积分
4		完成挑战卡片《四星猎人》
4		取得3500星级积分
5		完成挑战卡片《五星猎人》
5		取得7000星级积分
6		完成挑战卡片《六星猎人》
6		取得12000星级积分
#============End of sheet============

#============Begin of sheet============
@Sheet=挑战卡片
卡片编号	FeatureTags	卡片名称	是否有效	所属分支编号	旧挑战积分	挑战积分	关联成就	解锁猎人星级	解锁分支等级	解锁黄金猎人星级	解锁玩家等级	解锁玩家HR等级	解锁前置挑战卡片	挑战目标最少数量	挑战目标类型	挑战目标参数1	挑战目标参数2	挑战目标参数3	挑战目标参数4	目标值	物品奖励	物品奖励绑定类型	卡片序号	卡片图片	卡片描述	卡片标题	是否隐藏	卡片等级	卡片颜色	卡片警句编号	是否全服公告	是否不弹窗	卡片星级	显示类型	CardFinishedSimpleDesc
10000		一星猎人	1	0	1620	1620		0	0	0	0	0	0	1	5	7	0	0		1			1	Primary_01	升到7级	完成以下任意目标：		1	3	0	0		1	1	
10000		一星猎人	1	0	1620	1620		0	0	0	0	0	0	1	1	11	0	0		1			1	Primary_01	<2>	完成以下任意目标：		1	3	0	0		1	1	
10001		黄金之星·壹	1	0	100	100		1	0	0	0	0	0	0	3	11091	0	0		1			2	Intermediate_01	<2>	获得以下挑战卡片：		1	3	0	0		1	1	
10001		黄金之星·壹	1	0	100	100		1	0	0	0	0	0	0	3	11096	0	0		1			2	Intermediate_01	<2>	获得以下挑战卡片：		1	3	0	0		1	1	
10001		黄金之星·壹	1	0	100	100		1	0	0	0	0	0	0	3	11098	0	0		1			2	Intermediate_01	<2>	获得以下挑战卡片：		1	3	0	0		1	1	
10001		黄金之星·壹	1	0	100	100		1	0	0	0	0	0	0	3	11100	0	0		1			2	Intermediate_01	<2>	获得以下挑战卡片：		1	3	0	0		1	1	
10001		黄金之星·壹	1	0	100	100		1	0	0	0	0	0	0	3	15026	0	0		1			2	Intermediate_01	<2>	获得以下挑战卡片：		1	3	0	0		1	1	
10002		二星猎人	1	0	100	100		1	0	0	0	0	0	0	4	516	60040	16		1			3	card_Destruction_13	破坏<2>的<3>	达成以下目标：		1	3	0	0		2	1	
10002		二星猎人	1	0	100	100		1	0	0	0	0	0	0	4	516	60060	16		1			3	card_Destruction_13	破坏<2>的<3>	达成以下目标：		1	3	0	0		2	1	
10002		二星猎人	1	0	100	100		1	0	0	0	0	0	0	4	516	60050	1		1			3	card_Destruction_13	破坏<2>的<3>	达成以下目标：		1	3	0	0		2	1	
10002		二星猎人	1	0	100	100		1	0	0	0	0	0	0	4	516	60011	16		1			3	card_Destruction_13	破坏<2>的<3>	达成以下目标：		1	3	0	0		2	1	
10002		二星猎人	1	0	100	100		1	0	0	0	0	0	0	4	516	60080	16		1			3	card_Destruction_13	破坏<2>的<3>	达成以下目标：		1	3	0	0		2	1	
10002		二星猎人	1	0	100	100		1	0	0	0	0	0	0	4	516	60090	16		1			3	card_Destruction_13	破坏<2>的<3>	达成以下目标：		1	3	0	0		2	1	
10003		黄金之星·贰	1	0	100	100		2	0	0	0	0	0	2	4	538	2			5			4	fm_01	狩魂石突破·攻击等级提升5次	完成以下挑战中的2项：		1	3	0	0		2	4	
