#TSV
#============Begin of sheet============
@Sheet=素材
总表ID	物品名称	说明	物品等级	稀有度	图标ID	离开副本是否保留	RANK	物品主类	物品中类	物品子类	绑定类型	拥有上限	携带上限	堆叠上限	农场精算点数	可否摧毁	购买价格	出售价格	是否商城道具	可否分解	物品过期时间	物品过期Tag	模型资源(男)	模型资源(女)	角色等级需求	种族需求	星级职业需求	星级等级需求	需求技能1ID	需求技能1等级MIN	需求技能1等级MAX	需求技能2ID	需求技能2等级MIN	需求技能2等级MAX	猎团等级需求	宠物等级需求	性别需求	需求地区ID	需求LevelMode	需求关卡ID	物品使用次数	CD时间	共享CD组	CD下线是否保留	使用目标	动作技能	物品使用功能1名称	物品使用功能1参数1	物品使用功能1参数2	物品使用功能1参数3	物品使用功能2名称	物品使用功能2参数1	物品使用功能2参数2	物品使用功能2参数3	物品使用功能3名称	物品使用功能3参数1	物品使用功能3参数2	物品使用功能3参数3	物品使用功能4名称	物品使用功能4参数1	物品使用功能4参数2	物品使用功能4参数3	可否被偷窃	共享携带上限组ID	物品伤害信息	排序参数	商城索引ID	素材分类_1	素材价值_1	素材分类_2	素材价值_2	素材分类_3	素材价值_3	素材分类_4	素材价值_4	素材分类_5	素材价值_5	素材分类_6	素材价值_6	素材分类_7	素材价值_7	素材分类_8	素材价值_8	素材分类_9	素材价值_9	素材分类_10	素材价值_10	副本中使用次数	随机狩猎奖励点	解绑道具	解绑道具数量
15001	河狸兽的爪	"<FONT COLOR=\"\#68A16A\" >陈旧的素材，已经没什么用了，与其占着空间，不如卖店换些小钱吧。</FONT><BR><FONT COLOR=\"\#6285C6\" >来源：河狸兽</FONT><BR><BR><FONT COLOR=\"\#C6B262\">河狸兽的爪子，尖锐的爪尖能够非常容易的捕捉猎物。</FONT>"	1	1	item_icon_59	1	0	1	8	1	0	0	0	999	0	0	100	8	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15001		2021			6		6		6																1		
15002	河狸兽的皮	"<FONT COLOR=\"\#68A16A\" >陈旧的素材，已经没什么用了，与其占着空间，不如卖店换些小钱吧。</FONT><BR><FONT COLOR=\"\#6285C6\" >来源：河狸兽</FONT><BR><BR><FONT COLOR=\"\#C6B262\">从河狸兽身上剥下的皮毛，可以制作一般的装备。</FONT>"	1	1	item_icon_59	1	0	1	8	1	0	0	0	999	0	0	100	8	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15002		2021			2		2		2																1		
15003	河狸兽的牙	"<FONT COLOR=\"\#68A16A\" >陈旧的素材，已经没什么用了，与其占着空间，不如卖店换些小钱吧。</FONT><BR><FONT COLOR=\"\#6285C6\" >来源：河狸兽</FONT><BR><BR><FONT COLOR=\"\#C6B262\">河狸兽的牙，河狸兽进行攻击时最重要的武器。</FONT>"	1	1	item_icon_59	1	0	1	8	1	0	0	0	999	0	0	100	8	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15003		2021			2		2		2																1		
15004	温暖的毛皮	"<FONT COLOR=\"\#68A16A\" >陈旧的素材，已经没什么用了，与其占着空间，不如卖店换些小钱吧。</FONT><BR><FONT COLOR=\"\#6285C6\" >来源：河狸兽</FONT><BR><BR><FONT COLOR=\"\#C6B262\">很厚实的毛皮，披在身上可以抵御寒冷。</FONT>"	1	1	item_icon_59	1	0	1	8	1	0	0	0	999	0	0	150	8	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15004		2021			4		4		4																1		
15005	磨损的门牙	"<FONT COLOR=\"\#6285C6\" >来源：河狸兽</FONT><BR><BR><FONT COLOR=\"\#C6B262\">河狸兽的门牙，长期啃食木头已经磨损。</FONT>"	1	2	mat_tooth_02_BRW	1	0	1	8	1	2	0	0	999	0	0	150	8	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15005		2021		101	6	5	6	51	6																5		
15006	强韧的脚蹼	"<FONT COLOR=\"\#68A16A\" >陈旧的素材，已经没什么用了，与其占着空间，不如卖店换些小钱吧。</FONT><BR><FONT COLOR=\"\#6285C6\" >来源：河狸兽</FONT><BR><BR><FONT COLOR=\"\#C6B262\">河狸兽水中游泳使用的脚蹼，具有强韧的韧性，极为适合制作装备。</FONT>"	1	3	item_icon_59	1	0	1	8	1	0	0	0	999	0	0	100	8	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15006		2021			6		6		6																		
15007	潮湿的毛皮	"<FONT COLOR=\"\#68A16A\" >陈旧的素材，已经没什么用了，与其占着空间，不如卖店换些小钱吧。</FONT><BR><FONT COLOR=\"\#6285C6\" >来源：河狸兽</FONT><BR><BR><FONT COLOR=\"\#C6B262\">河狸兽在常年的浸泡在水中的毛皮，具有良好的保温及防水性能，能够制造结实的防具。</FONT>"	1	3	item_icon_59	1	0	1	8	1	0	0	0	999	0	0	150	8	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15007		2021			2		2		2																		
15008	河狸兽的尾甲	"<FONT COLOR=\"\#68A16A\" >陈旧的素材，已经没什么用了，与其占着空间，不如卖店换些小钱吧。</FONT><BR><FONT COLOR=\"\#6285C6\" >来源：河狸兽</FONT><BR><BR><FONT COLOR=\"\#C6B262\">河狸兽的尾部的甲壳，流线型的排列帮助河狸兽在水中游动。</FONT>"	1	3	item_icon_59	1	0	1	8	1	0	0	0	999	0	0	100	8	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15008		2021			2		2		2																		
15009	完好的骨甲	"<FONT COLOR=\"\#68A16A\" >陈旧的素材，已经没什么用了，与其占着空间，不如卖店换些小钱吧。</FONT><BR><FONT COLOR=\"\#6285C6\" >来源：河狸兽</FONT><BR><BR><FONT COLOR=\"\#C6B262\">河狸兽背部的高品质骨甲，具有坚强的耐用度，平整的边缘可以更容易的进行加工。</FONT>"	1	3	item_icon_59	1	0	1	8	1	0	0	0	999	0	0	150	8	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15009		2021			4		4		4																		
15010	河狸兽坚头壳	"<FONT COLOR=\"\#68A16A\" >陈旧的素材，已经没什么用了，与其占着空间，不如卖店换些小钱吧。</FONT><BR><FONT COLOR=\"\#6285C6\" >来源：河狸兽</FONT><BR><BR><FONT COLOR=\"\#C6B262\">从年长的河狸兽身上剥去的头壳，硬度较一般的河狸兽来说要更强一些。</FONT>"	1	3	item_icon_59	1	0	1	8	1	0	0	0	999	0	0	100	8	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15010		2021			6		6		6																		
15011	河狸兽的尖爪	"<FONT COLOR=\"\#68A16A\" >陈旧的素材，已经没什么用了，与其占着空间，不如卖店换些小钱吧。</FONT><BR><FONT COLOR=\"\#6285C6\" >来源：河狸兽</FONT><BR><BR><FONT COLOR=\"\#C6B262\">尖锐的河狸兽之爪，利用足够好的情况下能够制作出对怪物造成严重伤害的武器。</FONT>"	1	1	item_icon_59	1	0	1	8	1	0	0	0	999	0	0	150	8	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15011		2021			6		6		6																1		
15012	河狸兽的优质皮	"<FONT COLOR=\"\#68A16A\" >陈旧的素材，已经没什么用了，与其占着空间，不如卖店换些小钱吧。</FONT><BR><FONT COLOR=\"\#6285C6\" >来源：河狸兽</FONT><BR><BR><FONT COLOR=\"\#C6B262\">从河狸兽身上剥去下的优质皮革，比硬皮更加耐用，是制作高级装备的必备品。</FONT>"	1	1	item_icon_59	1	0	1	8	1	0	0	0	999	0	0	150	8	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15012		2021			2		2		2																1		
