#TSV
#============Begin of sheet============
@Sheet=物品等级提升
升级消耗规则	Pre等级	After等级	需求人物等级	需求猎人星级	需求强化等级	升级代币ID	升级代币抵扣金额	升级代币使用上限	需求金钱	是否必须使用非绑定金	需求素材ID1	所需数量1	需求素材ID2	所需数量2	需求素材ID3	所需数量3	需求素材ID4	所需数量4	需求素材ID5	所需数量5	需求素材ID6	所需数量6	需求类型素材ID1	所需总价值1	需求类型素材ID2	所需总价值2	需求类型素材ID3	所需总价值3	需求类型素材ID4	所需总价值4	需求类型素材ID5	所需总价值5	需求类型素材ID6	所需总价值6	素材代币ID1	素材代币个数1	素材代币点数1	素材代币ID2	素材代币个数2	素材代币点数2	素材代币ID3	素材代币个数3	素材代币点数3	素材代币ID4	素材代币个数4	素材代币点数4	素材代币ID5	素材代币个数5	素材代币点数5	素材代币ID6	素材代币个数6	素材代币点数6
1	70	71	40	1	0	1	200	1	1000	0	15001	1	15002	1									101	5	5	50																										
1	71	72	40	1	0	1	200	2	2000	0	15001	2	15002	1									102	10	111	2																										
1	72	73	40	1	0	1	200	3	3000	0	15001	3	15002	1									103	100	111	3																										
1	73	74	40	1	0	1	200	4	4000	0	15001	4	15002	1									104	1	111	4																										
1	74	75	40	1	0	1	200	5	5000	0	15001	5	15002	1									105	20	111	5																										
1	75	76	40	1	0	1	200	6	6000	0	15001	6	15002	1	15003	1	15004	1	15005	1	15006	1	106	50	111	6																										
1	76	77	40	1	0	1	200	7	7000	0	15001	7	15002	1									107	30	111	7																										
1	77	78	40	1	0	1	200	8	8000	0	15001	8	15002	1									108	10	111	8																										
1	78	79	40	1	0	1	200	9	9000	0	15001	9	15002	1									109	10	111	9																										
1	79	80	40	1	0	1	200	10	10000	0	15001	10	15002	1									110	10	111	10																										
2	70	71	40	1	0	1	200	1	1000	0	15003	1	15002	1									101	5	6	50																										
2	71	72	40	1	0	1	200	2	2000	0	15003	1	15002	2									102	10	111	2																										
2	72	73	40	1	0	1	200	3	3000	0	15003	1	15002	3									103	100	111	3																										
2	73	74	40	1	0	1	200	4	4000	0	15003	1	15002	4									104	1	111	4																										
2	74	75	40	1	0	1	200	5	5000	0	15003	1	15002	5									105	20	111	5																										
2	75	76	40	1	0	1	200	6	6000	0	15003	1	15002	6									106	50	111	6																										
2	76	77	40	1	0	1	200	7	7000	0	15003	1	15002	7									107	30	111	7																										
2	77	78	40	1	0	1	200	8	8000	0	15003	1	15002	8									108	10	111	8																										
2	78	79	40	1	0	1	200	9	9000	0	15003	1	15002	9									109	10	111	9																										
2	79	80	40	1	0	1	200	10	10000	0	15003	1	15002	10									110	10	111	10																										
1525	120	150	150	1	0				1	0																																										
1526	120	150	150	1	0				1	0																																										
1526	150	165	165	1	0				1	0																																										
1526	165	180	180	1	0				1	0																																										
1527	65	66	66	1	0	21451	2000	1	4000	0													5	30											21474	3	10															
1527	66	67	67	1	0	21451	2000	1	4000	0													5	30											21474	3	10															
1527	67	68	68	1	0	21451	2000	1	4000	0													5	30											21474	3	10															
1527	68	69	69	1	0	21451	2000	1	4000	0													5	30											21474	3	10															
1527	69	70	70	1	0	21451	2000	2	8000	0													5	100											21474	10	10															
1527	70	71	71	1	0	21451	2000	1	4000	0													5	100											21474	10	10															
1527	71	72	72	1	0	21451	2000	1	4000	0													5	100											21474	10	10															
1527	72	73	73	1	0	21451	2000	1	4000	0													5	100											21474	10	10															
1527	73	74	74	1	0	21451	2000	1	4000	0													5	100											21474	10	10															
1532	65	66	66	1	0	21451	2000	1	4000	0													5	30											21474	3	10															
1532	66	67	67	1	0	21451	2000	1	4000	0													5	30											21474	3	10															
1532	67	68	68	1	0	21451	2000	1	4000	0													5	30											21474	3	10															
1532	68	69	69	1	0	21451	2000	1	4000	0													5	30											21474	3	10															
1532	69	70	70	1	0	21451	2000	2	8000	0													5	100											21474	10	10															
1532	70	71	71	1	0	21451	2000	1	4000	0													5	100											21474	10	10															
1532	71	72	72	1	0	21451	2000	1	4000	0													5	100											21474	10	10															
1532	72	73	73	1	0	21451	2000	1	4000	0													5	100											21474	10	10															
1532	73	74	74	1	0	21451	2000	1	4000	0													5	100											21474	10	10															
1532	74	75	75	1	0	21451	2000	2	8000	0													5	200											21474	20	10															
1532	75	76	76	1	0	21451	2000	1	4000	0													5	200											21474	20	10															
1532	76	77	77	1	0	21451	2000	1	4000	0													5	200											21474	20	10															
1532	77	78	78	1	0	21451	2000	1	4000	0													5	200											21474	20	10															
1532	78	79	79	1	0	21451	2000	1	4000	0													5	200											21474	20	10															
1532	79	80	80	1	0	21451	2000	2	8000	0													5	200											21474	20	10															
1532	80	81	81	1	0	21451	2000	1	4000	0													5	200											21474	20	10															
1532	81	82	82	1	0	21451	2000	1	4000	0													5	200											21474	20	10															
1532	82	83	83	1	0	21451	2000	1	4000	0													5	200											21474	20	10															
1532	83	84	84	1	0	21451	2000	1	4000	0													5	200											21474	20	10															
1532	84	85	85	1	0	21451	2000	2	8000	0													5	200											21474	20	10															
1532	85	86	86	1	0	21451	2000	1	4000	0													5	200											21474	20	10															
1532	86	87	87	1	0	21451	2000	1	4000	0													5	200											21474	20	10															
1532	87	88	88	1	0	21451	2000	1	4000	0													5	200											21474	20	10															
1532	88	89	89	1	0	21451	2000	1	4000	0													5	200											21474	20	10															
1532	89	90	90	1	0	21451	2000	2	8000	0													5	200											21474	20	10															
1532	90	91	91	1	0	21451	2000	1	4000	0													5	200											21474	20	10															
1532	91	92	92	1	0	21451	2000	1	4000	0													5	200											21474	20	10															
1532	92	93	93	1	0	21451	2000	1	4000	0													5	200											21474	20	10															
