#TSV
#============Begin of sheet============
@Sheet=关卡评价奖励
奖励ID	评价	物品1	数量1	物品2	数量2	物品3	数量3	物品4	数量4
3	5	24960	3						
3	4	24960	2						
3	3	24960	1						
3	2	24960	1						
#============End of sheet============

#============Begin of sheet============
@Sheet=关卡武器奖励
奖励ID	武器类型	物品1	数量1	物品2	数量2	物品3	数量3	物品4	数量4
1	1	21374	1						
1	2	21375	1						
1	4	21376	1						
1	5	21377	1						
1	7	21378	1						
1	10	21379	1						
2	1	21374	2						
2	2	21375	2						
2	4	21376	2						
2	5	21377	2						
2	7	21378	2						
2	10	21379	2						
101	1	4400	1						
101	2	4416	1						
101	3	4432	1						
101	4	4408	1						
101	5	4424	1						
101	6	4408	1						
101	7	4400	1						
101	8	4416	1						
101	9	4432	1						
101	10	4424	1						
102	1	4401	1						
102	2	4417	1						
102	3	4433	1						
102	4	4409	1						
102	5	4425	1						
102	6	4409	1						
102	7	4401	1						
102	8	4417	1						
102	9	4433	1						
102	10	4425	1						
103	1	4402	1						
103	2	4418	1						
103	3	4434	1						
103	4	4410	1						
103	5	4426	1						
103	6	4410	1						
103	7	4402	1						
103	8	4418	1						
103	9	4434	1						
103	10	4426	1						
104	1	4403	1						
104	2	4419	1						
104	3	4435	1						
104	4	4411	1						
104	5	4427	1						
104	6	4411	1						
104	7	4403	1						
104	8	4419	1						
104	9	4435	1						
104	10	4427	1						
105	1	4404	1						
105	2	4420	1						
105	3	4436	1						
105	4	4412	1						
105	5	4428	1						
105	6	4412	1						
105	7	4404	1						
105	8	4420	1						
105	9	4436	1						
105	10	4428	1						
106	1	4405	1						
106	2	4421	1						
106	3	4437	1						
106	4	4413	1						
106	5	4429	1						
106	6	4413	1						
106	7	4405	1						
106	8	4421	1						
106	9	4437	1						
106	10	4429	1						
107	1	4406	1						
107	2	4422	1						
107	3	4438	1						
107	4	4414	1						
107	5	4430	1						
107	6	4414	1						
107	7	4406	1						
107	8	4422	1						
107	9	4438	1						
107	10	4430	1						
108	1	4407	1						
