#TSV
#============Begin of sheet============
@Sheet=ManuNPCInfo
RowID	NPCID	生产分支ID	生产熟练度等级下限	生产熟练度等级上限
1	30008	1	1	1
2	30020	2	1	1
3	30103	2	1	1
4	30117	3	1	1
5	30136	1	1	1
#============End of sheet============

#============Begin of sheet============
@Sheet=ManuStudyInfo

#============End of sheet============

#============Begin of sheet============
@Sheet=ManuUnlockInfo

#============End of sheet============

#============Begin of sheet============
@Sheet=ManufactureDataInfo
id	name	branchId	subBranchId	subName	type	GraspActionProb	needProficiency	compProficiency	compProbability	cardID	compNeedManuID	cd	cdGroup	addPoint	highSteps	normalSteps	lowSteps	orderItemID1	item1name	orderItem1CountMin	orderItem1CountMax	orderItemID2	orderItem2Rate	orderItem2CountMin	orderItem2CountMax	useMoney	useVigour	intoneTime	materialItem1ID	materialItem1name	materialItem1Count	materialItem2ID	materialItem2name	materialItem2Count	materialItem3ID	materialItem3name	materialItem3Count	materialItem4ID	materialItem4name	materialItem4Count	materialItem5ID	materialItem5name	materialItem5Count	materialItem6ID	materialItem6name	materialItem6Count
1	增强剂	1	3	药剂	1		0	0										21138	增强剂	1	1					0		500	21100	蜂蜜	3	21067	苦虫	1	0	0	0									
2	回复药	1	3	药剂	2		0	0										1	回复药	1	1					0		500	8	药草	1	21081	蓝蘑菇	1	0	0	0									
3	回复药G	1	3	药剂	3		0	0										1853	回复药G	1	1					0		500	1	回复药	1	21100	蜂蜜	1	19991	神秘粉末	1									
4	高级回复药	1	3	药剂	4		0	0										1854	高级回复药	1	1					0		500	1853	回复药G	1	48	紫参草	1	0	0	0									
5	高级回复药G	1	3	药剂	5		0	0										1855	高级回复药G	1	1					0		500	1854	高级回复药	1	49	乌骨草	1	0	0	0									
6	大型回复药	1	3	药剂	6		0	0										1856	大型回复药	1	1					0		500	1855	高级回复药G	1	50	白叶草	1	0	0	0									
7	鬼人药	1	3	药剂	7		0	0										276	鬼人药	1	1					0		500	21138	增强剂	1	376	怪力之种	2	0	0	0									
8	鬼人药G	1	3	药剂	8		0	0										1857	鬼人药G	1	1					0		500	276	鬼人药	1	21013	怪力果实	1	0	0	0									
9	高级鬼人药	1	3	药剂	9		0	0										1858	高级鬼人药	1	1					0		500	1857	鬼人药G	1	21015	大王花	4	21005	紫参草	1									
10	高级鬼人药G	1	3	药剂	10		0	0										1859	高级鬼人药G	1	1					0		500	1858	高级鬼人药	1	21016	索拉纳苔	3	0	0	0									
11	大型鬼人药	1	3	药剂	11		0	0										1860	大型鬼人药	1	1					0		500	1859	高级鬼人药G	1	21017	沙地棘	4	0	0	0									
12	硬化药	1	3	药剂	12		0	0										277	硬化药	1	1					0		500	21138	增强剂	1	375	忍耐之种	2	0	0	0									
13	硬化药G	1	3	药剂	13		0	0										1861	硬化药G	1	1					0		500	277	硬化药	1	21014	忍耐果实	1	0	0	0									
14	高级硬化药	1	3	药剂	14		0	0										1862	高级硬化药	1	1					0		500	1861	硬化药G	1	21023	龟壳果	4	21005	紫参草	1									
15	高级硬化药G	1	3	药剂	15		0	0										1863	高级硬化药G	1	1					0		500	1862	高级硬化药	1	21024	混沌茸	3	0	0	0									
16	大型硬化药	1	3	药剂	16		0	0										1864	大型硬化药	1	1					0		500	1863	高级硬化药G	1	21025	极地参	4	0	0	0									
17	营养剂	1	3	药剂	17		0	0										275	营养剂	1	1					0		500	21081	蓝蘑菇	2	21069	不死虫	1	0	0	0									
18	营养剂G	1	3	药剂	18		0	0										1865	营养剂G	1	1					0		500	275	营养剂	1	21100	蜂蜜	3	19991	神秘粉末	2									
19	解毒药	1	3	药剂	19	5	0	0										4	解毒药	1	1					0		500	21003	解毒草	1	21081	蓝蘑菇	2	0	0	0									
20	活力剂	1	3	药剂	20		0	0										273	活力剂	1	1					0		500	21138	增强剂	1	21018	曼陀罗花	1	0	0	0									
21	提神药	1	3	药剂	21		0	0										274	提神药	1	1					0		500	21100	蜂蜜	3	21012	落阳草	1	0	0	0									
22	生命之粉	1	3	药剂	22		0	0										21097	生命之粉	1	1					0		500	21069	不死虫	1	21089	迷之骨	1	0	0	0									
23	生命粉尘	1	3	药剂	23		0	0										12	生命粉尘	1	1					0		500	21097	生命之粉	1	20956	鹿角	3	19991	神秘粉末	3									
24	汉方药	1	3	药剂	24		0	0	100		19							279	汉方药	1	1					0		500	21011	仙人掌花	1	21067	苦虫	1	0	0	0									
25	冻肉	1	3	药剂	25		0	0	100		27							17	冻肉	1	1					0		500	15	烤熟的肉	1	21045	冰结晶	2	0	0	0									
26	温肉	1	3	药剂	26		0	0	100		28							18	温肉	1	1					0		500	15	烤熟的肉	1	21026	野生辣椒	2	0	0	0									
27	冷饮	1	3	药剂	27	5	0	0										9	冷饮	1	2					0		500	21067	苦虫	1	21045	冰结晶	1	0	0	0									
28	热饮	1	3	药剂	28	5	0	0										10	热饮	1	2					0		500	21067	苦虫	1	21026	野生辣椒	1	0	0	0									
29	消散剂	1	3	药剂	29		0	0										445	消散剂	1	1					0		500	21138	增强剂	1	21026	野生辣椒	1	0	0	0									
30	应急药G	1	3	药剂	30		0	0										418	应急药G	1	1					0		500	59	应急药	1	21100	蜂蜜	1	0	0	0									
31	无尽冷饮	1	3	药剂	31		0	0										377	无尽冷饮	1	1					0		500	20006	增殖玉	3	9	冷饮	99	0	0	0									
32	无尽热饮	1	3	药剂	32		0	0										378	无尽热饮	1	1					0		500	20006	增殖玉	3	10	热饮	99	0	0	0									
33	无尽恒温药剂	1	3	药剂	33		0	0										40304	无尽恒温药剂	1	1					0		500	20006	增殖玉	3	377	无尽冷饮	1	378	无限热饮	1									
34	无尽解毒药	1	3	药剂	34		0	0										379	无尽解毒药	1	1					0		500	20006	增殖玉	3	4	解毒药	99	0	0	0									
35	无尽解毒药【G】	1	3	药剂	35		0	0										380	无尽解毒药【G】	1	1					0		500	20006	增殖玉	3	379	无尽解毒药	2	0	0	0									
36	无尽消散剂	1	3	药剂	36		0	0										381	无尽消散剂	1	1					0		500	20006	增殖玉	3	445	消散剂	99	0	0	0									
37	无尽消散剂【G】	1	3	药剂	37		0	0										382	无尽消散剂【G】	1	1					0		500	20006	增殖玉	3	381	无尽消散剂	2	0	0	0									
38	无尽千里眼药	1	3	药剂	38		0	0										383	无尽千里眼药	1	1					0		500	20006	增殖玉	3	13	千里眼药	99	0	0	0									
39	无尽千里眼药【G】	1	3	药剂	39		0	0										384	无尽千里眼药【G】	1	1					0		500	20006	增殖玉	3	383	无尽千里眼药	2	0	0	0									
40	大怪鸟馅月饼	1	10	活动物品	40		0	0										12042	大怪鸟馅月饼	1	1					0		500	12035	10克清水	1	12036	10克面粉	2	12037	10克大怪鸟肉馅	3									
41	野猪王馅月饼	1	10	活动物品	41		0	0										12043	野猪王馅月饼	1	1					0		500	12035	10克清水	1	12036	10克面粉	2	12038	10克野猪王肉馅	3									
42	麒麟馅月饼	1	10	活动物品	42		0	0										12044	麒麟馅月饼	1	1					0		500	12035	10克清水	1	12036	10克面粉	2	12039	10克麒麟肉馅	3									
43	素馅饺子	1	10	活动物品	43		0	0										12096	素馅饺子	1	1					0		500	12089	10克清水	1	12090	10克面粉	2	12091	10克素馅	3									
44	肉馅饺子	1	10	活动物品	44		0	0										12097	肉馅饺子	1	1					0		500	12089	10克清水	1	12090	10克面粉	2	12092	10克肉馅	3									
45	虾仁饺子	1	10	活动物品	45		0	0										12098	虾仁饺子	1	1					0		500	12089	10克清水	1	12090	10克面粉	2	12093	10克虾仁馅	3									
101	素材玉	2	6	耗材	101		0	0										21098	素材玉	2	2					0		500	21001	黏着草	1	21177	小石子	1	0	0	0									
102	网	2	6	耗材	102		0	0										21091	网	1	1					0		500	21387	蜘蛛的巢穴	1	21010	常春藤叶	1	0	0	0									
103	捕获用麻醉药	2	6	耗材	103		0	0										21162	捕获用麻醉药	1	1					0		500	21004	睡眠草	1	21082	麻痹蘑菇	1	0	0	0									
104	炸药	2	6	耗材	104		0	0										21095	炸药	1	1					0		500	21002	火药草	1	21084	硝化蘑菇	1	0	0	0									
