#TSV
#============Begin of sheet============
@Sheet=系统提示
提示ID	提示内容	提示位置1	信息颜色1	提示位置2	信息颜色2	提示位置3	信息颜色3	提示位置4	信息颜色4	提示位置5	信息颜色5	对应icon
6201	保持生态平衡，加速优胜劣汰，瘦子必须死！	3	10	1	1							
6202	胖瘦都分不清的人没有资格当猎人！	3	10	1	1							
6203	爱情，痛苦而又甜蜜。天堂，幸福而又慵懒，你的选择？	3	10	1	1							
6204	无尽的奥义!无尽的怪物!谁!才能淹没谁?	3	10	1	1							
6205	啊!她高高在上!让她低头!让她屈服!	3	10	1	1							
6206	要丢右脚喵！	3	10	1	1							
6207	就是这样喵！丢右脚喵！	3	10	1	1							
6208	这次的任务是给桃毛兽们喂香蕉！	3	10	1	1							
6209	天之蓝，地之黄！	3	10	1	1							
6210	听说猪油对刀的锋利度很有帮助哦！	3	10	1	1							
6211	毒能害人，也能帮助你打败敌人！	3	10	1	1							
6212	请帮助桃毛兽夫妇好好教育他们的孩子吧！	3	10	1	1							
6213	韧者为王！前往六区！	3	10	1	1							
6214	踩踏发光物后开始计时，在兽群中坚持400秒！踩点有加分哦~	3	10	1	1							
6215	测试SP怪物1部位1	3	10	1	1							
6216	测试SP怪物1部位2	3	10	1	1							
6217	测试SP怪物1部位3	3	10	1	1							
6218	测试怪物1出生	3	10	1	1							
6219	测试SP怪物1其他部位	3	10	1	1							
6220	测试SP怪物1命中	3	10	1	1							
6221	测试目标怪物1死亡	3	10	1	1							
6222	测试目标怪物1出生	3	10	1	1							
6223	割去它的双翅，让它不能再飞翔！	3	10	1	1							
6224	用小沙龙之血来增加奥义槽！	3	10	1	1							
6225	让刀刃染上麻痹的汁液！麻痹你的敌人！	3	10	1	1							
6226	喝下毒药混合体，让毒药带给你力量！	3	10	1	1							
6227	惩罚不听话的桃毛兽王吧！	3	10	1	1							
6228	嗷！我下次不敢了！	3	10	1	1							
6229	斩断它的尾巴，挑战他的愤怒！	3	10	1	1							
6230	尾巴也能带来快乐哦！	3	10	1	1							
6231	用蛋黄来获得蟹酱吧！	3	10	1	1							
6232	请打破猪兄弟之间的羁绊吧！	3	10	1	1							
6233	今天的任务是帮助河狸兽修整尾巴！	3	10	1	1							
6234	蓝速龙好杀你也不能随便杀呀！	3	10	1	1							
6235	你会召唤！我会叫唤！	3	10	1	1							
