#TSV
#============Begin of sheet============
@Sheet=AbnormalState
MonsterID	Name	PoisonTol	Poison	PoisonAdd	PoisonMax	PoisonWeaken	PoisonBuff	PoisonDmg	PoisonCount	PoisonWeakenScale	ParalysisTol	Paralysis	ParalysisAdd	ParalysisMax	ParalysisWeaken	ParalysisBuff	ParalysisCount	ParalysisWeakenScale	SleepTol	Sleep	SleepAdd	SleepMax	SleepWeaken	SleepBuff	SleepCount	SleepWeakenScale	DynamiteTol	Dynamite	DynamiteAdd	DynamiteMax	DynamiteWeaken	DynamiteBuff	DynamiteDmg	DynamiteCount	DynamiteWeakenScale	StunTol	Stun	StunAdd	StunMax	StunWeaken	StunBuff	StunCount	StunWeakenScale	TrapTol	TrapTimeLower	TrapCount	TrapWeakenScale	ParaTrapTol	ParaTrapTimeLower	ParaTrapCount	ParaTrapWeakenScale	AdvTrapTol	AdvTrapTimeLower	AdvTrapCount	AdvTrapWeakenScale	FlareTol	FlareTimeLower	FlareCount	FlareWeakenScale	SonicTol	SonicWeakenScale	SonicTimeLower	FalldownTol	FalldownWeakenScale	FalldownTimeLower	AnesthesiaCount	Anesthesia	AnesthesiaWeakenScale
50001	战斗猫	100	20	20	100	5	20000138	5	3	90	100	600	900	8000	5	70006	4	90	100	600	900	8000	5	70005	3	90	100	600	400	5400	0	20000322	45	1000	0	100	1200	100	10000	5	70007	3	95			3				3				3			4000	3	90					70	3000	300	150	1
50010	精灵鹿	100	20	20	100	5	20000138	5	3	90	100	600	900	8000	5	70006	4	90	100	600	900	8000	5	70005	3	90	100	600	400	5400	0	20000322	45	1000	0	50	1200	500	10000	5	70007	3	95			3				3				3			4000	3	90					70	3000	300	150	1
50020	雪山麋鹿	100	20	20	100	5	20000138	5	3	90	100	600	900	8000	5	70006	4	90	100	600	900	8000	5	70005	3	90	100	600	400	5400	0	20000322	45	1000	0	50	1200	500	10000	5	70007	3	95			3				3				3			4000	3	90					70	3000	300	150	1
50030	猛犸象	100	20	20	100	5	20000138	5	3	90	100	600	900	8000	5	70006	4	90	100	600	900	8000	5	70005	3	90	100	600	400	5400	0	20000322	45	1000	0	50	1200	500	10000	5	70007	3	95			3				3				3		100	4000	3	90					70	3000	300	150	1
50040	香菇猪	100	20	20	100	5	20000138	5	3	90	100	600	900	8000	5	70006	4	90	100	600	900	8000	5	70005	3	90	100	600	400	5400	0	20000322	45	1000	0	50	1200	500	10000	5	70007	3	95			3				3				3		100	4000	3	90					70	3000	300	150	1
50042	PVP香菇猪	100	20	20	100	5	20000138	5	3	90	100	600	600	2000	5	70006	4	90	100	1200	1500	12000	5	70005	3	90	100	600	400	5400	0	20000322	45	1000	0	50	2000	3000	20000	5	70007	3	99			3				3				3		100	4000	3	90					70	3000	300	150	1
50050	野猪	100	20	20	100	5	20000138	5	3	90	100	600	900	8000	5	70006	4	90	100	600	900	8000	5	70005	3	90	100	600	400	5400	0	20000322	45	1000	0	50	1200	500	10000	5	70007	3	95			3				3				3		100	4000	3	90					70	3000	300	150	1
50053	PVP野猪	100	20	20	100	5	20000138	5	3	90	100	600	600	2000	5	70006	4	90	100	1200	1500	12000	5	70005	3	90	100	600	400	5400	0	20000322	45	1000	0	50	2000	3000	20000	5	70007	3	99			3				3				3		100	4000	3	90					70	3000	300	150	1
50055	降低猪车频率的小野猪	100	20	20	100	5	20000138	5	3	90	100	600	900	8000	5	70006	4	90	100	600	900	8000	5	70005	3	90	100	600	400	5400	0	20000322	45	1000	0	50	1200	500	10000	5	70007	3	95			3				3				3		100	4000	3	90					70	3000	300	150	1
50056	战斗组测试用野猪	100	20	20	100	5	20000138	5	3	90	100	600	900	8000	5	70006	4	90	100	600	900	8000	5	70005	3	90	100	600	400	5400	0	20000322	45	1000	0	50	1200	500	10000	5	70007	3	95			3				3				3		100	4000	3	90					70	3000	300	150	1
50060	蓝速龙	100	20	20	100	5	20000138	5	3	90	100	600	900	8000	5	70006	4	90	100	600	900	8000	5	70005	3	90	100	600	400	5400	0	20000322	45	1000	0	50	1200	500	10000	5	70007	3	95			3				3				3		100	4000	3	90					70	3000	300	150	1
50070	黄速龙	100	20	20	100	5	20000138	5	3	90	100	600	900	8000	5	70006	4	90	100	600	900	8000	5	70005	3	90	100	600	400	5400	0	20000322	45	1000	0	50	1200	500	10000	5	70007	3	95			3				3				3			4000	3	90					70	3000	300	150	1
50080	红速龙	100	20	20	100	5	20000138	5	3	90	100	600	900	8000	5	70006	4	90	100	600	900	8000	5	70005	3	90	100	600	400	5400	0	20000322	45	1000	0	50	1200	500	10000	5	70007	3	95			3				3				3			4000	3	90					70	3000	300	150	1
50081	只会叫的红速龙	100	20	20	100	5	20000138	5	3	90	100	600	900	8000	5	70006	4	90	100	600	900	8000	5	70005	3	90	100	600	400	5400	0	20000322	45	1000	0	50	1200	500	10000	5	70007	3	95			3				3				3			4000	3	90					70	3000	300	150	1
50090	白速龙	100	20	20	100	5	20000138	5	3	90	100	600	900	8000	5	70006	4	90	100	600	900	8000	5	70005	3	90	100	600	400	5400	0	20000322	45	1000	0	50	1200	500	10000	5	70007	3	95			3				3				3			4000	3	90					70	3000	300	150	1
50100	野生艾露	100	20	20	100	5	20000138	5	3	90	100	600	900	8000	5	70006	4	90	100	600	900	8000	5	70005	3	90	100	600	400	5400	0	20000322	45	1000	0	100	1200	100	10000	5	70007	3	95			3				3				3			4000	3	90					70	3000	300	150	1
50110	野生梅露	100	20	20	100	5	20000138	5	3	90	100	600	900	8000	5	70006	4	90	100	600	900	8000	5	70005	3	90	100	600	400	5400	0	20000322	45	1000	0	100	1200	100	10000	5	70007	3	95			3				3				3			4000	3	90					70	3000	300	150	1
50111	猫猫大盗	100	20	20	100	5	20000138	5	3	90	100	600	900	8000	5	70006	4	90	100	600	900	8000	5	70005	3	90	100	600	400	5400	0	20000322	45	1000	0	100	1200	100	10000	5	70007	3	95			3				3				3			4000	3	90					70	3000	300	150	1
50120	草食龙	100	20	20	100	5	20000138	5	3	90	100	600	900	8000	5	70006	4	90	100	600	900	8000	5	70005	3	90	100	600	400	5400	0	20000322	45	1000	0	50	1200	500	10000	5	70007	3	95			3				3				3		100	4000	3	90					70	3000	300	150	1
50122	肯妈用草食龙	100	20	20	100	5	20000138	15	3	90	100	1200	1200	8000	5	70006	4	90	100	1200	1500	12000	5	70005	3	90	100	600	400	5400	0	20000322	45	1000	0	70	1200	1000	10000	5	70007	3	95	50	4000	3	60	100	5000	3	60	100	5000	3	60	50	4000	3	90	100	90	4000	50	70	3000	300	150	1
