#TSV
#============Begin of sheet============
@Sheet=定义
标识	名	显示名
1	Abdomen	Abdomen
2	Antennae1	Tentacles 1
3	Antennae2	Tentacles 2
4	Antennae3	Tentacles 3
5	Antennae4	Tentacles 4
6	Antennae5	Tentacles 5
7	Antennae6	Tentacles 6
8	Antennae7	Tentacles 7
9	Antennae8	Tentacles 8
10	Arms	Arm
11	Back	Back
12	Body	Torso (dead)
13	Chest	Chest
14	Eyes	Eye
15	Face	Face
16	Head	Head
17	LeftArm	Left arm
18	LeftBackLeg	Left hind leg
19	LeftFoot	Left foot (foot first)
20	LeftHand	Left hand (pliers)
21	LeftLeg	Left (front) legs
22	LeftWing	Left wing
23	LeftWrist	Left wrist
24	Legs	Leg
25	Mouth	Tongue
26	Neck	Neck (head)
27	RightArm	Right arm
28	RightBackLeg	Right hind leg
29	RightFoot	Right foot (foot first)
30	RightHand	Right hand (pliers)
31	RightLeg	Right (front) legs
32	RightWing	Right wing
33	RightWrist	Right wrist
34	Shell	Shell
35	Shell2	Shell 2
36	Shell3	Shell 3
37	Shell4	Shell 4
38	Tail	Tail (rump)
39	Weakpoint	Weakness (in shell / in body)
40	Weakpoint2	Weakness 2
41	Weakpoint3	Weakness 3
42	Weakpoint4	Weakness 4
43	WholeBody	Whole body
44	Wings	Wing Part
#============End of sheet============

#============Begin of sheet============
@Sheet=组合
标识	名	显示名	部位-1	部位-2	部位-3	部位-4	部位-5	部位-6	部位-7	部位-8	部位-9	部位-10
1	Head	Head	Head									
2	Wing	Wing	Wings	LeftWing	RightWing							
3	Tail	Tail	Tail									
4	Paw	Claws	LeftArm	LeftHand	LeftWrist	RightArm	RightHand	RightWrist				
5	Pincer	Pliers	LeftArm	LeftHand	LeftWrist	RightArm	RightHand	RightWrist				
6	Shell	Shell	Shell	Shell2	Shell3	Shell4						
7	Abdomen	Abdomen	Abdomen									
8	Eye	Eye	Eyes									
9	Face	Face	Face									
10	Leg	Leg	LeftBackLeg	LeftFoot	LeftLeg	Legs	RightBackLeg	RightFoot	RightLeg			
11	Antennae	Tentacles	Antennae1	Antennae2	Antennae3	Antennae4	Antennae5	Antennae6	Antennae7	Antennae8		
12	Back	Back	Back									
13	Chest	Chest	Chest									
14	Body	Trunk	Body									
#============End of sheet=======
