#TSV
#============Begin of sheet============
@Sheet=怪物捕获素材表
MonsterID	LevelDIF	LevelMode	LevelMin	LevelMax	ItemID	BindType	RltvProp
60010	1	1	0	100	15001	3	100
60010	1	1	0	100	15002	3	100
60010	1	1	0	100	15003	3	100
60010	1	1	0	100	15004	3	50
60010	1	1	0	100	15005	3	50
60010	2	1	0	100	15001	3	100
60010	2	1	0	100	15002	3	100
60010	2	1	0	100	15003	3	100
60010	2	1	0	100	15004	3	50
60010	2	1	0	100	15005	3	50
60010	3	1	0	100	15001	3	100
60010	3	1	0	100	15002	3	100
60010	3	1	0	100	15003	3	100
60010	3	1	0	100	15004	3	50
60010	3	1	0	100	15005	3	50
60020	1	1	0	100	15016	3	100
60020	1	1	0	100	15017	3	100
60020	1	1	0	100	15018	3	100
60020	1	1	0	100	15019	3	50
60020	1	1	0	100	15020	3	50
60020	2	1	0	100	15016	3	100
60020	2	1	0	100	15017	3	100
60020	2	1	0	100	15018	3	100
60020	2	1	0	100	15019	3	50
60020	2	1	0	100	15020	3	50
60020	3	1	0	100	15016	3	100
60020	3	1	0	100	15017	3	100
60020	3	1	0	100	15018	3	100
60020	3	1	0	100	15019	3	50
60020	3	1	0	100	15020	3	50
60030	1	1	0	100	15033	3	100
60030	1	1	0	100	15032	3	100
60030	1	1	0	100	15031	3	100
60030	1	1	0	100	15034	3	50
60030	1	1	0	100	15035	3	50
60030	2	1	0	100	15033	3	100
60030	2	1	0	100	15032	3	100
60030	2	1	0	100	15031	3	100
60030	2	1	0	100	15034	3	50
60030	2	1	0	100	15035	3	50
60030	3	1	0	100	15033	3	100
60030	3	1	0	100	15032	3	100
60030	3	1	0	100	15031	3	100
60030	3	1	0	100	15034	3	50
60030	3	1	0	100	15035	3	50
60040	1	1	0	100	15046	3	100
60040	1	1	0	100	15047	3	100
60040	1	1	0	100	15048	3	100
60040	1	1	0	100	15049	3	50
60040	1	1	0	100	15050	3	50
60040	2	1	0	100	15046	3	100
60040	2	1	0	100	15047	3	100
60040	2	1	0	100	15048	3	100
60040	2	1	0	100	15049	3	50
60040	2	1	0	100	15050	3	50
60040	3	1	0	100	15046	3	100
60040	3	1	0	100	15047	3	100
60040	3	1	0	100	15048	3	100
60040	3	1	0	100	15049	3	50
60040	3	1	0	100	15050	3	50
60060	1	1	0	100	15064	3	100
60060	1	1	0	100	15065	3	100
60060	1	1	0	100	15066	3	100
60060	1	1	0	100	15067	3	50
60060	1	1	0	100	15068	3	50
60060	2	1	0	100	15064	3	100
60060	2	1	0	100	15065	3	100
60060	2	1	0	100	15066	3	100
60060	2	1	0	100	15067	3	50
60060	2	1	0	100	15068	3	50
60060	3	1	0	100	15064	3	100
60060	3	1	0	100	15065	3	100
60060	3	1	0	100	15066	3	100
60060	3	1	0	100	15067	3	50
60060	3	1	0	100	15068	3	50
60050	1	1	0	100	15082	3	100
60050	1	1	0	100	15083	3	100
60050	1	1	0	100	15084	3	100
60050	1	1	0	100	15085	3	50
60050	1	1	0	100	15086	3	50
60050	2	1	0	100	15082	3	100
60050	2	1	0	100	15083	3	100
60050	2	1	0	100	15084	3	100
60050	2	1	0	100	15085	3	50
60050	2	1	0	100	15086	3	50
60050	3	1	0	100	15082	3	100
60050	3	1	0	100	15083	3	100
60050	3	1	0	100	15084	3	100
60050	3	1	0	100	15085	3	50
60050	3	1	0	100	15086	3	50
60011	1	1	0	100	15118	3	100
60011	1	1	0	100	15119	3	100
60011	1	1	0	100	15120	3	100
60011	1	1	0	100	15121	3	50
60011	1	1	0	100	15122	3	50
60011	2	1	0	100	15118	3	100
60011	2	1	0	100	15119	3	100
60011	2	1	0	100	15120	3	100
60011	2	1	0	100	15121	3	50
60011	2	1	0	100	15122	3	50
