#TSV
#============Begin of sheet============
@Sheet=时装武器
总表ID	物品名称	说明	物品等级	稀有度	图标ID	离开副本是否保留	RANK	物品主类	物品中类	物品子类	绑定类型	拥有上限	携带上限	堆叠上限	农场精算点数	可否摧毁	购买价格	出售价格	是否商城道具	可否分解	物品过期时间	物品过期Tag	模型资源(男)	模型资源(女)	角色等级需求	种族需求	星级职业需求	星级等级需求	需求技能1ID	需求技能1等级MIN	需求技能1等级MAX	需求技能2ID	需求技能2等级MIN	需求技能2等级MAX	猎团等级需求	宠物等级需求	宠物类型需求	性别需求	近远程类型	攻击力	回旋镖物理攻击系数	防御力	生命力	会心等级	行动力	观察力	负荷力	最大斩味值	红色斩味数值	橙色斩味数值	黄色斩味数值	绿色斩味数值	蓝色斩味数值	白色斩味数值	紫色斩味数值	铜色斩味数值	银色斩味数值	金色斩味数值	水属性攻击力	火属性攻击力	雷属性攻击力	龙属性攻击力	冰属性攻击力	毒附加	眠附加	麻附加	爆破附加	水耐性	火耐性	雷耐性	龙耐性	冰耐性	附加属性基因1ID	附加属性基因2ID	附加属性基因3ID	附加属性基因4ID	附加属性基因5ID	附加属性基因6ID	可否被偷窃	装备被动技1ID	值1	装备被动技2ID	值2	装备被动技3ID	值3	装备被动技4ID	值4	装备被动技5ID	值5	装备被动技6ID	值6	排序参数	商城索引ID	解绑道具	解绑道具数量
92000	精兵斗气枪	外形酷似小型长枪的艾露武器，舞动起来熠熠生辉，似乎隐藏着不一般的力量。	1	1	airo_ep_6_wp	1	1	4	3	3	2	0	0	1	0	0	1000	50	1	92000	0		700091	700091	1	0	0	0	0	0	0	0	0	0	0	1	战斗宠物			678	50	0	0	0	0	0	0	100	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	1060	1	0	0	0	0	0	0	0	0	0	0				
92001	勇士斗气枪	参照三叉戟外形设计的艾露武器，是力量与勇气的象征，挥舞时气势惊人。	1	2	airo_ep_6_wp	1	2	4	3	3	2	0	0	1	0	0	1000	50	1	92000	0		700092	700092	1	0	0	0	0	0	0	0	0	0	0	1	战斗宠物			745	50	0	0	0	0	0	0	100	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	1063	1	0	0	0	0	0	0	0	0	0	0				
92002	将军斗气枪	刀身和柄头有许多精细的雕刻，重量较重但威力非凡，不是普通艾露猫可以使用的武器。	1	3	airo_ep_6_wp	1	3	4	3	3	2	0	0	1	0	0	1000	50	1	92000	0		700093	700093	1	0	0	0	0	0	0	0	0	0	0	1	战斗宠物			820	50	0	0	0	0	0	0	100	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	1066	1	0	0	0	0	0	0	0	0	0	0				
92003	大将军斗气枪	刀刃经过数倍时间的锻打和研磨，攻击能力独一无二，只有优秀的艾露们才有资格使用。	1	4	airo_ep_6_wp	1	4	4	3	3	2	0	0	1	0	0	1000	50	1	92000	0		700094	700094	1	0	0	0	0	0	0	0	0	0	0	1	战斗宠物			902	50	0	0	0	0	0	0	100	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	1069	1	0	0	0	0	0	0	0	0	0	0				
92005	发条喵武器	艾露7天时装<BR>使用炼金材料精心锻造的发条喵套装，穿上后铜墙铁壁，再也不怕野猪王了^＾	1	4	ep_p_ma_014_3	1	4	4	3	3	2	0	0	1	0	0	1000	0	1	0	604800		701011	701011	1	0	0	0	0	0	0	0	0	0	0	1	战斗宠物			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0				
92006	发条喵武器	艾露30天时装<BR>使用炼金材料精心锻造的发条喵套装，穿上后铜墙铁壁，再也不怕野猪王了^＾	1	4	ep_p_ma_014_3	1	4	4	3	3	2	0	0	1	0	0	1000	0	1	0	2592000		701011	701011	1	0	0	0	0	0	0	0	0	0	0	1	战斗宠物			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0				
92007	发条喵武器	艾露365天时装<BR>使用炼金材料精心锻造的发条喵套装，穿上后铜墙铁壁，再也不怕野猪王了^＾	1	4	ep_p_ma_014_3	1	4	4	3	3	2	0	0	1	0	0	1000	0	1	0	31536000		701011	701011	1	0	0	0	0	0	0	0	0	0	0	1	战斗宠物			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0				
92008	发条喵武器	艾露永久时装<BR>使用炼金材料精心锻造的发条喵套装，穿上后铜墙铁壁，再也不怕野猪王了^＾	1	4	ep_p_ma_014_3	1	4	4	3	3	2	0	0	1	0	0	1000	0	1	92000	0		701011	701011	1	0	0	0	0	0	0	0	0	0	0	1	战斗宠物			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0				
92009	武士喵刀	艾露7天时装<BR>据说是西奇国武士的着装，艾露猫穿上之后，也能感受到作为一个武士的尊严	1	4	ep_p_ma_018_3	1	4	4	3	3	2	0	0	1	0	0	1000	0	1	0	604800		701021	701021	1	0	0	0	0	0	0	0	0	0	0	1	战斗宠物			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0				
92010	武士喵刀	艾露30天时装<BR>据说是西奇国武士的着装，艾露猫穿上之后，也能感受到作为一个武士的尊严	1	4	ep_p_ma_018_3	1	4	4	3	3	2	0	0	1	0	0	1000	0	1	0	2592000		701021	701021	1	0	0	0	0	0	0	0	0	0	0	1	战斗宠物			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0				
92011	武士喵刀	艾露365天时装<BR>据说是西奇国武士的着装，艾露猫穿上之后，也能感受到作为一个武士的尊严	1	4	ep_p_ma_018_3	1	4	4	3	3	2	0	0	1	0	0	1000	0	1	0	31536000		701021	701021	1	0	0	0	0	0	0	0	0	0	0	1	战斗宠物			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0				
92012	武士喵刀	艾露永久时装<BR>据说是西奇国武士的着装，艾露猫穿上之后，也能感受到作为一个武士的尊严	1	4	ep_p_ma_018_3	1	4	4	3	3	2	0	0	1	0	0	1000	0	1	92000	0		701021	701021	1	0	0	0	0	0	0	0	0	0	0	1	战斗宠物			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0				
92013	企鹅喵武器	艾露7天时装<BR>我究竟是艾露猫还是企鹅？这是一个严峻的问题。	1	4	ep_p_ma_016_3	1	4	4	3	3	2	0	0	1	0	0	1000	0	1	0	604800		701031	701031	1	0	0	0	0	0	0	0	0	0	0	1	战斗宠物			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0				
92014	企鹅喵武器	艾露30天时装<BR>我究竟是艾露猫还是企鹅？这是一个严峻的问题。	1	4	ep_p_ma_016_3	1	4	4	3	3	2	0	0	1	0	0	1000	0	1	0	2592000		701031	701031	1	0	0	0	0	0	0	0	0	0	0	1	战斗宠物			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0				
92015	企鹅喵武器	艾露365天时装<BR>我究竟是艾露猫还是企鹅？这是一个严峻的问题。	1	4	ep_p_ma_016_3	1	4	4	3	3	2	0	0	1	0	0	1000	0	1	0	31536000		701031	701031	1	0	0	0	0	0	0	0	0	0	0	1	战斗宠物			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0				
92016	企鹅喵武器	艾露永久时装<BR>我究竟是艾露猫还是企鹅？这是一个严峻的问题。	1	4	ep_p_ma_016_3	1	4	4	3	3	2	0	0	1	0	0	1000	0	1	92000	0		701031	701031	1	0	0	0	0	0	0	0	0	0	0	1	战斗宠物			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0				
92017	报喜喵武器	艾露7天时装<BR>喜鹊是吉祥的象征，穿上喜鹊装的艾露猫可以给主人带来好运气。	1	4	ep_p_ma_010_3	1	4	4	3	3	2	0	0	1	0	0	1000	0	1	0	604800		701041	701041	1	0	0	0	0	0	0	0	0	0	0	1	战斗宠物			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0				
92018	报喜喵武器	艾露30天时装<BR>喜鹊是吉祥的象征，穿上喜鹊装的艾露猫可以给主人带来好运气。	1	4	ep_p_ma_010_3	1	4	4	3	3	2	0	0	1	0	0	1000	0	1	0	2592000		701041	701041	1	0	0	0	0	0	0	0	0	0	0	1	战斗宠物			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0				
92019	报喜喵武器	艾露365天时装<BR>喜鹊是吉祥的象征，穿上喜鹊装的艾露猫可以给主人带来好运气。	1	4	ep_p_ma_010_3	1	4	4	3	3	2	0	0	1	0	0	1000	0	1	0	31536000		701041	701041	1	0	0	0	0	0	0	0	0	0	0	1	战斗宠物			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0				
92020	报喜喵武器	艾露永久时装<BR>喜鹊是吉祥的象征，穿上喜鹊装的艾露猫可以给主人带来好运气。	1	4	ep_p_ma_010_3	1	4	4	3	3	2	0	0	1	0	0	1000	0	1	92000	0		701041	701041	1	0	0	0	0	0	0	0	0	0	0	1	战斗宠物			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0				
92021	盛装喵武器	艾露7天时装<BR>为了衬托高贵的主人，今天，我也要盛装出席，闪亮登场！	1	4	ep_p_ma_027_3	1	4	4	3	3	2	0	0	1	0	0	1000	0	1	0	604800		701051	701051	1	0	0	0	0	0	0	0	0	0	0	1	战斗宠物			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0				
92022	盛装喵武器	艾露30天时装<BR>为了衬托高贵的主人，今天，我也要盛装出席，闪亮登场！	1	4	ep_p_ma_027_3	1	4	4	3	3	2	0	0	1	0	0	1000	0	1	0	2592000		701051	701051	1	0	0	0	0	0	0	0	0	0	0	1	战斗宠物			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0				
92023	盛装喵武器	艾露365天时装<BR>为了衬托高贵的主人，今天，我也要盛装出席，闪亮登场！	1	4	ep_p_ma_027_3	1	4	4	3	3	2	0	0	1	0	0	1000	0	1	0	31536000		701051	701051	1	0	0	0	0	0	0	0	0	0	0	1	战斗宠物			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0				
92024	盛装喵武器	艾露永久时装<BR>为了衬托高贵的主人，今天，我也要盛装出席，闪亮登场！	1	4	ep_p_ma_027_3	1	4	4	3	3	2	0	0	1	0	0	1000	0	1	92000	0		701051	701051	1	0	0	0	0	0	0	0	0	0	0	1	战斗宠物			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0				
92025	火枪喵剑	艾露7天时装<BR>主人，你把我的靴子藏到哪里去了喵？！堂堂火枪喵怎么能没有靴子？	1	4	ep_p_ma_015_3	1	4	4	3	3	2	0	0	1	0	0	1000	0	1	0	604800		701061	701061	1	0	0	0	0	0	0	0	0	0	0	1	战斗宠物			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0				
92026	火枪喵剑	艾露30天时装<BR>主人，你把我的靴子藏到哪里去了喵？！堂堂火枪喵怎么能没有靴子？	1	4	ep_p_ma_015_3	1	4	4	3	3	2	0	0	1	0	0	1000	0	1	0	2592000		701061	701061	1	0	0	0	0	0	0	0	0	0	0	1	战斗宠物			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0				
92027	火枪喵剑	艾露365天时装<BR>主人，你把我的靴子藏到哪里去了喵？！堂堂火枪喵怎么能没有靴子？	1	4	ep_p_ma_015_3	1	4	4	3	3	2	0	0	1	0	0	1000	0	1	0	31536000		701061	701061	1	0	0	0	0	0	0	0	0	0	0	1	战斗宠物			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0				
