#TSV
#============Begin of sheet============
@Sheet=PlaySkillInfo-摩托艇
skillid	level	技能描述	前置状态	跳转状态	IsTown	IsAngry	前置条件	前置条件参数1	前置条件参数2	group1	group2	group3	group4	FireModeName	SkillAttack	SkillAttrAttack	SkillSpecialAttack	AttackInfo	耐力	怒气	SP1	SP2	斩味消耗	技能启动时效果类型	start参数1	start参数2	eventname	技能触发效果类型	trigger参数1	trigger参数2	技能结束时效果类型	stop参数1	stop参数2	FSM处理类型	FSM处理参数	costshiji	param1
100020401	1	摩托艇加速				0													10					开启耐力衰减	5						结束耐力衰减						
100020402	1	奥义				1														10000																	
#============End of sheet============

#============Begin of sheet============
@Sheet=PlayerSkillInfo-双剑
skillid	level	技能描述	前置状态	跳转状态	IsTown	IsAngry	前置条件	前置条件参数1	前置条件参数2	group1	group2	group3	group4	FireModeName	SkillAttack	SkillAttrAttack	SkillSpecialAttack	SkillSpecialAttack_Poison	SkillSpecialAttack_Sleep	SkillSpecialAttack_Paraylze	SkillSpecialAttack_Dynamite	AttackInfo	耐力	怒气	SP1	SP2	斩味消耗	增加鬼人槽	技能启动时效果类型	start参数1	start参数2	eventname	技能触发效果类型	trigger参数1	trigger参数2	技能结束时效果类型	stop参数1	stop参数2	FSM处理类型	FSM处理参数
100600100	1	（拔刀）突进斩		COMBAT_DashAttack		0				601			605	DashAttack_LV0	1	1	0.8	0.8	0.8	0.8	0.8	DashAttack_LV0					5000	7	上Buff	10970		End	下Buff	10970		下Buff	10970			
100600100	1	（拔刀）突进斩		COMBAT_DashAttack		0				601																			上Buff	50601		End	下Buff	50601		下Buff	50601			
100600100	2	（拔刀）突进斩（强化）		COMBAT_DashAttack		0	双刀鬼人槽等级	1		601			605	DashAttack_LV1	1	1	0.8	0.8	0.8	0.8	0.8	DashAttack_LV1					5000	7	上Buff	10971		End	下Buff	10971		下Buff	10971			
100600100	2	（拔刀）突进斩（强化）		COMBAT_DashAttack		0				601																			上Buff	50601		End	下Buff	50601		下Buff	50601			
100600101	1	突进斩		COMBAT_DashAttack		0							605	DashAttack_LV0	1	1	0.8	0.8	0.8	0.8	0.8	DashAttack_LV0					5000	7	上Buff	10970		End	下Buff	10970		下Buff	10970			
100600101	1	突进斩		COMBAT_DashAttack		0																							上Buff	50601		End	下Buff	50601		下Buff	50601			
100600101	2	突进斩（强化）		COMBAT_DashAttack		0	双刀鬼人槽等级	1					605	DashAttack_LV1	1	1	0.8	0.8	0.8	0.8	0.8	DashAttack_LV1					5000	7	上Buff	10971		End	下Buff	10971		下Buff	10971			
100600101	2	突进斩（强化）		COMBAT_DashAttack		0																							上Buff	50601		End	下Buff	50601		下Buff	50601			
100600102	1	突进续击		COMBAT_DashContinueAttack		0	不存在Buff	10908					605	DashContinueAttack	1	1	0.8	0.8	0.8	0.8	0.8	DashContinueAttack					5000	7	上Buff	10970		End	下Buff	10970		下Buff	10970			
100600102	2	突进续击（强化）		COMBAT_DashContinueAttack		0	双刀鬼人槽等级	1					605	DashContinueAttack	1	1	0.8	0.8	0.8	0.8	0.8	DashContinueAttack					5000	7	上Buff	10971		End	下Buff	10971		下Buff	10971			
100600102	3	突进续击（鬼人化）		COMBAT_DashContinueAttack		0	双刀鬼人槽等级	2						DashContinueAttack	1	1	0.8	0.8	0.8	0.8	0.8	DashContinueAttack					5000	7	上Buff	10971		End	下Buff	10971		下Buff	10971			
100600103	1	Combo01		COMBAT_Combo01		0	不存在Buff	10908					605	Combo01	1	1	0.8	0.8	0.8	0.8	0.8	Combo01					5000	9	上Buff	10970		End	下Buff	10970		下Buff	10970			
100600103	1	Combo01		COMBAT_Combo01		0																							上Buff	19147		End	下Buff	19147		下Buff	19147			
100600103	2	Combo01（强化）		COMBAT_Combo01		0	双刀鬼人槽等级	1					605	Combo01	1	1	0.8	0.8	0.8	0.8	0.8	Combo01					5000	9	上Buff	10971		End	下Buff	10971		下Buff	10971			
100600103	2	Combo01（强化）		COMBAT_Combo01		0																							上Buff	50601		End	下Buff	50601		下Buff	50601			
100600103	2	Combo01（强化）		COMBAT_Combo01		0																							上Buff	19147		End	下Buff	19147		下Buff	19147			
100600104	1	Combo02		COMBAT_Combo02		0	不存在Buff	10908					605	Combo02	1	1	0.8	0.8	0.8	0.8	0.8	Combo02					5000	9	上Buff	10970		EndCombo2	下Buff	10970		下Buff	10970			
100600104	1	Combo02		COMBAT_Combo02		0																							上Buff	19147		End	下Buff	19147		下Buff	19147			
100600104	2	Combo02（强化）		COMBAT_Combo02		0	双刀鬼人槽等级	1					605	Combo02	1	1	0.8	0.8	0.8	0.8	0.8	Combo02					5000	9	上Buff	10971		EndCombo2	下Buff	10971		下Buff	10971			
100600104	2	Combo02（强化）		COMBAT_Combo02		0																							上Buff	50601		EndCombo2	下Buff	50601		下Buff	50601			
100600104	2	Combo02（强化）		COMBAT_Combo02		0																							上Buff	19147		End	下Buff	19147		下Buff	19147			
100600105	1	Combo03		COMBAT_Combo03		0	不存在Buff	10908					605	Combo03	1	1	0.8	0.8	0.8	0.8	0.8	Combo03					5000	10	上Buff	10970		End	下Buff	10970		下Buff	10970			
100600105	1	Combo03		COMBAT_Combo03		0																							上Buff	19147		End	下Buff	19147		下Buff	19147			
100600105	2	Combo03（强化）		COMBAT_Combo03		0	双刀鬼人槽等级	1					605	Combo03	1	1	0.8	0.8	0.8	0.8	0.8	Combo03					5000	10	上Buff	10971		End	下Buff	10971		下Buff	10971			
100600105	2	Combo03（强化）		COMBAT_Combo03		0																							上Buff	50601		End	下Buff	50601		下Buff	50601			
