#TSV
#============Begin of sheet============
@Sheet=SoulStoneConst
Key	Value	备注
ResetBindCredit	0	手动重置消耗绑定点券
ResetCredit	2000	手动重置消耗点券
EnforceAttackId	2	突破攻击力属性id
EnforeceFx1	10	1级武器显示特效需求等级
EnforeceFx2	20	2级武器显示特效需求等级
EnforeceFx3	100	3级武器显示特效需求等级
MaxGult	300	狩魂兽最大饱食度
GultAttenuationPeriod	300	饱食度衰减周期（单位：秒）
SoulExpTransferItemId	10881	魂值转移体验券ID
#============End of sheet============

#============Begin of sheet============
@Sheet=升级
等级	需求狩魂点	属性点
1	3	1
2	4	1
3	5	1
4	6	1
5	7	1
6	8	1
7	9	1
8	10	1
9	11	1
10	12	1
11	13	1
12	14	1
13	15	1
14	16	1
15	17	1
16	18	1
17	19	1
18	20	1
19	22	1
20	24	1
21	26	1
22	28	1
23	30	1
24	32	1
25	34	1
26	36	1
27	38	1
28	40	1
29	42	1
30	44	1
31	46	1
32	48	1
33	50	1
34	50	1
35	50	1
36	50	1
37	50	1
38	50	1
39	50	1
40	50	1
41	50	1
42	50	1
43	50	1
44	50	1
45	50	1
46	50	1
47	50	1
48	50	1
49	50	1
50	50	1
51	50	1
52	50	1
53	50	1
54	50	1
55	50	1
56	50	1
57	50	1
58	50	1
59	50	1
60	50	1
61	50	1
62	50	1
63	50	1
64	50	1
65	50	1
66	50	1
67	55	1
68	55	1
69	55	1
70	55	1
71	55	1
72	55	1
73	55	1
74	55	1
75	55	1
76	55	1
77	55	1
78	55	1
79	55	1
80	55	1
81	55	1
82	55	1
83	55	1
84	55	1
85	55	1
86	55	1
87	55	1
88	55	1
89	55	1
90	55	1
91	55	1
92	55	1
93	55	1
94	55	1
95	55	1
96	55	1
97	55	1
98	55	1
99	55	1
100	55	1
101	60	1
102	60	1
103	60	1
104	60	1
105	60	1
106	60	1
107	60	1
108	60	1
109	60	1
110	60	1
111	60	1
112	60	1
113	60	1
114	60	1
115	60	1
116	60	1
117	60	1
118	60	1
119	60	1
120	60	1
121	60	1
122	60	1
123	60	1
124	60	1
125	60	1
126	60	1
127	60	1
128	60	1
129	60	1
130	60	1
131	60	1
132	60	1
133	60	1
134	65	1
135	65	1
136	65	1
137	65	1
138	65	1
139	65	1
140	65	1
141	65	1
142	65	1
143	65	1
144	65	1
145	65	1
146	65	1
147	65	1
148	65	1
149	65	1
150	65	1
151	65	1
152	65	1
153	65	1
154	65	1
155	65	1
156	65	1
157	65	1
158	65	1
159	65	1
160	65	1
161	65	1
162	65	1
163	65	1
164	65	1
165	65	1
166	65	1
167	70	1
168	70	1
169	70	1
170	70	1
171	70	1
172	70	1
173	70	1
174	70	1
175	70	1
176	70	1
177	70	1
178	70	1
179	70	1
180	70	1
181	70	1
182	70	1
183	70	1
184	70	1
185	70	1
186	70	1
187	70	1
188	70	1
189	70	1
190	70	1
191	70	1
192	70	1
193	70	1
194	70	1
195	70	1
196	70	1
197	70	1
198	70	1
199	70	1
200	70	1
201	75	1
202	75	1
203	75	1
204	75	1
205	75	1
206	75	1
207	75	1
208	75	1
209	75	1
210	75	1
211	75	1
212	75	1
213	75	1
214	75	1
215	75	1
216	75	1
217	75	1
218	75	1
219	75	1
220	75	1
221	75	1
222	75	1
223	75	1
224	75	1
225	75	1
226	75	1
227	75	1
228	75	1
229	75	1
230	75	1
231	75	1
232	75	1
233	75	1
234	80	1
235	80	1
236	80	1
237	80	1
238	80	1
239	80	1
240	80	1
241	80	1
242	80	1
243	80	1
244	80	1
245	80	1
246	80	1
247	80	1
248	80	1
249	80	1
250	80	1
251	80	1
252	80	1
253	80	1
254	80	1
255	80	1
256	80	1
257	80	1
258	80	1
259	80	1
260	80	1
261	80	1
262	80	1
263	80	1
264	80	1
265	80	1
266	80	1
267	85	1
268	85	1
269	85	1
270	85	1
271	85	1
272	85	1
273	85	1
274	85	1
275	85	1
276	85	1
277	85	1
278	85	1
279	85	1
280	85	1
281	85	1
282	85	1
283	85	1
284	85	1
285	85	1
286	85	1
287	85	1
288	85	1
289	85	1
290	85	1
291	85	1
292	85	1
293	85	1
294	85	1
295	85	1
296	85	1
297	85	1
298	85	1
299	85	1
300	85	1
301	90	1
302	90	1
303	90	1
304	90	1
305	90	1
306	90	1
307	90	1
308	90	1
309	90	1
310	90	1
311	90	1
312	90	1
313	90	1
314	90	1
315	90	1
316	90	1
317	90	1
318	90	1
319	90	1
320	90	1
321	90	1
322	90	1
323	90	1
324	90	1
325	90	1
326	90	1
327	90	1
328	90	1
329	90	1
330	90	1
331	90	1
332	90	1
333	90	1
334	95	1
335	95	1
336	95	1
337	95	1
338	95	1
339	95	1
340	95	1
341	95	1
342	95	1
343	95	1
344	95	1
345	95	1
346	95	1
347	95	1
348	95	1
349	95	1
350	95	1
351	95	1
352	95	1
353	95	1
354	95	1
355	95	1
356	95	1
357	95	1
358	95	1
359	95	1
360	95	1
361	95	1
362	95	1
363	95	1
364	95	1
365	95	1
366	95	1
367	100	1
368	100	1
369	100	1
370	100	1
371	100	1
372	100	1
373	100	1
374	100	1
375	100	1
376	100	1
377	100	1
378	100	1
379	100	1
380	100	1
381	100	1
382	100	1
383	100	1
384	100	1
385	100	1
386	100	1
387	100	1
388	100	1
389	100	1
390	100	1
391	100	1
392	100	1
393	100	1
394	100	1
395	100	1
396	100	1
397	100	1
398	100	1
399	100	1
400	100	1
401	105	1
402	105	1
403	105	1
404	105	1
405	105	1
406	105	1
407	105	1
408	105	1
409	105	1
410	105	1
411	105	1
412	105	1
413	105	1
414	105	1
415	105	1
416	105	1
417	105	1
418	105	1
419	105	1
420	105	1
421	105	1
422	105	1
423	105	1
424	105	1
425	105	1
426	105	1
427	105	1
428	105	1
429	105	1
430	105	1
431	105	1
432	105	1
433	105	1
434	110	1
435	110	1
436	110	1
437	110	1
438	110	1
439	110	1
440	110	1
441	110	1
442	110	1
443	110	1
444	110	1
445	110	1
446	110	1
447	110	1
448	110	1
449	110	1
450	110	1
#============End of sheet============

#============Begin of sheet============
@Sheet=属性
属性ID	属性等级	属性ICON	属性名	属性描述	数值描述	详细描述	属性类型	所属阶段	所需阶段	消耗属性点	消耗道具1	消耗道具1数量	消耗银币	消耗列魂点	触发Buff集
1	0	SHS_Skill_02_DefBreak	突破.防御lv.0	基础防御力	0	"<FONT COLOR=\"\#FFCC33\" >提升猎人的基础防御力<FONT>"	0	1	1	1			0		0
1	1	SHS_Skill_02_DefBreak	突破.防御lv.1	基础防御力提升1	1	"<FONT COLOR=\"\#FFCC33\" >提升猎人的基础防御力1点<FONT><BR><FONT COLOR=\"\#68A16A\" >下一级：提升猎人的基础防御力2点<FONT>"	0	1	1	1			1000		16502001
1	2	SHS_Skill_02_DefBreak	突破.防御lv.2	基础防御力提升2	2	"<FONT COLOR=\"\#FFCC33\" >提升猎人的基础防御力2点<FONT><BR><FONT COLOR=\"\#68A16A\" >下一级：提升猎人的基础防御力3点<FONT>"	0	1	1	1			1000		16502002
1	3	SHS_Skill_02_DefBreak	突破.防御lv.3	基础防御力提升3	3	"<FONT COLOR=\"\#FFCC33\" >提升猎人的基础防御力3点<FONT><BR><FONT COLOR=\"\#68A16A\" >下一级：提升猎人的基础防御力4点<FONT>"	0	1	1	1			1000		16502003
1	4	SHS_Skill_02_DefBreak	突破.防御lv.4	基础防御力提升4	4	"<FONT COLOR=\"\#FFCC33\" >提升猎人的基础防御力4点<FONT><BR><FONT COLOR=\"\#68A16A\" >下一级：提升猎人的基础防御力5点<FONT>"	0	1	1	1			1000		16502004
