#TSV
#============Begin of sheet============
@Sheet=招式
标识	招式	Attack0	Attack1	Attack2	Attack3	Attack4
1001	The flare of the Big Bird	20009				
1002	The ghost hunting spider's silk	20378				
1003	The beaver beast mud balls	20545				
1004	Sand thunderbirds	20543				
1005	The flash of the poisonous bird	20514				
1006	The dung of the peach fur beast	20540				
1007	The Peach Fur Beast's fart	20541				
1008	The Electrical Ball of Electric dragon	20430				
1009	The fiery bomb of the sand bird	20539				
1010	The fart of a bleached hair king	20505				
1011	The sleeping bird's saliva	20542				
1012	The female dragon's tallon	20013	20014			
1013	The fireball of the female dragon	20008				
1014	Snow Lion King's Snowball	20526				
1015	The big spit of the purple poison bird	20536				
1016	The sweep of the Blackbird	20521				
1017	Famous Shield Crab Bubbles	20281				
1018	Spitting sand of sand Dragon King	20157	20169	20170		
1019	The saliva of great shield crab	20538				
#============End of sheet============
