#TSV
#============Begin of sheet============
@Sheet=称号信息
ID	名称	类型	分组	经验加成	序号	期限(秒)	有效时间开始	有效时间结束	获取来源	BuffLV1	显示LV1	描述LV1	BuffLV2	显示LV2	描述LV2	BuffLV3	显示LV3	描述LV3	BuffLV4	显示LV4	描述LV4	BuffLV5	显示LV5	描述LV5	称号特殊效果	称号颜色	称号参数
1	历史见证人	2	1	0	1				完成主线任务“调查-昆贝尔沼泽”	12100001	攻击力+1	携带后攻击力+1															
2	通晓少女心	2	1	0	2				完成主线任务“质朴的留念”	12100002	队伍内有异性时攻击力+2	携带后队伍内有异性时攻击力+2															
3	爆炸性的挚友	2	1	0	3				完成主线任务“别离与再会之间”	12100003	会心等级+4	携带后会心等级+4															
4	行过烈焰之路	2	1	0	4				完成主线任务“和大家的告别”	12100004	略微提升火属性攻击力	携带后略微提升火属性攻击力															
5	物语主人公	2	2	0	5				早期参与剿灭盗贼团任务的猎人才能获得	12100005	自然回复力+5%	携带后自然回复力+5%															
6	小人克星	2	2	0	6				完成主线任务“簇拥的王者”	12100006	略微增加属性耐性	携带后略微增加属性耐性															
7	精神上的飞机头	2	3	0	7				完成主线任务“雷欧的春天”	12100013	略微降低武器的斩味消耗	携带后略微降低武器的斩味消耗															
8	传说的继承者	2	1	0	8				完成主线任务“诗歌中的特异种”	12100007	攻击力+3	携带后攻击力+3															
9	名誉王立学士	2	1	0	9				完成主线任务“调查骨笛”	12100008	体力少于一半时攻击力+6	携带后体力少于一半时攻击力+6															
10	摘星者	2	1	0	10				完成主线任务“摘星之人”	12100009	会心等级+6	携带后会心等级+6															
11	顶点，亦是起点	2	1	0	11				完成主线任务“君王的陵寝”	12100017	全属性攻击力+3	携带后全属性攻击力+3															
12	片手大师	1	0	0	12				完成星级卡片《片手大师》																		
13	太刀大师	1	0	0	13				完成星级卡片《太刀大师》																		
14	大剑大师	1	0	0	14				完成星级卡片《大剑大师》																		
15	弩炮大师	1	0	0	15				完成星级卡片《弩炮大师》																		
16	大锤大师	1	0	0	16				完成星级卡片《大锤大师》																		
17	弓箭大师	1	0	0	17				完成星级卡片《弓箭大师》																		
18	双刀大师	1	0	0	18				完成星级卡片《双刀大师》																		
19	收藏家	1	0	0	19				完成星级卡片《防具大全VII》																		
20	素材狂人	1	0	0	20				完成星级卡片《素材狂人IV》																		
21	疾风猎人	2	1	0	21				完成星级卡片《疾风猎人》	12100018	会心等级+8	携带后会心等级+8															
22	思奇之友	1	0	0	22				完成星级卡片《异闻录收集家》																		
23	教授	2	2	0	23				完成星级卡片《异闻录教授》	12100020	增加属性耐性	携带后增加属性耐性															
24	完美主义者	2	1	0	24				完成星级卡片《英雄年代》	12100019	体力较低时攻击力+9	携带后体力较低时攻击力+9															
25	英雄的证明	2	1	0	25				完成星级卡片《霸者之证》	12100021	攻击力+5	携带后攻击力+5															
26	传说之人	2	1	0	26				完成星级卡片《千狩试炼·七阶》	12100022	攻击力+4，会心等级+5	携带后攻击力+4，会心等级+5															
27	药学家	1	0	0	27				完成星级卡片《药学·大师》																		
28	制药狂人	2	2	0	28				完成星级卡片《药学·制药狂人③》	12100023	自然回复力+7%	携带后自然回复力+7%															
29	发明家	1	0	0	29				完成星级卡片《发明·达人》																		
30	道具流	2	3	0	30				完成星级卡片《发明·发明狂人③》	12100024	略微增加使用放置类道具时的速度	携带后略微增加使用放置类道具时的速度															
31	军火库	1	0	0	31				完成星级卡片《发明·弹药百科③》																		
32	庄园主	1	0	0	32				完成星级卡片《庄园·经营之道③》																		
33	朝耕暮耘	1	0	0	33				完成星级卡片《庄园·朝耕暮耘》																		
34	日常达人	1	0	0	34				完成星级卡片《庄园·黍老伯的好帮手③》																		
35	战斗喵	1	0	0	35				完成星级卡片《伙伴羁绊③》																		
36	建筑师	1	0	0	36				完成星级卡片《猎团建筑师》																		
37	铜牌猎人	2	2	0	37				VIP等级达到1级	12100028	防御力+1	携带后防御力+1															
38	银牌猎人	2	2	0	38				VIP等级达到3级	12100029	防御力+2	携带后防御力+2															
39	金牌猎人	2	2	0	39				VIP等级达到6级	12100030	防御力+4	携带后防御力+4															
40	村中小伙伴	1	0	0	40				不删档期间成功参与“猎人聚首”活动																		
41	蓝宝石桂冠	1	0	0	41				MHO豪华蓝钻用户专属称号																		
42	蛮荒领路人	1	0	0	42				TGP用户专属称号																		
43	先遣猎人	1	0	0	43				加入先遣狩猎团，前往先遣之地开拓探索的荣誉称号																		
44	米拉德小卫士	1	0	0	44				参与“猫猫大盗通缉令”活动																		
45	无暇的猎手	1	0	0	45				荣耀殿堂猎人星级积分冠军称号																		
46	王牌猎团长	1	0	0	46				荣耀殿堂猎团贡献度冠军称号																		
47	锻冶职人	1	0	0	47				荣耀殿堂锻造派生次数冠军称号																		
48	调和达人	1	0	0	48				荣耀殿堂调和次数冠军称号																		
49	无双之狩人	1	0	0	49				荣耀殿堂HR点数冠军称号																		
50	战队明星	1	0	0	50				荣耀殿堂战队战绩冠军称号																		
51	道具流宗师	1	0	0	51				荣耀殿堂使用道具次数冠军称号																		
52	私家猫车	1	0	0	52				荣耀殿堂猫车次数最多称号																		
53	狩猎笛大师	1	0	0	53				完成星级卡片《狩猎笛大师》																		
54	秘宝发掘者	1	0	0	54				秘境掘宝活动中发现全数12个宝藏的猎人可获得																		
55	雪球超人	1	0	0	55				参与“雪夜祭”活动，使用感谢状【金】兑换	12100043	冰属性耐性+15	携带后冰属性耐性+15															
56	雪球名人	1	0	0	56				参与“雪夜祭”活动，使用感谢状【金】兑换	12100044	冰属性耐性+12	携带后冰属性耐性+12															
57	雪球达人	1	0	0	57				参与“雪夜祭”活动，使用感谢状【银】兑换	12100045	冰属性耐性+9	携带后冰属性耐性+9															
58	雪球凡人	1	0	0	58				参与“雪夜祭”活动，使用感谢状兑换	12100046	冰属性耐性+6	携带后冰属性耐性+6															
59	噬火者	1	0	0	59				参与“空之王者”活动，最强的火龙猎手才能获此殊荣																		
60	巨影狩猎者	1	0	0	60				参与“空之王者”活动，授予那些身经百战的火龙猎手																		
61	巨影追踪者	1	0	0	61				参与“空之王者”活动，授予能够熟练狩猎火龙的猎手																		
62	巨影观察者	1	0	0	62				参与“空之王者”活动，与同伴一起狩猎火龙																		
63	巨影守候者	1	0	0	63				参与“空之王者”活动，见证火龙的雄姿																		
64	铳枪大师	1	0	0	64				完成星级卡片《铳枪大师》																		
65	巨影之殇	2	1	0	65				完成星级卡片《防具大全·巨龙陨落》	12100034	提升龙属性攻击力	携带后提升龙属性攻击力															
66	坚毅之人	1	0	0	66				掌上狩猎部活跃用户，连续签到30天奖励																		
67	守恒之人	1	0	0	67				掌上狩猎部忠实用户，连续签到60天奖励																		
68	荣光狩人	1	0	0	68				掌上狩猎部福利尊享勋章奖励																		
69	怪猿猎人	1	0	0	69				MONKEY HUNTER，猴年活动限定称号																		
70	长枪大师	1	0	0	70				完成星级卡片《长枪大师》																		
72	竞技达人	1	0	0	72				在“红翼的尤丽”处使用荣誉勋章兑换																		
73	狩猎场明星	1	0	0	73				“升级送Q币”活动，排名第1的猎人的纪念称号																		
74	狩猎场偶像	1	0	0	74				“升级送Q币”活动，排名第2的猎人的纪念称号																		
75	狩猎场名人	1	0	0	75				“升级送Q币”活动，排名第3的猎人的纪念称号																		
76	狩猎场达人	1	0	0	76				“升级送Q币”活动，排名第4到第10名的猎人可获得																		
77	狩猎场勇者	1	0	0	77				“升级送Q币”活动，排名第11到第100名的猎人可获得																		
78	狩魂先驱	1	0	0	78				“先游MHO精英猎人营地认证玩家专属称号”																		
79	绝对强者	1	0	0	79				在“不可大意”关卡中成功狩猎轰龙																		
80	雪山飞狐	1	0	0	80				参加《雪山密境大冒险》活动获得																		
81	雪山飚车王	1	0	0	81				参加《雪山密境大冒险》活动获得																		
82	雪山飞毛腿	1	0	0	82				参加《雪山密境大冒险》活动获得																		
83	真炎不惧身	2	0	0	83				完成主线任务“喷烟的王者”	19140	火耐性+15	携带后火耐性+15															
84	巅极角斗士	2	0	0	84				完成主线任务“喝退暴风”	19141	失衡值累积+8%	携带后失衡值累积+8%															
85	罡风吹雪丸	2	0	0	85				完成主线任务“支配者的召唤”	19142	提升火属性攻击力	携带后提升火属性攻击力															
86	热海最强音	2	0	0	86				完成主线任务“咆哮响彻炼狱”	19143	斩味消耗-10%	携带后斩味消耗-10%															
87	青丘隐修会	2	0	0	87				完成主线任务“霞影娑婆”	19144	增加毒积蓄	携带后增加毒积蓄															
88	恒之破坏者	2	0	0	88				完成主线任务“永恒的破坏者”	19145	破坏值累积+5%	携带后破坏值累积+5%															
89	巨蟹座	1	0	0	89				在活动《星盘占卜 最闪耀的巨星！》中获得																		
90	红粉喵丽	1	0	0	90				参加活动《红粉喵喵养成记》后可获得																		
91	铠袖一触	2	0	0	91				完成主线任务“威压迫近中”	19149	防御+10	携带后防御+10															
92	罗刹通行	2	0	0	92				完成主线任务“幻度·阴摩罗鬼”	19150	麻积蓄+5%	携带后麻积蓄+5%															
93	五相御神	2	0	0	93				完成主线任务“末日降生”	19151	全属性攻击力+3%	携带后全属性攻击力+3%															
94	天地狩王·壹	1	0	0	94				天地争锋狩猎季中表现突出的猎人专属称号																		
95	天地狩王·贰	1	0	0	95				天地争锋狩猎季中表现突出的猎人专属称号																		
96	天地狩王·叁	1	0	0	96				天地争锋狩猎季中表现突出的猎人专属称号																		
97	天地狩王·肆	1	0	0	97				天地争锋狩猎季中表现突出的猎人专属称号																		
98	天地狩王·伍	1	0	0	98				天地争锋狩猎季中表现突出的猎人专属称号																		
99	天地狩王·陆	1	0	0	99				天地争锋狩猎季中表现突出的猎人专属称号																		
100	天地狩王·柒	1	0	0	100				天地争锋狩猎季中表现突出的猎人专属称号																		
101	天地狩王·捌	1	0	0	101				天地争锋狩猎季中表现突出的猎人专属称号																		
