#TSV
#============Begin of sheet============
@Sheet=TowerTemplate
TemplateID	Pos01X	Pos01Y	Pos02X	Pos02Y	Pos03X	Pos03Y	Pos04X	Pos04Y	Pos05X	Pos05Y	Pos06X	Pos06Y	Pos07X	Pos07Y	Pos08X	Pos08Y	Pos09X	Pos09Y	Pos10X	Pos10Y
1	280	159	302	146	326	132	355	114	154	229	328	214	354	198	380	183	447	145	197	301
#============End of sheet============

#============Begin of sheet============
@Sheet=TowerType
ID	TypeID	LevelId	TextDesc	Fee	outputString
1	1	1	连射弩LV1	100	Laoshan_RapidCannonLV1
2	1	2	连射弩LV2	200	Laoshan_RapidCannonLV2
3	1	3	连射弩LV3	300	Laoshan_RapidCannonLV3
4	2	1	散射弩LV1	100	Laoshan_ShotCannonLV1
5	2	2	散射弩LV2	200	Laoshan_ShotCannonLV2
6	2	3	散射弩LV3	300	Laoshan_ShotCannonLV3
7	3	1	爆破弩LV1	100	Laoshan_BlastCannonLV1
8	3	2	爆破弩LV2	200	Laoshan_BlastCannonLV2
9	3	3	爆破弩LV3	300	Laoshan_BlastCannonLV3
10	4	1	粘着弩LV1	100	Laoshan_GumCannonLV1
11	4	2	粘着弩LV2	200	Laoshan_GumCannonLV2
12	4	3	粘着弩LV3	300	Laoshan_GumCannonLV3
13	5	1	毒气弩LV1	100	Laoshan_PoisonCannonLV1
14	5	2	毒气弩LV2	200	Laoshan_PoisonCannonLV2
15	5	3	毒气弩LV3	300	Laoshan_PoisonCannonLV3
16	999	1	撤销炮台	0	Destroy
#============End of sheet===========
