#TSV
#============Begin of sheet============
@Sheet=武器奥义
新招ID	新招Skill ID	武器类型	新招名称	SkillVideoID	奥义编号	ICON	猎人星级	星级卡片	Tips
10011	100000603	通用武器	Awaken!	167,168,169,170,171,172,173,174,175,176,0,177	1				
10012	100000602	通用武器	Absolute Evasion	178,179,180,181,182,183,184,185,186,187,0,188	2				
10013	100000604	通用武器	Absolute Readiness	189,190,191,192,193,194,195,196,197,198,0,199	3				
10111	100102201	大剑	Moon Breaker	12	1				
10112	100101201	大剑	Ground Slash	13	2				
10211	100202001	大锤	Spinning Meteor	70	1				
10212	100202301	大锤	Super Home Run	71	2				
10311	100301101	长枪	Shield Assault	142	1				
10312	100301104	长枪	Enraged Guard	143	2				
10411	100403201	片手	Round Force	24	1				
10412	100403401	片手	Shoryugeki	25	2				
10511	100506001	弩	Rapid Fire Rain	38	1				
10512	100503601	弩	Gunpowder Infusion	39	2				
10611	100600143	双剑	Blood Wind	94	1				
10612	100600141	双剑	Aerial Slam	95	2				
10711	100702202	太刀	Fang Rush	54	1				
10712	100701900	太刀	Critical juncture	53	2				
10811	100800031	狩猎笛	Harmonic Blast	106	1				
10812	100800040	狩猎笛	Sonic Blast	107	2				
10911	100901601	铳枪	Wyvern Blast	127	1				
10912	100901604	铳枪	Blast Dash	128	2				
11011	101000801	弓	Blade Wire	79	1				
11012	101000412	弓	Super Arrow	80	2				
11211	101200301	斩斧	Trance Slash	165	1				
11212	101200401	斩斧	Burst Slash	166	2				
#============End of sheet============

#============Begin of sheet============
@Sheet=武器新招

#============End of sheet========
