#TSV
#============Begin of sheet============
@Sheet=双剑
层数	武器名称	是否可以携带随行猫	是否奇烈	怪物等级	刷怪模式	区域编号	第一波刷新时间点	刷新怪物1-1	属性修饰策略1-1	系数1-1	刷新怪物1-2	属性修饰策略1-2	系数1-2	第二波刷新时间点	刷新怪物2-1	属性修饰策略2-1	系数2-1	刷新怪物2-2	属性修饰策略2-2	系数2-2	第三波刷新时间点	刷新怪物3-1	属性修饰策略3-1	系数3-1	刷新怪物3-2	属性修饰策略3-2	系数3-2	第四波刷新时间点	刷新怪物4-1	属性修饰策略4-1	系数4-1	刷新怪物4-2	属性修饰策略4-2	系数4-2	第五波刷新时间点	刷新怪物5-1	属性修饰策略5-1	系数5-1	刷新怪物5-2	属性修饰策略5-2	系数5-2
1	双剑	1	0		1	1	1	60040	1	1																															
2	双剑	1	0		1	1	1	60010	1	1																															
3	双剑	1	0		1	1	1	60030	3	1																															
4	双剑	1	0		1	1	1	60050	3	1																															
5	双剑	1	0		1	1	1	60024	3	1				1	60041	3	1																								
6	双剑	1	0		1	1	1	60022	1	1																															
7	双剑	1	0		1	1	1	60110	1	1																															
8	双剑	1	0		1	1	1	60051	4	1																															
9	双剑	1	0		1	1	1	60011	1	1																															
10	双剑	1	0		1	1	1	60070	3	1				1	60080	3	1																								
11	双剑	1	0		1	1	1	60071	11	1																															
12	双剑	1	0		1	1	1	60140	11	1																															
13	双剑	1	0		1	1	1	60100	11	1																															
14	双剑	1	0		1	1	1	60230	11	1																															
15	双剑	1	0		1	1	1	60120	3	1				1	60121	3	1																								
16	双剑	1	0		1	1	1	60150	11	1																															
17	双剑	1	0		1	1	1	60081	11	1																															
18	双剑	1	0		1	1	1	60170	11	1																															
19	双剑	1	0		1	1	1	60152	11	1																															
20	双剑	1	0		2	1	300	60130	3	1				99999999	60232	3	1																								
21	双剑	1	0		2	1	180	60120	23	1				99999999	60041	21	1																								
22	双剑	1	0		2	1	180	60150	21	1				99999999	60080	21	1																								
23	双剑	1	0		2	1	180	60090	21	1				99999999	60060	21	1																								
24	双剑	1	0		2	1	180	60152	21	1				99999999	60030	21	1																								
25	双剑	1	0		3	1	210	60024	24	1				210	60170	24	1				99999999	60091	24	1																	
26	双剑	1	0		2	1	180	60100	21	1				99999999	60060	21	1																								
27	双剑	1	0		2	1	180	60230	21	1				99999999	60140	21	1																								
28	双剑	1	0		2	1	180	60070	21	1				99999999	60081	23	1																								
29	双剑	1	0		2	1	180	60121	21	1				99999999	60041	21	1																								
30	双剑	1	0		5	1	1	60141	25	1																															
31	双剑	1	0		5	1	1	60143	31	1																															
32	双剑	1	0		5	1	1	60210	31	1																															
33	双剑	1	0		5	1	1	60200	31	1																															
34	双剑	1	0		5	1	1	60190	31	1																															
35	双剑	1	0		5	1	1	60211	32	1																															
36	双剑	1	0		5	1	1	60251	33	1																															
37	双剑	1	0		5	1	1	60231	31	1																															
38	双剑	1	0		5	1	1	60390	33	1																															
39	双剑	1	0		5	1	1	60171	33	1																															
40	双剑	1	0		5	1	1	60250	32	1																															
41	双剑	1	0		1	1	1	60012	41	1																															
42	双剑	1	0		2	1	180	60150	42	1				99999999	60210	42	1																								
43	双剑	1	0		5	1	1	60260	41	1																															
44	双剑	1	0		2	1	180	60081	42	1				99999999	60211	42	1																								
45	双剑	1	0		4	1	1	60100	42	1	60090	42	1																												
46	双剑	1	0		2	1	180	60030	42	1				99999999	60191	42	1																								
47	双剑	1	0		5	1	1	60261	41	1																															
48	双剑	1	0		3	1	180	60140	43	1				180	60080	43	1				99999999	60250	43	1																	
49	双剑	1	0		2	1	180	60232	42	1				99999999	60250	42	1																								
50	双剑	1	0		5	1	1	60300	41	1																															
51	双剑	1	0		5	1	1	60102	51	1																															
52	双剑	1	0		2	1	180	60152	52	1				99999999	60261	52	1																								
53	双剑	1	0		3	1	180	60170	53	1				180	60091	53	1				99999999	60280	53	1																	
54	双剑	1	0		2	1	180	60190	52	1				99999999	60250	52	1																								
55	双剑	1	0		5	1	1	60480	51	1																															
56	双剑	1	0		2	1	180	60141	52	1				99999999	60143	52	1																								
57	双剑	1	0		5	1	1	60481	51	1																															
58	双剑	1	0		4	1	180	60110	52	1	60202	52	1																												
59	双剑	1	0		2	1	180	60210	52	1				99999999	60211	52	1																								
60	双剑	1	0		5	1	1	60420	57	1																															
61	双剑	1	0	120	1	1	1	60870	61	1																															
62	双剑	1	0	120	1	1	1	60280	63	1				1	60280	63	1																								
63	双剑	1	0	120	1	1	1	60151	64	1																															
64	双剑	1	0	120	1	1	1	60251	63	1				1	60211	63	1																								
65	双剑	1	0	120	1	1	1	60900	61	1																															
66	双剑	1	0	120	1	1	1	60480	63	1				1	60481	63	1																								
67	双剑	1	0	120	1	1	1	60420	62	1				1	60420	62	1																								
68	双剑	1	0	120	1	1	1	60390	63	1				1	60290	63	1																								
69	双剑	1	0	120	1	1	1	60880	65	1																															
70	双剑	1	0	120	1	1	1	60134	61	1																															
71	双剑	1	0	150	1	1	1	60910	71	1																															
72	双剑	1	0	150	4	1	1	60201	72	1	60201	72	1																												
73	双剑	1	0	150	1	1	1	60491	71	1																															
74	双剑	1	0	150	1	1	1	60212	71	1																															
75	双剑	1	0	150	1	1	1	60391	71	1																															
