#TSV
#============Begin of sheet============
@Sheet=亚种怪物武器模型ID
avatarid	partid	modelfile1	modelfile2	usecustomcolor	customcolor	texture	secondary_usecustomcolor	secondary_customcolor	secondary_texture	surfacetype	customeffect	effect_pos	effect_angle	effect_scale	effect_bone	effect_worlddir	customeffect_slave	effect_slave_pos	effect_slave_angle	effect_slave_scale	effect_slave_bone	effect_slave_worlddir
310199	31	Objects/weapons/d/novice999_we_d/novice999_we_d.chr		0	0,0,0	Objects/weapons/d/novice999_we_d/novice999_we_d.mtl			0	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
310200	31	Objects/weapons/d/novice001_we_d/novice001_we_d.chr		0	0,0,0	Objects/weapons/d/novice001_we_d/novice001_we_d.mtl			0	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
320200	32	Objects/weapons/c/novice001_we_c/novice001_we_c.chr		0	0,0,0	Objects/weapons/c/novice001_we_c/novice001_we_c.mtl			0	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
330200	33	Objects/weapons/q/novice001_we_q/novice001_we_q_z.chr	Objects/weapons/q/novice001_we_q/novice001_we_q_y.chr	0	0,0,0	Objects/weapons/q/novice001_we_q/novice001_we_q.mtl			Objects/weapons/q/novice001_we_q/novice001_we_q.mtl	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
340200	34	Objects/weapons/p/novice001_we_p/novice001_we_p_z.chr	Objects/weapons/p/novice001_we_p/novice001_we_p_y.chr	0	0,0,0	Objects/weapons/p/novice001_we_p/novice001_we_p.mtl			Objects/weapons/p/novice001_we_p/novice001_we_p.mtl	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
350200	35	Objects/weapons/n/novice001_we_n/novice001_we_n.chr		0	0,0,0	Objects/weapons/n/novice001_we_n/novice001_we_n.mtl			0	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
360200	36	Objects/weapons/s/novice001_we_s/novice001_we_s_z.chr	Objects/weapons/s/novice001_we_s/novice001_we_s_y.chr	0	0,0,0	Objects/weapons/s/novice001_we_s/novice001_we_s.mtl			Objects/weapons/s/novice001_we_s/novice001_we_s.mtl	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
370200	37	Objects/weapons/t/novice001_we_t/novice001_we_t_z.chr	Objects/weapons/t/novice001_we_t/novice001_we_t_y.chr	0	0,0,0	Objects/weapons/t/novice001_we_t/novice001_we_t.mtl			Objects/weapons/t/novice001_we_t/novice001_we_t.mtl	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
380200	38	Objects/weapons/f/novice001_we_f/novice001_we_f.chr		0	0,0,0	Objects/weapons/f/novice001_we_f/novice001_we_f.mtl			0	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
390200	39	Objects/weapons/u/novice001_we_u/novice001_we_u_z.chr	Objects/weapons/u/novice001_we_u/novice001_we_u_y.chr	0	0,0,0	Objects/weapons/u/novice001_we_u/novice001_we_u.mtl			Objects/weapons/u/novice001_we_u/novice001_we_u.mtl	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
400200	40	Objects/weapons/g/novice001_we_g/novice001_we_g_z.chr	Objects/weapons/g/novice001_we_g/novice001_we_g_y.chr	0	0,0,0	Objects/weapons/g/novice001_we_g/novice001_we_g.mtl			Objects/weapons/g/novice001_we_g/novice001_we_g.mtl	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
310201	31	Objects/weapons/d/em001_we_d/em001_we_d.chr		0	0,0,0	Objects/weapons/d/em001_u01_we_d/em001_u01_we_d.mtl			0	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
320201	32	Objects/weapons/c/em001_we_c/em001_we_c.chr		0	0,0,0	Objects/weapons/c/em001_u01_we_c/em001_u01_we_c.mtl			0	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
330201	33	Objects/weapons/q/em001_we_q/em001_we_q_z.chr	Objects/weapons/q/em001_we_q/em001_we_q_y.chr	0	0,0,0	Objects/weapons/q/em001_u01_we_q/em001_u01_we_q.mtl			Objects/weapons/q/em001_u01_we_q/em001_u01_we_q.mtl	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
340201	34	Objects/weapons/p/em001_we_p/em001_we_p_z.chr	Objects/weapons/p/em001_we_p/em001_we_p_y.chr	0	0,0,0	Objects/weapons/p/em001_u01_we_p/em001_u01_we_p.mtl			Objects/weapons/p/em001_u01_we_p/em001_u01_we_p.mtl	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
350201	35	Objects/weapons/n/em001_we_n/em001_we_n.chr		0	0,0,0	Objects/weapons/n/em001_u01_we_n/em001_u01_we_n.mtl			0	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
360201	36	Objects/weapons/s/em001_we_s/em001_we_s_z.chr	Objects/weapons/s/em001_we_s/em001_we_s_y.chr	0	0,0,0	Objects/weapons/s/em001_u01_we_s/em001_u01_we_s.mtl			Objects/weapons/s/em001_u01_we_s/em001_u01_we_s.mtl	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
370201	37	Objects/weapons/t/em001_we_t/em001_we_t_z.chr	Objects/weapons/t/em001_we_t/em001_we_t_y.chr	0	0,0,0	Objects/weapons/t/em001_u01_we_t/em001_u01_we_t.mtl			Objects/weapons/t/em001_u01_we_t/em001_u01_we_t.mtl	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
380201	38	Objects/weapons/f/em001_we_f/em001_we_f.chr		0	0,0,0	Objects/weapons/f/em001_u01_we_f/em001_u01_we_f.mtl			0	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
390201	39	Objects/weapons/u/em001_we_u/em001_we_u_z.chr	Objects/weapons/u/em001_we_u/em001_we_u_y.chr	0	0,0,0	Objects/weapons/u/em001_u01_we_u/em001_u01_we_u.mtl			Objects/weapons/u/em001_u01_we_u/em001_u01_we_u.mtl	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
400201	40	Objects/weapons/g/em001_we_g/em001_we_g_z.chr	Objects/weapons/g/em001_we_g/em001_we_g_y.chr	0	0,0,0	Objects/weapons/g/em001_u01_we_g/em001_u01_we_g.mtl			Objects/weapons/g/em001_u01_we_g/em001_u01_we_g.mtl	metal		0,0,0	0,0,0	1		0		0,0,0	0,0,0	1		0
