#TSV
#============Begin of sheet============
@Sheet=人物普通buff10~12
基因ID	name	type	增益标志	基因类型1	基因类型2	group	是否被动Buff	持续时间	有效状态	状态参数1	状态参数2	生效状态	有效地区	叠加类别	叠加类型	叠加上限	部位叠加	互斥标志	互斥优先级	下线保留	死亡清除	离开副本清除	触发条件	触发参数	触发几率	触发次数	触发特效	触发CD	CD组	效果类型	效果参数1	效果参数2	效果参数3	效果参数4	打断是否生效	结束时效果类型	结束时效果参数1	结束时效果参数2	结束时效果参数3	结束时效果参数4	Icon	Icon显示信息	基因tips	开启特效	开启提示	关闭特效	关闭提示	中断特效	中断提示	音效	异常受击状态Flag
10000	毒		0	毒				35000						时间更新,次数不变		1		10167	3		1	1	EOT触发	延迟触发				1000		毒伤害	1										buff12		每秒钟损失一定的体力	14							
10001	燃烧		0	燃烧				20000						时间更新,次数不变				10001	1		1	1	EOT触发					1000		火伤害	2										buff13		每秒钟损失一定的体力	15		24		24			
10001																					1	1	翻滚							移除BUFF类型	燃烧																				
10002			1						施放指定技能组	705				时间更新,次数不变								1								人物属性修饰	PlayerAtk	百分比修改	15																		
10002			1						施放指定技能组	706				时间更新,次数不变								1								人物属性修饰	WaterAttack	百分比修改	15																		
10002			1											时间更新,次数不变								1								人物属性修饰	FireAttack	百分比修改	15																		
10002			1											时间更新,次数不变								1								人物属性修饰	LightningAttack	百分比修改	15																		
10002			1											时间更新,次数不变								1								人物属性修饰	DragonAttack	百分比修改	15																		
10002			1											时间更新,次数不变								1								人物属性修饰	IceAttack	百分比修改	15																		
10003			1						施放指定技能组	705				时间更新,次数不变								1								人物属性修饰	PlayerAtk	百分比修改	25																		
10003			1						施放指定技能组	706				时间更新,次数不变								1								人物属性修饰	WaterAttack	百分比修改	25																		
10003			1											时间更新,次数不变								1								人物属性修饰	FireAttack	百分比修改	25																		
10003			1											时间更新,次数不变								1								人物属性修饰	LightningAttack	百分比修改	25																		
10003			1											时间更新,次数不变								1								人物属性修饰	DragonAttack	百分比修改	25																		
10003			1											时间更新,次数不变								1								人物属性修饰	IceAttack	百分比修改	25																		
10004			1						施放指定技能组	705				时间更新,次数不变								1								人物属性修饰	PlayerAtk	百分比修改	50																		
10004			1						施放指定技能组	706				时间更新,次数不变								1								人物属性修饰	WaterAttack	百分比修改	50																		
10004			1											时间更新,次数不变								1								人物属性修饰	FireAttack	百分比修改	50																		
10004			1											时间更新,次数不变								1								人物属性修饰	LightningAttack	百分比修改	50																		
10004			1											时间更新,次数不变								1								人物属性修饰	DragonAttack	百分比修改	50																		
10004			1											时间更新,次数不变								1								人物属性修饰	IceAttack	百分比修改	50																		
10005	炎热		0	火										时间更新,次数不变								1	EOT触发	立即触发				2000		固定扣绿血	1										buff21		你感觉到炎热	46							
10006	寒冷		0	冰										时间更新,次数不变								1								人物属性修饰	CharStaDdctPeriod	百分比修改	-50								buff11		你感觉到寒冷								
10007			1					1500	施放指定技能组	20001				时间更新,次数不变							1	1								人物属性修饰	CharAnimSpeed	百分比修改	50																		
10008			1					1500						时间更新,次数不变							1	1								观察眼																					
10009																														攻击不弹刀																					
10011	减速		0					10000						时间更新,次数不变							1	1								人物属性修饰	CharSpeed	百分比修改	-10								buff19		速度降低								
10012	减速		0					10000						时间更新,次数不变							1	1								人物属性修饰	CharSpeed	百分比修改	-20								buff19		速度降低								
10013	减速		0					10000						时间更新,次数不变							1	1								人物属性修饰	CharSpeed	百分比修改	-30								buff19		速度降低								
10014	减速		0					10000						时间更新,次数不变							1	1								人物属性修饰	CharSpeed	百分比修改	-40								buff19		速度降低								
10015	减速		0					10000						时间更新,次数不变							1	1								人物属性修饰	CharSpeed	百分比修改	-50								buff19		速度降低								
10016	减速		0					10000						时间更新,次数不变							1	1								人物属性修饰	CharSpeed	百分比修改	-60								buff19		速度降低								
10017	减速		0					10000						时间更新,次数不变							1	1								人物属性修饰	CharSpeed	百分比修改	-70								buff19		速度降低								
10018	减速		0					10000						时间更新,次数不变							1	1								人物属性修饰	CharSpeed	百分比修改	-80								buff19		速度降低								
10019	减速		0					10000						时间更新,次数不变							1	1								人物属性修饰	CharSpeed	百分比修改	-90								buff19		速度降低								
10021	减速		0					5000						时间更新,次数不变							1	1								人物属性修饰	CharSpeed	百分比修改	-10								buff19		速度降低								
