#TSV
#============Begin of sheet============
@Sheet=CatTalk
ID	SignalID	SignalDesc	TalkStyle_1	TalkStyle_2	TalkStyle_3
1	TKSG_MISSION_START	任务开始时	I'll show you my hunting skills master!	Let me protect you master!	I'll report you if you take too many supplies, meow!
2	TKSG_MISSION_COMPLETE	任务成功时	Quest complete meow~	Quest complete meow~	Quest complete meow~
3	TKSG_MISSION_FAILED	任务失败时	Master, what happened~meow?	Master, what happened~meow?	Master, what happened~meow?
4	TKSG_MASTER_HP_LOW	主人HP不足	if you don't drink a potion soon, you will cart meow!	quickly master! drink a potion!	Master! The situation is getting out of control, meow!
5	TKSG_MASTER_POISON	主人中毒中	Sleep when hurt, antidote when poisoned, hunting common sense meow~	Sleep when hurt, antidote when poisoned, hunting common sense meow~	Sleep when hurt, antidote when poisoned, hunting common sense meow~
6	TKSG_MASTER_BIOED	主人臭气中	Master you stink! Get away from me meow~	Master you stink! Get away from me meow~	Master you stink! Get away from me meow~
7	TKSG_MASTER_PARALYSIS	主人麻痹中	You seem to enjoy being paralyzed meow?	I'll rub you you with my paw meow~	Lightning! Thunder! muscle cramp!
8	TKSG_MASTER_MUDDING	主人泥状态	Muds! I can help you get out of it meow!	Don't move master~meow!	Master! You suddenly look great meow!
9	TKSG_MASTER_SNOW	主人雪状态	Master，you look great as a snowman!	Master，you look great as a snowman!	Master，you look great as a snowman!
10	TKSG_MASTER_SLEEP	主人陷入睡眠	Master there's no time to sleep ~meow!	Get up master!	Hey master get up now ~meow~
11	TKSG_MASTER_WIND	主人受到风压行动不能时	immobilized again meow! useless, meow!	Master's gonna get blown away by the wind meow!	Today's wind's a bit noisy meow!
12	TKSG_MASTER_DRAGONWIND	主人受到龙风压行动不能时	they say love comes as fast as a tornado	they say love comes as fast as a tornado	they say love comes as fast as a tornado
13	TKSG_MASTER_SONIC	主人受到吼叫捂耳时	Master，did you wear your earplugs?	Master，did you wear your earplugs?	Master，did you wear your earplugs?
14	TKSG_MASTER_ROAR	主人受到咆哮捂耳时	I only brought one pair of earplugs, so master you will have to cover your ears, meow!	Put on earplugs and you won't fear the roars, meow!	Master can't hear me meow! Time for bad-mouthing meow!
15	TKSG_MASTER_QUAKE	主人受地面震动而行动不能时	Master, hold onto me, meow!	Master, stand fast, meow!	shake it left and right, wanna dance together, master?
16	TKSG_MASTER_DAZE	主人陷入晕眩时	Wake up meow!	Master's head has pretty little stars~meow!	Hey master let's count how many stars you have meow!
17	TKSG_MASTER_CAUGHT	主人被捕缚时	Let go of master, I'll show you how it's done~meow!	Let go of master, I'll show you how it's done~meow!	Let go of master, I'll show you how it's done~meow!
18	TKSG_MASTER_GATHER	主人采集时	lots of good stuff here meow~	lots of good stuff here meow~	lots of good stuff here meow~
19	TKSG_MASTER_REST	主人睡觉时	yawn~, master, we finally get some proper sleep meow	yawn~, master, we finally get some proper sleep meow	yawn~, master, we finally get some proper sleep meow
20	TKSG_MASTER_OUGI	主人发动了奥义时	My hands will burn bright red!	My hands will burn bright red!	My hands will burn bright red!
21	TKSG_IDLE_SLACKING	累得坐在地上时	meow~ where's the cart meow....	I can't... I can't even walk meow.......	I don't like long strolls meow.....
22	TKSG_IDLE_PLAYING	从主人身边跑开到附近去玩	Aha! got your attention meow?	it's the questing life meow!	I found something interesting meow
23	TKSG_HP_LOW	自身HP低下	Prepare for tactical retreat meow!	I can't go on much longer... I might let you down, master...	how do you use the health horn? I forgot meow...
24	TKSG_POISON	自身中毒	I'm poisoned meow!	I'm poisoned meow!	I'm poisoned meow!
25	TKSG_PARALYSIS	自身陷入麻痹	Paralyzed meow……	tongue going numb... num... can't talk, meow...	Is this the way it goes? no one will come save meow?
26	TKSG_MUDDING	自身陷入泥状态	I can't move meow~	I can't move meow~	I can't move meow~
27	TKSG_SNOW	自身陷入雪人状态	I don't think the mafumofu outfit looks like that meow	I turned into a snowman meow... can't move meow...	Snow transformation~meow! why am I fat~meow?
28	TKSG_SLOW	自身陷入减速状态	so slippery, can't run too fast meow~	so slippery, can't run too fast meow~	so slippery, can't run too fast meow~
29	TKSG_MADESLEEP	自身陷入睡眠异常状态	can't keep my eyes open... shout me awake meow...	This is not gonna keep me awake meown...	I always wanted to sleep on the hunting ground. What does it feel like~meow?
30	TKSG_WIND	自身受到风压而行动不能时	Don't think it's possible to stop meow!	The wind is so strong I can't hear anything meow...	I can see the shape of the wind meow! so cool~meow!
31	TKSG_DRAGON_WIND	自身受到龙风压而行动不能	Even if it's dragon wind... it won't... stop meow!	The dragon wind is too scary meow!	So this is the dragon wind! I feel like I've been locked in place meow!
32	TKSG_SONIC	自身受到吼叫效果而捂耳伏地时	Oh just let me deal with the roar alone, of course meow...	I forgot the earplugs~meow!	Such a horrible roar meow...
33	TKSG_ROAR	自身受到咆哮效果而捂耳伏地时	I gave my earplugs to master meow!	what a scary sonic boom meow~	Oh you want a roaring competition? I'm not gonna lose meow! meow ouch...
34	TKSG_QUAKE	由于地面震动而无法行动	I can keep balance meow!	OOo meow meow, everything seems to be shaking meow!	Everything's spinning meow meow!
