#TSV
#============Begin of sheet============
@Sheet=宠物装备打造
配方ID	配方名称	装备系列	搜索关键字	NpcID	UnlockLevelID	配方类型	锻造代币ID	锻造代币抵扣金额	锻造代币使用上限	装备类型	打造种类	使用等级	使用星级	远近类型	生成物品1ID	生成数量1	生成率1	生成物品2ID	生成数量2	生成率2	副产物ID	副产数量	副产生成率	消耗金钱	原料1ID	数量1	原料2ID	数量2	原料3ID	数量3	原料4ID	数量4	原料5ID	数量5	原料6ID	数量6	原料7ID	数量7	原料8ID	数量8	原料9ID	数量9	原料10ID	数量10
9000	村丁斗气锤					2				1	1	1	1	1	90000	1	100							1000	21403	3	4848	3																
9001	村丁护身锤					2				1	1	1	3	1	90001	1	100							1000	21403	3	4848	3																
9002	士兵斗气锤					2				1	3	1	1	1	90002	1	100							1400	21405	5	4848	3																
9003	独行护身刃					2				1	2	1	3	1	90003	1	100							1400	21405	5	4848	3																
9004	兵长斗气锤					2				1	3	2	1	1	90004	1	100							2000	21407	7	4848	3																
9005	下忍护身刃					2				1	2	2	3	1	90005	1	100							2000	21407	7	4848	3																
9006	骑士斗气锤					2				1	3	3	1	1	90006	1	100							2800	21409	9	4848	3																
9007	中忍护身刃					2				1	2	3	3	1	90007	1	100							2800	21409	9	4848	3																
9008	大骑士斗气锤					2				1	3	4	1	1	90008	1	100							3800	21411	11	4848	3																
9009	上忍护身刃					2				1	2	4	3	1	90009	1	100							3800	21411	11	4848	3																
9010	军士斗气斧					2				1	4	1	1	1	90010	1	100							5000	21413	13	4848	3																
9011	门生护身斧					2				1	6	1	3	1	90011	1	100							5000	21413	13	4848	3																
9018	村丁喵斗气盔					2				2	1	1	1	1	91000	1	100							1000	21404	2	4848	2																
9019	村丁喵护身盔					2				2	1	1	3	1	91001	1	100							1000	21404	2	4848	2																
9020	村丁喵斗气甲					2				3	1	1	1	1	91002	1	100							1000	21404	2	4848	2																
9021	村丁喵护身甲					2				3	1	1	3	1	91003	1	100							1000	21404	2	4848	2																
9022	士兵喵斗气盔					2				2	3	1	1	1	91004	1	100							1400	21406	3	4848	2																
9030	独行喵护身盔					2				2	2	1	3	1	91012	1	100							1400	21406	3	4848	2																
9023	兵长喵斗气盔					2				2	3	2	1	1	91005	1	100							2000	21408	4	4848	2																
9031	下忍喵护身盔					2				2	2	2	3	1	91013	1	100							2000	21408	4	4848	2																
9024	骑士喵斗气盔					2				2	3	3	1	1	91006	1	100							2800	21410	5	4848	2																
9032	中忍喵护身盔					2				2	2	3	3	1	91014	1	100							2800	21410	5	4848	2																
9025	大骑士喵斗气盔					2				2	3	4	1	1	91007	1	100							3800	21412	6	4848	2																
9033	上忍喵护身盔					2				2	2	4	3	1	91015	1	100							3800	21412	6	4848	2																
9038	军士喵斗气盔					2				2	4	1	1	1	91020	1	100							5000	21414	7	4848	2																
9046	门生喵护身盔					2				2	6	1	3	1	91028	1	100							5000	21414	7	4848	2																
9039	尉官喵斗气盔					2				2	4	2	1	1	91021	1	100							10000	21416	8	4848	2																
9047	剑客喵护身盔					2				2	6	2	3	1	91029	1	100							10000	21416	8	4848	2																
9026	士兵喵斗气甲					2				3	3	1	1	1	91008	1	100							1400	21406	3	4848	2																
9034	独行喵护身甲					2				3	2	1	3	1	91016	1	100							1400	21406	3	4848	2																
9027	兵长喵斗气甲					2				3	3	2	1	1	91009	1	100							2000	21408	4	4848	2																
9035	下忍喵护身甲					2				3	2	2	3	1	91017	1	100							2000	21408	4	4848	2																
9028	骑士喵斗气甲					2				3	3	3	1	1	91010	1	100							2800	21410	5	4848	2																
9036	中忍喵护身甲					2				3	2	3	3	1	91018	1	100							2800	21410	5	4848	2																
9029	大骑士喵斗气甲					2				3	3	4	1	1	91011	1	100							3800	21412	6	4848	2																
9037	上忍喵护身甲					2				3	2	4	3	1	91019	1	100							3800	21412	6	4848	2																
9042	军士喵斗气甲					2				3	4	1	1	1	91024	1	100							5000	21414	7	4848	2																
9050	门生喵护身甲					2				3	6	1	3	1	91032	1	100							5000	21414	7	4848	2																
9043	尉官喵斗气甲					2				3	4	2	1	1	91025	1	100							10000	21416	8	4848	2																
9051	剑客喵护身甲					2				3	6	2	3	1	91033	1	100							10000	21416	8	4848	2																
9012	尉官斗气斧					2				1	4	2	1	1	90012	1	100							10000	21415	15	4848	3																
9013	剑客护身斧					2				1	6	2	3	1	90013	1	100							10000	21415	15	4848	3																
9054	村丁斗气锤·改					2				1	1	1	1	1	90018	1	100							12000	21417	15	4848	3																
9055	村丁护身锤·改					2				1	1	1	3	1	90019	1	100							12000	21417	15	4848	3																
9056	士兵斗气锤·改					2				1	3	1	1	1	90020	1	100							14000	21417	15	4848	3																
9057	独行护身刃·改					2				1	2	1	3	1	90021	1	100							14000	21417	15	4848	3																
9058	兵长斗气锤·改					2				1	3	2	1	1	90022	1	100							16000	21417	15	4848	3																
9059	下忍护身刃·改					2				1	2	2	3	1	90023	1	100							16000	21417	15	4848	3																
9060	骑士斗气锤·改					2				1	3	3	1	1	90024	1	100							18000	21417	15	4848	3																
9061	中忍护身刃·改					2				1	2	3	3	1	90025	1	100							18000	21417	15	4848	3																
9062	大骑士斗气锤·改					2				1	3	4	1	1	90026	1	100							20000	21417	15	4848	3																
9063	上忍护身刃·改					2				1	2	4	3	1	90027	1	100							20000	21417	15	4848	3																
9064	军士斗气斧·改					2				1	4	4	1	1	90028	1	100							22000	21419	15	4848	3																
9065	门生护身斧·改					2				1	6	4	3	1	90029	1	100							22000	21419	15	4848	3																
9066	尉官斗气斧·改					2				1	4	4	1	1	90030	1	100							24000	21419	15	4848	3																
9067	剑客护身斧·改					2				1	6	4	3	1	90031	1	100							24000	21419	15	4848	3																
9068	骁将斗气斧·改					2				1	4	4	1	1	90032	1	100							26000	21419	15	4848	3																
9069	师范代护身斧·改					2				1	6	4	3	1	90033	1	100							26000	21419	15	4848	3																
9070	军团长斗气斧·改					2				1	4	4	1	1	90034	1	100							28000	21419	15	4848	3																
9071	师匠护身斧·改					2				1	6	4	3	1	90035	1	100							28000	21419	15	4848	3																
9072	村丁斗气锤·极					2				1	1	5	1	1	90036	1	100							30000	21419	15	4848	3																
9073	村丁护身锤·极					2				1	1	5	3	1	90037	1	100							30000	21419	15	4848	3																
9074	村丁喵斗气盔·改					2				2	1	4	1	1	91036	1	100							12000	21418	8	4848	2																
9075	村丁喵斗气甲·改					2				3	1	4	1	1	91037	1	100							12000	21418	8	4848	2																
9076	村丁喵护身盔·改					2				2	1	4	3	1	91038	1	100							12000	21418	8	4848	2																
9077	村丁喵护身甲·改					2				3	1	4	3	1	91039	1	100							12000	21418	8	4848	2																
9078	士兵喵斗气盔·改					2				2	3	4	1	1	91040	1	100							14000	21418	8	4848	2																
9079	士兵喵斗气甲·改					2				3	3	4	1	1	91041	1	100							14000	21418	8	4848	2																
9080	独行喵护身盔·改					2				2	2	4	3	1	91042	1	100							14000	21418	8	4848	2																
9081	独行喵护身甲·改					2				3	2	4	3	1	91043	1	100							14000	21418	8	4848	2																
9082	兵长喵斗气盔·改					2				2	3	4	1	1	91044	1	100							16000	21418	8	4848	2																
9083	兵长喵斗气甲·改					2				3	3	4	1	1	91045	1	100							16000	21418	8	4848	2																
9084	下忍喵护身盔·改					2				2	2	4	3	1	91046	1	100							16000	21418	8	4848	2																
9085	下忍喵护身甲·改					2				3	2	4	3	1	91047	1	100							16000	21418	8	4848	2																
9086	骑士喵斗气盔·改					2				2	3	4	1	1	91048	1	100							18000	21418	8	4848	2																
9087	骑士喵斗气甲·改					2				3	3	4	1	1	91049	1	100							18000	21418	8	4848	2																
9088	中忍喵护身盔·改					2				2	2	4	3	1	91050	1	100							18000	21418	8	4848	2																
9089	中忍喵护身甲·改					2				3	2	4	3	1	91051	1	100							18000	21418	8	4848	2																
9090	大骑士喵斗气盔·改					2				2	3	4	1	1	91052	1	100							20000	21418	8	4848	2																
9091	大骑士喵斗气甲·改					2				3	3	4	1	1	91053	1	100							20000	21418	8	4848	2																
9092	上忍喵护身盔·改					2				2	2	4	3	1	91054	1	100							20000	21418	8	4848	2																
9093	上忍喵护身甲·改					2				3	2	4	3	1	91055	1	100							20000	21418	8	4848	2																
9094	军士喵斗气盔·改					2				2	4	4	1	1	91056	1	100							22000	21420	8	4848	2																
9095	军士喵斗气甲·改					2				3	4	4	1	1	91057	1	100							22000	21420	8	4848	2																
9096	门生喵护身盔·改					2				2	6	4	3	1	91058	1	100							22000	21420	8	4848	2																
9097	门生喵护身甲·改					2				3	6	4	3	1	91059	1	100							22000	21420	8	4848	2																
9098	尉官喵斗气盔·改					2				2	4	4	1	1	91060	1	100							24000	21420	8	4848	2																
