#TSV
#============Begin of sheet============
@Sheet=奖励金钱系数
等级	绑钱_0	非绑钱_0	经验_0
1	120		1000
2	120		1000
3	130		1000
4	130		1000
5	140		1000
6	140		1000
7	150		1000
8	150		1000
9	160		1000
10	160		1000
11	170		1000
12	170		1000
13	180		1000
14	180		1000
15	190		1000
16	190		1000
17	200		1000
18	200		1000
19	210		1000
20	210		1000
21	220		1000
22	220		1000
23	240		1000
24	240		1000
25	260		1000
26	260		1000
27	280		1000
28	280		1000
29	300		1000
30	300		1000
31	320		1000
32	320		1000
33	360		1000
34	360		1000
35	400		1000
36	400		1000
37	440		1000
38	440		1000
39	480		1000
40	500		1000
41	550		1000
42	600		1000
43	650		1000
44	700		1000
45	750		1000
46	800		1000
47	850		1000
48	900		1000
49	950		1000
50	1000		1000
51	1000		1000
52	1000		1000
53	1000		1000
54	1000		1000
55	1000		1000
56	1000		1000
57	1000		1000
58	1000		1000
59	1000		1000
60	1000		1000
61	1000		1000
62	1000		1000
63	1000		1000
64	1000		1000
65	1000		1000
66	1000		1000
67	1000		1000
68	1000		1000
69	1000		1000
70	1000		1000
71	1000		1000
72	1000		1000
73	1000		1000
74	1000		1000
75	1000		1000
76	1000		1000
77	1000		1000
78	1000		1000
79	1000		1000
80	1000		2000
81	1000		2000
82	1000		2000
83	1000		2000
84	1000		2000
85	1000		2000
86	1000		2000
87	1000		2000
88	1000		2000
89	1000		2000
90	1000		2000
91	1000		2000
92	1000		2000
93	1000		2000
94	1000		2000
95	1000		2000
96	1000		2000
97	1000		2000
98	1000		2000
99	1000		2000
100	1000		2000
101	1000		2000
102	1000		2000
103	1000		2000
104	1000		2000
105	1000		2000
106	1000		2000
107	1000		2000
108	1000		2000
109	1000		2000
110	1000		2000
111	1000		2000
112	1000		2000
113	1000		2000
114	1000		2000
115	1000		2000
116	1000		2000
117	1000		2000
118	1000		2000
119	1000		2000
120	1000		5000
121	1000		5000
122	1000		5000
123	1000		5000
124	1000		5000
125	1000		5000
126	1000		5000
127	1000		5000
128	1000		5000
129	1000		5000
130	1000		5000
131	1000		5000
132	1000		5000
133	1000		5000
134	1000		5000
135	1000		5000
136	1000		5000
137	1000		5000
138	1000		5000
139	1000		5000
140	1000		6000
141	1000		6000
142	1000		6000
143	1000		6000
144	1000		6000
145	1000		6000
146	1000		6000
147	1000		6000
148	1000		6000
149	1000		6000
150	1000		7000
151	1000		7000
152	1000		7000
153	1000		7000
154	1000		7000
155	1000		7000
156	1000		7000
157	1000		7000
158	1000		7000
159	1000		7000
160	1000		7000
161	1000		7000
162	1000		7000
163	1000		7000
164	1000		7000
165	1000		7000
166	1000		7000
167	1000		7000
168	1000		7000
169	1000		7000
170	1000		7000
171	1000		7000
172	1000		7000
173	1000		7000
174	1000		7000
175	1000		7000
176	1000		7000
177	1000		7000
178	1000		7000
179	1000		7000
180	1000		7000
181	1000		7000
182	1000		7000
183	1000		7000
184	1000		7000
185	1000		7000
186	1000		7000
187	1000		7000
188	1000		7000
189	1000		7000
190	1000		7000
191	1000		7000
192	1000		7000
193	1000		7000
194	1000		7000
195	1000		7000
196	1000		7000
197	1000		7000
198	1000		7000
199	1000		7000
#============End of sheet============

#============Begin of sheet============
@Sheet=日常任务
ID	任务名称	排序	所需完成数	背景图1	背景图2
4001	Hunting Field 1	1	12	DailySchedule_table_011	DailySchedule_small001
4021	Hunting Field 2	2	30	DailySchedule_table_012	DailySchedule_small001
4028	Fortune Hunt Field	12	8	DailySchedule_table_005	DailySchedule_small001
4008	Arena Challenge	13	6	DailySchedule_table_009	DailySchedule_small001
4007	Meoweirdie	14	8	DailySchedule_table_007	DailySchedule_small001
4022	warning	15	8	DailySchedule_warning	DailySchedule_small001
4009	Farm Gathering	16	30	DailySchedule_table_008	DailySchedule_small001
4010	F.Farm Gathering	17	30	DailySchedule_table_022	DailySchedule_small001
4003	Bounty	19	9	DailySchedule_table_010	DailySchedule_small001
4011	Combination Times	20	60	DailySchedule_table_013	DailySchedule_small001
4015	Weapon Upgrade	21	1	DailySchedule_table_020	DailySchedule_small001
4024	Armor Upgrade	22	3	DailySchedule_table_003	DailySchedule_small001
4026	Inlay Jewels	23	5	DailySchedule_table_019	DailySchedule_small001
4027	Talisman Reforging	24	5	DailySchedule_table_004	DailySchedule_small001
4018	Gather	18	40	DailySchedule_table_001	DailySchedule_small001
5031	Random1	3	8	DailySchedule_table_016	DailySchedule_small001
5032	Random2	4	16	DailySchedule_table_017	DailySchedule_small001
5033	Weapon Test	5	3	DailySchedule_table_014	DailySchedule_small001
5034	Broken1	6	20	DailySchedule_monster_001	DailySchedule_small001
5035	Broken2	7	40	DailySchedule_monster_002	DailySchedule_small001
5036	Capture1	8	10	DailySchedule_monster_003	DailySchedule_small001
5037	Capture2	9	20	DailySchedule_monster_004	DailySchedule_small001
5038	Fall1	10	10	DailySchedule_monster_005	DailySchedule_small001
5039	Fall2	11	30	DailySchedule_monster_006	DailySchedule_small001
#============End of sheet=========
