#TSV
#============Begin of sheet============
@Sheet=染色配置
染色规则	染色特效Index	染色效果名	色彩	高光效果	需求货币类型	需求货币数量	需求道具	需求道具数量	需求装备物品等级
1	0	Default Color					40204	1	
1	1	Coral	162;108;108				40204	1	
1	2	Red Leaves	149;55;53				40204	1	
1	3	Sweet Chestnut	176;122;62				40204	1	
1	4	Dry Tea	122;122;88				40204	1	
1	5	Light Onion	73;125;141				40204	1	
1	6	Dawnwind	123;142;183				40204	1	
1	7	Orchid	55;96;145				40204	1	
1	8	Moonlight	23;55;93				40204	1	
1	9	Bellflower	105;96;130				40204	1	
1	10	Cherry Powder	245;207;210				40204	2	
1	11	Conga Pink	245;169;169				40204	2	
1	12	Sprout	251;223;183				40204	2	
1	13	Snow White	227;235;187				40204	2	
1	14	Spring Dye	192;219;149				40204	2	
1	15	Blue Sky	183;222;227				40204	2	
1	16	Ice Crystal	179;206;231				40204	2	
1	17	Sleepy Silver	150;184;234				40204	2	
1	18	Lightning	188;164;220				40204	2	
1	19	Jade Glass	229;215;233				40204	2	
1	20	Snow King	247;247;247				40204	3	
1	21	Deep Black	39;39;39				40204	3	
1	22	Deep Red	192;0;0				40204	3	
1	23	Hot Gold	255;192;0				40204	3	
1	24	Genprey Yellow	255;237;1				40204	3	
1	25	Green Plesioth	146;208;80				40204	3	
1	26	Cactus Lime	117;146;60				40204	3	
1	27	Butterfly Blue	0;176;240				40204	3	
1	28	Aqua Marine	0;112;192				40204	3	
1	29	Gypceros Purple	112;48;160				40204	3	
2	1	Underwear test color	255;192;203				1	1	
2	2	Blue test	0;0;255				2	1	
3	0	Default Color			银币	500			70
3	1	Coral	162;108;108		银币	2000			70
3	2	Red Leaves	149;55;53		银币	2000			70
3	3	Sweet Chestnut	176;122;62		银币	2500			75
3	4	Dry Tea	122;122;88		银币	2500			75
3	5	Light Onion	73;125;141		银币	3000			80
3	6	Dawnwind	123;142;183		银币	3000			80
3	7	Orchid	55;96;145		银币	3500			85
3	8	Moonlight	23;55;93		银币	3500			85
3	9	Bellflower	105;96;130		银币	3500			90
3	10	Cherry Powder	245;207;210		银币	3500			90
3	11	Conga Pink	245;169;169		银币	3500			95
3	12	Sprout	251;223;183		银币	3500			95
3	13	Snow White	227;235;187		银币	3500			100
3	14	Spring Dye	192;219;149		银币	3500			100
3	15	Blue Sky	183;222;227		银币	3500			105
3	16	Ice Crystal	179;206;231		银币	3500			105
3	17	Sleepy Silver	150;184;234		银币	3500			110
3	18	Lightning	188;164;220		银币	3500			110
3	19	Jade Glass	229;215;233		银币	3500			115
3	20	Snow King	247;247;247		银币	3500			115
3	21	Deep Black	39;39;39		银币	3500			115
3	22	Deep Red	192;0;0		银币	3500			115
#============End of sheet=========
