#TSV
#============Begin of sheet============
@Sheet=属性开启
开启编号	属性条数	物品最低等级	物品最高等级	开启需要次数	开启需要点券
1	2	1	1	10	0
2	2	2	5	10	10
3	2	6	10	10	10
4	2	11	15	20	10
5	2	16	20	20	10
6	2	21	25	30	10
7	2	26	30	30	10
8	2	31	35	40	10
9	2	36	40	40	10
10	2	41	45	50	10
11	2	46	50	50	10
12	2	51	55	60	10
13	2	56	60	60	10
14	2	61	65	70	10
15	2	66	70	70	10
16	2	71	75	80	10
17	2	76	80	80	10
18	2	81	85	90	10
19	2	86	90	90	10
20	2	91	95	100	10
21	2	96	100	100	10
22	3	1	1	30	200
23	3	2	5	30	200
24	3	6	10	30	200
25	3	11	15	60	200
26	3	16	20	60	200
27	3	21	25	90	200
28	3	26	30	90	200
29	3	31	35	120	200
30	3	36	40	120	200
31	3	41	45	150	200
32	3	46	50	150	200
33	3	51	55	180	200
34	3	56	60	180	200
35	3	61	65	210	200
36	3	66	70	210	200
37	3	71	75	240	200
38	3	76	80	240	200
39	3	81	85	270	200
40	3	86	90	270	200
41	3	91	95	300	200
42	3	96	100	300	200
#============End of sheet============

#============Begin of sheet============
@Sheet=精铸品质权重
精铸品质	权重	备注
1	50	白；负面装备被动技-1~2
2	500	绿；低级装备被动技+1
3	100	粉；低级装备被动技+2
4	10	蓝；高级装备被动技+1
5	1	紫；高级装备被动技+2
#============End of sheet============

#============Begin of sheet============
@Sheet=精铸属性
属性ID	说明	品质	物品最小等级	物品最大等级	功能	被动技ID	被动技值
1	Defense	1	1	99		2	-1
2	Clairvoyance	1	1	99		9	-1
3	Perception	1	1	99		11	-1
4	Paralysis	1	1	99		17	-1
5	气候	1	1	99		23	-1
6	Hunger	1	1	99		28	-1
7	Spd Setup	1	1	99		36	-1
8	Sleep Res	1	1	99		41	-1
9	Collection	1	1	99		69	-1
10	Wilderness	1	1	99		74	-1
11	Attack	1	1	99		1	-1
12	Crit Eye	1	1	99		3	-1
13	Spd Eating	1	1	99		5	-1
14	Carving	1	1	99		10	-1
15	Health	1	1	99		12	-1
16	Recov Spd	1	1	99		15	-1
17	Protection	1	1	99		19	-1
18	Element Res	1	1	99		20	-1
19	Potential	1	1	99		22	-1
20	Eating	1	1	99		25	-1
21	Constitution	1	1	99		29	-1
22	Gas Res	1	1	99		31	-1
23	团队之星	1	1	99		35	-1
24	Normal Up	1	1	99		37	-1
25	Tremor Res	1	1	99		38	-1
26	Resilience	1	1	99		39	-1
27	Hormone	1	1	99		40	-1
28	Sleep	1	1	99		42	-1
29	Sense	1	1	99		43	-1
30	Guard B.	1	1	99		45	-1
31	Stam Recov	1	1	99		47	-1
32	Para C+	1	1	99		49	-1
33	Guts	1	1	99		50	-1
34	Challenger	1	1	99		51	-1
35	Anti-Bacterial	1	1	99		52	-1
36	Mud/Snow	1	1	99		55	-1
37	Wind Res	1	1	99		57	-1
38	贯通强化	1	1	99		63	-1
39	Ambush	1	1	99		64	-1
40	毒抗性	1	1	99		65	-1
41	Poison C+	1	1	99		66	-1
42	Spread Shot Up	1	1	99		70	-1
43	Ele.Atk up	1	1	99		16	-1
44	Destroyer	1	1	99		21	-1
45	Fencing	1	1	99		24	-1
46	Tenderizer	1	1	99		26	-1
47	贯通弹解放	1	1	99		27	-1
48	Pellet S+	1	1	99		30	-1
49	Status	1	1	99		33	-1
50	Crag S+	1	1	99		34	-1
51	Earplugs	1	1	99		44	-1
52	Fire Atk	1	1	99		46	-1
53	Evade Dis	1	1	99		48	-1
54	填装术	1	1	99		53	-1
55	Survivor	1	1	99		54	-1
56	StaminaDwn	1	1	99		58	-1
57	Desperation	1	1	99		59	-1
58	Eagle-Eyed	1	1	99		60	-1
59	Wide-Range	1	1	99		61	-1
60	Sharpness	1	1	99		67	-1
61	Cold Res	1	1	99		68	-1
62	Water Atk	1	1	99		71	-1
63	Thunder Atk	1	1	99		72	-1
64	Ice Atk	1	1	99		73	-1
65	Defense	1	1	99		2	-2
66	Clairvoyance	1	1	99		9	-2
67	Perception	1	1	99		11	-2
68	Paralysis	1	1	99		17	-2
69	气候	1	1	99		23	-2
70	Hunger	1	1	99		28	-2
71	Spd Setup	1	1	99		36	-2
72	Sleep Res	1	1	99		41	-2
73	Collection	1	1	99		69	-2
74	Wilderness	1	1	99		74	-2
75	Attack	1	1	99		1	-2
76	Crit Eye	1	1	99		3	-2
