#TSV
#============Begin of sheet============
@Sheet=激活条件组
激活条件组ID	激活条件集ID	相对概率
1	1	0
1	1	0
2	2	0
2	3	0
2	6	0
2	8	0
2	9	0
3	4	0
3	5	0
3	7	0
4	156	0
5	157	0
6	158	0
7	159	0
8	10	0
9	28	0
9	29	0
9	30	0
9	31	0
9	32	0
9	33	0
9	34	0
9	35	0
9	36	0
9	37	0
9	38	0
9	39	0
9	40	0
9	41	0
9	42	0
9	43	0
9	44	0
9	45	0
9	46	0
9	47	0
9	48	0
9	49	0
9	50	0
9	51	0
9	52	0
9	53	0
9	54	0
9	55	0
9	56	0
9	57	0
9	58	0
9	59	0
9	60	0
9	61	0
9	62	0
9	63	0
9	64	0
9	65	0
9	66	0
9	67	0
9	68	0
9	69	0
9	70	0
9	71	0
9	72	0
9	73	0
9	74	0
9	75	0
9	76	0
9	77	0
9	78	0
9	79	0
9	80	0
9	81	0
9	82	0
9	83	0
9	84	0
9	85	0
9	86	0
9	87	0
9	88	0
9	89	0
9	90	0
9	91	0
9	92	0
9	93	0
9	94	0
9	95	0
9	96	0
9	97	0
9	98	0
9	99	0
9	100	0
9	101	0
9	102	0
9	103	0
9	104	0
9	105	0
9	106	0
9	107	0
9	108	0
9	109	0
9	110	0
9	111	0
9	112	0
9	113	0
9	114	0
9	115	0
9	116	0
9	117	0
9	118	0
9	119	0
9	120	0
9	121	0
9	122	0
9	123	0
9	124	0
9	125	0
9	126	0
9	127	0
9	128	0
9	129	0
9	130	0
9	131	0
9	132	0
9	133	0
9	134	0
9	135	0
9	136	0
9	137	0
9	138	0
9	139	0
9	140	0
9	141	0
9	142	0
9	143	0
9	144	0
9	145	0
9	146	0
9	147	0
9	148	0
9	149	0
9	150	0
9	151	0
9	152	0
9	153	0
9	154	0
9	155	0
10	999	0
10	1000	0
#============End of sheet============

#============Begin of sheet============
@Sheet=激活条件集
标识	数据
1	"<Obj Id=\"EquipRandPassiveSkillActivateSetDef\">\n  <Id>1</Id>\n  <Name>测试装备随机被动技激活集</Name>\n  <Note/>\n  <ActivateChecks>\n    <Obj Id=\"EquipSkillPointCheckDef\">\n      <SkillGroup>36</SkillGroup>\n      <Point>10</Point>\n    </Obj>\n    <Obj Id=\"EquipCharTitleCheckDef\">\n      <CharTitle>2</CharTitle>\n    </Obj>\n    <Obj Id=\"EquipSkillsPointAllCheckDef\">\n      <SkillsPointAll>35</SkillsPointAll>\n    </Obj>\n    <Obj Id=\"EquipFoundTimesCheckDef\">\n      <FoundTimes>20</FoundTimes>\n    </Obj>\n  </ActivateChecks>\n</Obj>"
2	"<Obj Id=\"EquipRandPassiveSkillActivateSetDef\">\n  <Id>2</Id>\n  <Name>困难激活攻击20</Name>\n  <Note/>\n  <ActivateChecks>\n    <Obj Id=\"EquipSkillPointCheckDef\">\n      <SkillGroup>1</SkillGroup>\n      <Point>20</Point>\n    </Obj>\n  </ActivateChecks>\n</Obj>"
3	"<Obj Id=\"EquipRandPassiveSkillActivateSetDef\">\n  <Id>3</Id>\n  <Name>困难激活防御20</Name>\n  <Note/>\n  <ActivateChecks>\n    <Obj Id=\"EquipSkillPointCheckDef\">\n      <SkillGroup>2</SkillGroup>\n      <Point>20</Point>\n    </Obj>\n  </ActivateChecks>\n</Obj>"
4	"<Obj Id=\"EquipRandPassiveSkillActivateSetDef\">\n  <Id>4</Id>\n  <Name>简易激活攻击10</Name>\n  <Note/>\n  <ActivateChecks>\n    <Obj Id=\"EquipSkillPointCheckDef\">\n      <SkillGroup>1</SkillGroup>\n      <Point>10</Point>\n    </Obj>\n  </ActivateChecks>\n</Obj>"
5	"<Obj Id=\"EquipRandPassiveSkillActivateSetDef\">\n  <Id>5</Id>\n  <Name>简易激活防御10</Name>\n  <Note/>\n  <ActivateChecks>\n    <Obj Id=\"EquipSkillPointCheckDef\">\n      <SkillGroup>2</SkillGroup>\n      <Point>10</Point>\n    </Obj>\n  </ActivateChecks>\n</Obj>"
6	"<Obj Id=\"EquipRandPassiveSkillActivateSetDef\">\n  <Id>6</Id>\n  <Name>困难组合激活攻击防御各15</Name>\n  <Note/>\n  <ActivateChecks>\n    <Obj Id=\"EquipSkillPointCheckDef\">\n      <SkillGroup>1</SkillGroup>\n      <Point>15</Point>\n    </Obj>\n    <Obj Id=\"EquipSkillPointCheckDef\">\n      <SkillGroup>2</SkillGroup>\n      <Point>15</Point>\n    </Obj>\n  </ActivateChecks>\n</Obj>"
7	"<Obj Id=\"EquipRandPassiveSkillActivateSetDef\">\n  <Id>7</Id>\n  <Name>简易组合激活攻击防御各10</Name>\n  <Note/>\n  <ActivateChecks>\n    <Obj Id=\"EquipSkillPointCheckDef\">\n      <SkillGroup>2</SkillGroup>\n      <Point>10</Point>\n    </Obj>\n    <Obj Id=\"EquipSkillPointCheckDef\">\n      <SkillGroup>1</SkillGroup>\n      <Point>10</Point>\n    </Obj>\n  </ActivateChecks>\n</Obj>"
8	"<Obj Id=\"EquipRandPassiveSkillActivateSetDef\">\n  <Id>8</Id>\n  <Name>困难组合精铸50词且携带称号1</Name>\n  <Note/>\n  <ActivateChecks>\n    <Obj Id=\"EquipFoundTimesCheckDef\">\n      <FoundTimes>99</FoundTimes>\n    </Obj>\n    <Obj Id=\"EquipCharTitleCheckDef\">\n      <CharTitle>1</CharTitle>\n    </Obj>\n  </ActivateChecks>\n</Obj>"
9	"<Obj Id=\"EquipRandPassiveSkillActivateSetDef\">\n  <Id>9</Id>\n  <Name>困难激活攻击20全身技能30</Name>\n  <Note/>\n  <ActivateChecks>\n    <Obj Id=\"EquipSkillsPointAllCheckDef\">\n      <SkillsPointAll>30</SkillsPointAll>\n    </Obj>\n    <Obj Id=\"EquipSkillPointCheckDef\">\n      <SkillGroup>1</SkillGroup>\n      <Point>20</Point>\n    </Obj>\n  </ActivateChecks>\n</Obj>"
10	"<Obj Id=\"EquipRandPassiveSkillActivateSetDef\">\n  <Id>10</Id>\n  <Name>无条件激活</Name>\n  <Note/>\n</Obj>"
11	"<Obj Id=\"EquipRandPassiveSkillActivateSetDef\">\n  <Id>11</Id>\n  <Name>精铸次数激活10次</Name>\n  <Note/>\n  <ActivateChecks>\n    <Obj Id=\"EquipFoundTimesCheckDef\">\n      <FoundTimes>10</FoundTimes>\n    </Obj>\n  </ActivateChecks>\n</Obj>"
12	"<Obj Id=\"EquipRandPassiveSkillActivateSetDef\">\n  <Id>12</Id>\n  <Name>精铸次数激活5次</Name>\n  <Note/>\n  <ActivateChecks>\n    <Obj Id=\"EquipFoundTimesCheckDef\">\n      <FoundTimes>5</FoundTimes>\n    </Obj>\n  </ActivateChecks>\n</Obj>"
13	"<Obj Id=\"EquipRandPassiveSkillActivateSetDef\">\n  <Id>13</Id>\n  <Name>全身技能20点</Name>\n  <Note/>\n  <ActivateChecks>\n    <Obj Id=\"EquipSkillsPointAllCheckDef\">\n      <SkillsPointAll>20</SkillsPointAll>\n    </Obj>\n  </ActivateChecks>\n</Obj>"
14	"<Obj Id=\"EquipRandPassiveSkillActivateSetDef\">\n  <Id>14</Id>\n  <Name>称号9</Name>\n  <Note/>\n  <ActivateChecks>\n    <Obj Id=\"EquipCharTitleCheckDef\">\n      <CharTitle>9</CharTitle>\n    </Obj>\n  </ActivateChecks>\n</Obj>"
15	"<Obj Id=\"EquipRandPassiveSkillActivateSetDef\">\n  <Id>15</Id>\n  <Name>称号10</Name>\n  <Note/>\n  <ActivateChecks>\n    <Obj Id=\"EquipCharTitleCheckDef\">\n      <CharTitle>10</CharTitle>\n    </Obj>\n  </ActivateChecks>\n</Obj>"
16	"<Obj Id=\"EquipRandPassiveSkillActivateSetDef\">\n  <Id>16</Id>\n  <Name>称号11</Name>\n  <Note/>\n  <ActivateChecks>\n    <Obj Id=\"EquipCharTitleCheckDef\">\n      <CharTitle>11</CharTitle>\n    </Obj>\n  </ActivateChecks>\n</Obj>"
17	"<Obj Id=\"EquipRandPassiveSkillActivateSetDef\">\n  <Id>17</Id>\n  <Name>称号12</Name>\n  <Note/>\n  <ActivateChecks>\n    <Obj Id=\"EquipCharTitleCheckDef\">\n      <CharTitle>12</CharTitle>\n    </Obj>\n  </ActivateChecks>\n</Obj>"
18	"<Obj Id=\"EquipRandPassiveSkillActivateSetDef\">\n  <Id>18</Id>\n  <Name>称号13</Name>\n  <Note/>\n  <ActivateChecks>\n    <Obj Id=\"EquipCharTitleCheckDef\">\n      <CharTitle>13</CharTitle>\n    </Obj>\n  </ActivateChecks>\n</Obj>"
19	"<Obj Id=\"EquipRandPassiveSkillActivateSetDef\">\n  <Id>19</Id>\n  <Name>称号14</Name>\n  <Note/>\n  <ActivateChecks>\n    <Obj Id=\"EquipCharTitleCheckDef\">\n      <CharTitle>14</CharTitle>\n    </Obj>\n  </ActivateChecks>\n</Obj>"
20	"<Obj Id=\"EquipRandPassiveSkillActivateSetDef\">\n  <Id>20</Id>\n  <Name>称号15</Name>\n  <Note/>\n  <ActivateChecks>\n    <Obj Id=\"EquipCharTitleCheckDef\">\n      <CharTitle>15</CharTitle>\n    </Obj>\n  </ActivateChecks>\n</Obj>"
21	"<Obj Id=\"EquipRandPassiveSkillActivateSetDef\">\n  <Id>21</Id>\n  <Name>称号16</Name>\n  <Note/>\n  <ActivateChecks>\n    <Obj Id=\"EquipCharTitleCheckDef\">\n      <CharTitle>16</CharTitle>\n    </Obj>\n  </ActivateChecks>\n</Obj>"
22	"<Obj Id=\"EquipRandPassiveSkillActivateSetDef\">\n  <Id>22</Id>\n  <Name>称号17</Name>\n  <Note/>\n  <ActivateChecks>\n    <Obj Id=\"EquipCharTitleCheckDef\">\n      <CharTitle>17</CharTitle>\n    </Obj>\n  </ActivateChecks>\n</Obj>"
23	"<Obj Id=\"EquipRandPassiveSkillActivateSetDef\">\n  <Id>23</Id>\n  <Name>称号18</Name>\n  <Note/>\n  <ActivateChecks>\n    <Obj Id=\"EquipCharTitleCheckDef\">\n      <CharTitle>18</CharTitle>\n    </Obj>\n  </ActivateChecks>\n</Obj>"
24	"<Obj Id=\"EquipRandPassiveSkillActivateSetDef\">\n  <Id>24</Id>\n  <Name>称号19</Name>\n  <Note/>\n  <ActivateChecks>\n    <Obj Id=\"EquipCharTitleCheckDef\">\n      <CharTitle>19</CharTitle>\n    </Obj>\n  </ActivateChecks>\n</Obj>"
25	"<Obj Id=\"EquipRandPassiveSkillActivateSetDef\">\n  <Id>25</Id>\n  <Name>称号20</Name>\n  <Note/>\n  <ActivateChecks>\n    <Obj Id=\"EquipCharTitleCheckDef\">\n      <CharTitle>20</CharTitle>\n    </Obj>\n  </ActivateChecks>\n</Obj>"
26	"<Obj Id=\"EquipRandPassiveSkillActivateSetDef\">\n  <Id>26</Id>\n  <Name>称号21</Name>\n  <Note/>\n  <ActivateChecks>\n    <Obj Id=\"EquipCharTitleCheckDef\">\n      <CharTitle>21</CharTitle>\n    </Obj>\n  </ActivateChecks>\n</Obj>"
27	"<Obj Id=\"EquipRandPassiveSkillActivateSetDef\">\n  <Id>27</Id>\n  <Name>称号22</Name>\n  <Note/>\n  <ActivateChecks>\n    <Obj Id=\"EquipCharTitleCheckDef\">\n      <CharTitle>22</CharTitle>\n    </Obj>\n  </ActivateChecks>\n</Obj>"
