#TSV
#============Begin of sheet============
@Sheet=装备升级信息
ID	目标索引	装备ID	提升后物品id	强化等级下降	Rank等级下降	需求猎人星级	需求强化等级	需求装备物品等级	派生代币ID	派生代币抵扣金额	派生代币使用上限	需求金钱	需求素材ID1	所需数量1	需求素材ID2	所需数量2	需求素材ID3	所需数量3	需求素材ID4	所需数量4	需求素材ID5	所需数量5	需求素材ID6	所需数量6	类型素材1	类型素材点数1	类型素材2	类型素材点数2	类型素材3	类型素材点数3	类型素材4	类型素材点数4	类型素材5	类型素材点数5	类型素材6	类型素材点数6	素材代币ID1	素材代币个数1	素材代币点数1	素材代币ID2	素材代币个数2	素材代币点数2	素材代币ID3	素材代币个数3	素材代币点数3	素材代币ID4	素材代币个数4	素材代币点数4	素材代币ID5	素材代币个数5	素材代币点数5	素材代币ID6	素材代币个数6	素材代币点数6
50001	50001	80001	80002	0	0	0	0					2500	21421	15																																								
50002	50002	80002	80004	0	0	0	0					3500	21421	20																																								
50003	50003	80004	80005	0	0	0	0					5000	21421	40																																								
50004	50004	80005	80006	0	0	0	0					7000	21422	30																																								
50005	50005	80006	80007	0	0	0	0					9500	21422	35																																								
50006	50006	80007	80008	0	0	0	0					12500	21422	40																																								
50007	50007	80008	80009	0	0	0	0					16000	21422	70																																								
50008	50008	80009	80010	0	0	0	0					20000	21423	80																																								
50009	50009	80010	80011	0	0	0	0					24500	21423	85																																								
50010	50010	80011	80012	0	0	0	0					29500	21424	95																																								
50011	50011	80012	80013	0	0	0	0					35000	21425	100																																								
50012	50012	80013	80014	0	0	0	0					40500	21426	10																																								
50013	50013	80014	80015	0	0	0	0					46000	21426	15																																								
50014	50014	80015	80016	0	0	0	0					51500	21426	20																																								
50015	50015	80016	80017	0	0	0	0					57000	21426	25																																								
50016	50016	80017	80018	0	0	0	0					62500	21426	35																																								
50017	50017	80018	80019	0	0	0	0					68000	21426	50																																								
50018	50018	80019	80020	0	0	0	0					73500	21426	60																																								
50019	50019	80021	80022	0	0	0	0					2500	21421	15																																								
50020	50020	80022	80024	0	0	0	0					3500	21421	20																																								
50021	50021	80024	80025	0	0	0	0					5000	21421	40																																								
50022	50022	80025	80026	0	0	0	0					7000	21422	30																																								
50023	50023	80026	80027	0	0	0	0					9500	21422	35																																								
50024	50024	80027	80028	0	0	0	0					12500	21422	40																																								
50025	50025	80028	80029	0	0	0	0					16000	21422	70																																								
50026	50026	80029	80030	0	0	0	0					20000	21423	80																																								
50027	50027	80030	80031	0	0	0	0					24500	21423	85																																								
50028	50028	80031	80032	0	0	0	0					29500	21424	95																																								
50029	50029	80032	80033	0	0	0	0					35000	21425	100																																								
50030	50030	80033	80034	0	0	0	0					40500	21426	10																																								
50031	50031	80034	80035	0	0	0	0					46000	21426	15																																								
50032	50032	80035	80036	0	0	0	0					51500	21426	20																																								
50033	50033	80036	80037	0	0	0	0					57000	21426	25																																								
50034	50034	80037	80038	0	0	0	0					62500	21426	35																																								
50035	50035	80038	80039	0	0	0	0					68000	21426	50																																								
50036	50036	80039	80040	0	0	0	0					73500	21426	60																																								
50037	50037	80041	80042	0	0	0	0					2500	21421	15																																								
50038	50038	80042	80044	0	0	0	0					3500	21421	20																																								
50039	50039	80044	80045	0	0	0	0					5000	21421	40																																								
50040	50040	80045	80046	0	0	0	0					7000	21422	30																																								
50041	50041	80046	80047	0	0	0	0					9500	21422	35																																								
50042	50042	80047	80048	0	0	0	0					12500	21422	40																																								
50043	50043	80048	80049	0	0	0	0					16000	21422	70																																								
50044	50044	80049	80050	0	0	0	0					20000	21423	80																																								
50045	50045	80050	80051	0	0	0	0					24500	21423	85																																								
50046	50046	80051	80052	0	0	0	0					29500	21424	95																																								
50047	50047	80052	80053	0	0	0	0					35000	21425	100																																								
50048	50048	80053	80054	0	0	0	0					40500	21426	10																																								
50049	50049	80054	80055	0	0	0	0					46000	21426	15																																								
50050	50050	80055	80056	0	0	0	0					51500	21426	20																																								
50051	50051	80056	80057	0	0	0	0					57000	21426	25																																								
50052	50052	80057	80058	0	0	0	0					62500	21426	35																																								
50053	50053	80058	80059	0	0	0	0					68000	21426	50																																								
50054	50054	80059	80060	0	0	0	0					73500	21426	60																																								
50055	50055	80061	80062	0	0	0	0					2500	21421	15																																								
50056	50056	80062	80064	0	0	0	0					3500	21421	20																																								
50057	50057	80064	80065	0	0	0	0					5000	21421	40																																								
50058	50058	80065	80066	0	0	0	0					7000	21422	30																																								
50059	50059	80066	80067	0	0	0	0					9500	21422	35																																								
50060	50060	80067	80068	0	0	0	0					12500	21422	40																																								
50061	50061	80068	80069	0	0	0	0					16000	21422	70																																								
50062	50062	80069	80070	0	0	0	0					20000	21423	80																																								
50063	50063	80070	80071	0	0	0	0					24500	21423	85																																								
50064	50064	80071	80072	0	0	0	0					29500	21424	95																																								
50065	50065	80072	80073	0	0	0	0					35000	21425	100																																								
50066	50066	80073	80074	0	0	0	0					40500	21426	10																																								
50067	50067	80074	80075	0	0	0	0					46000	21426	15																																								
50068	50068	80075	80076	0	0	0	0					51500	21426	20																																								
50069	50069	80076	80077	0	0	0	0					57000	21426	25																																								
50070	50070	80077	80078	0	0	0	0					62500	21426	35																																								
50071	50071	80078	80079	0	0	0	0					68000	21426	50																																								
50072	50072	80079	80080	0	0	0	0					73500	21426	60																																								
50073	50073	80081	80082	0	0	0	0					2500	21421	15																																								
