#TSV
#============Begin of sheet============
@Sheet=开箱子
开包物品ID	开包物品名称	消耗材料	开包时间	道具添加模式	随机物品组Min	随机物品组Max	绑定类型	重复选择物品组	物品组ID	相对概率	随机物品次数Min	随机物品次数Max
1	测试用包裹	0	0		0	0	3	1	1	0	0	0
1	测试用包裹	0	0		0	0	3	1	2	0	0	0
1	测试用包裹	0	0		0	0	3	1	3	0	0	0
1	测试用包裹	0	0		0	0	3	1	4	0	0	0
3	2级通常弹包	0	0	1	0	0	3	0	170	0	0	0
4	1级散弹包	0	0	1	0	0	3	0	171	0	0	0
5	2级散弹包	0	0	1	0	0	3	0	172	0	0	0
6	1级彻甲榴弹包	0	0	1	0	0	3	0	173	0	0	0
7	2级彻甲榴弹包	0	0	1	0	0	3	0	174	0	0	0
8	1级贯通弹包	0	0	1	0	0	3	0	175	0	0	0
9	2级贯通弹包	0	0	1	0	0	3	0	176	0	0	0
10	子弹包	0	0		0	0	3	0	177	0	0	0
10	子弹包	0	0		0	0	3	0	178	0	0	0
10	子弹包	0	0		0	0	3	0	179	0	0	0
10	子弹包	0	0		0	0	3	0	180	0	0	0
10	子弹包	0	0		0	0	3	0	181	0	0	0
10	子弹包	0	0		0	0	3	0	182	0	0	0
10	子弹包	0	0		0	0	3	0	183	0	0	0
10	子弹包	0	0		0	0	3	0	184	0	0	0
10	子弹包	0	0		0	0	3	0	185	0	0	0
10	子弹包	0	0		0	0	3	0	186	0	0	0
11	子弹包2	0	0		0	0	3	0	187	0	0	0
11	子弹包2	0	0		0	0	3	0	188	0	0	0
11	子弹包2	0	0		0	0	3	0	189	0	0	0
20	艾露猫宝藏【毗】	0	1000		0	0	3	0	303	0	0	0
21	艾露猫宝藏【惠】	0	1000		0	0	3	0	304	0	0	0
22	艾露猫宝藏【禄】	0	1000		0	0	3	0	305	0	0	0
23	艾露猫宝藏【弁】	0	1000		0	0	3	0	306	0	0	0
24	飞艇关护石袋5	0	1000		0	0	3	0	307	0	0	0
25	飞艇关护石袋6	0	1000		0	0	3	0	308	0	0	0
26	飞艇关护石袋7	0	1000		0	0	3	0	309	0	0	0
27	飞艇关护石袋8	0	1000		0	0	3	0	310	0	0	0
28	飞艇关护石袋9	0	1000		0	0	3	0	311	0	0	0
29	飞艇关护石袋10	0	1000		0	0	3	0	312	0	0	0
101	矿石袋L25	0	1000		0	0	3	1	1059	0	0	0
102	矿石袋L35	0	1000		0	0	3	1	1060	0	0	0
103	矿石袋L45	0	1000		0	0	3	1	1061	0	0	0
104	矿石袋L55	0	1000		0	0	3	1	1062	0	0	0
105	珍虫袋L25	0	1000		0	0	3	1	1063	0	0	0
106	珍虫袋L35	0	1000		0	0	3	1	1064	0	0	0
107	珍虫袋L45	0	1000		0	0	3	1	1065	0	0	0
108	珍虫袋L55	0	1000		0	0	3	1	1066	0	0	0
109	药材袋L25	0	1000		0	0	3	1	1067	0	0	0
110	药材袋L35	0	1000		0	0	3	1	1068	0	0	0
111	药材袋L45	0	1000		0	0	3	1	1069	0	0	0
112	药材袋L55	0	1000		0	0	3	1	1070	0	0	0
113	玉石袋L25	0	1000		0	0	3	1	1071	0	0	0
114	玉石袋L35	0	1000		0	0	3	1	1072	0	0	0
115	玉石袋L45	0	1000		0	0	3	1	1073	0	0	0
116	玉石袋L55	0	1000		0	0	3	1	1074	0	0	0
267	娜西卡的祝福盒子	0	1000		0	0	3	0	5	0	0	0
300	测试第一把钥匙开2个结果	40018	1000		0	0	3	1	300	0	0	0
300	测试第一把钥匙开2个结果	40018	1000		0	0	3	1	5	0	0	0
300	测试第二把钥匙开2个结果	40019	1000		0	0	3	1	301	0	0	0
300	测试第二把钥匙开2个结果	40019	1000		0	0	3	1	302	0	0	0
300	测试第三把钥匙开1个结果	40020	1000		0	0	3	1	320	0	0	0
320	武器赋包	0	1000		0	0	3	0	320	0	0	0
321	晶化粉尘包	0	1000		0	0	2	0	321	0	0	0
390	初心包	0	1000		0	0	2	0	770	0	0	0
390	初心包	0	1000		0	0	2	0	771	0	0	0
391	勇气包	0	1000		0	0	2	0	772	0	0	0
391	勇气包	0	1000		0	0	2	0	773	0	0	0
392	不屈包	0	1000		0	0	2	0	774	0	0	0
392	不屈包	0	1000		0	0	2	0	775	0	0	0
392	不屈包	0	1000		0	0	2	0	776	0	0	0
393	刚毅包	0	1000		0	0	2	0	777	0	0	0
393	刚毅包	0	1000		0	0	2	0	778	0	0	0
393	刚毅包	0	1000		0	0	2	0	779	0	0	0
394	胜利包	0	1000		0	0	2	0	780	0	0	0
394	胜利包	0	1000		0	0	2	0	781	0	0	0
394	胜利包	0	1000		0	0	2	0	782	0	0	0
394	胜利包	0	1000		0	0	2	0	783	0	0	0
394	胜利包	0	1000		0	0	2	0	2191	0	0	0
406	未打开的证书	0	1000		0	0	3	0	115	0	0	0
438	新手武器包	0	1000		0	0	2	0	784	0	0	0
438	新手武器包	0	1000		0	0	2	0	785	0	0	0
438	新手武器包	0	1000		0	0	2	0	786	0	0	0
438	新手武器包	0	1000		0	0	2	0	787	0	0	0
438	新手武器包	0	1000		0	0	2	0	788	0	0	0
438	新手武器包	0	1000		0	0	2	0	789	0	0	0
438	新手武器包	0	1000		0	0	2	0	790	0	0	0
438	新手武器包	0	1000		0	0	2	0	791	0	0	0
438	新手武器包	0	1000		0	0	2	0	792	0	0	0
438	新手武器包	0	1000		0	0	2	0	793	0	0	0
501	初级攻击原珠	0	1000		0	0	3	0	6	0	0	0
502	中级攻击原珠	0	1000		0	0	3	0	7	0	0	0
503	初级防御原珠	0	1000		0	0	3	0	8	0	0	0
504	中级防御原珠	0	1000		0	0	3	0	9	0	0	0
505	初级见切原珠	0	1000		0	0	3	0	10	0	0	0
506	中级见切原珠	0	1000		0	0	3	0	11	0	0	0
507	初级速食原珠	0	1000		0	0	3	0	12	0	0	0
508	中级速食原珠	0	1000		0	0	3	0	13	0	0	0
509	初级明目原珠	0	1000		0	0	3	0	14	0	0	0
510	中级明目原珠	0	1000		0	0	3	0	15	0	0	0
511	初级剥取原珠	0	1000		0	0	3	0	16	0	0	0
512	中级剥取原珠	0	1000		0	0	3	0	17	0	0	0
513	初级观察原珠	0	1000		0	0	3	0	18	0	0	0
514	中级观察原珠	0	1000		0	0	3	0	19	0	0	0
515	初级体力原珠	0	1000		0	0	3	0	20	0	0	0
516	中级体力原珠	0	1000		0	0	3	0	21	0	0	0
517	初级恢复原珠	0	1000		0	0	3	0	22	0	0	0
518	中级恢复原珠	0	1000		0	0	3	0	23	0	0	0
519	初级属攻原珠	0	1000		0	0	3	0	24	0	0	0
520	中级属攻原珠	0	1000		0	0	3	0	25	0	0	0
521	初级耐麻原珠	0	1000		0	0	3	0	26	0	0	0
522	中级耐麻原珠	0	1000		0	0	3	0	27	0	0	0
523	初级注目原珠	0	1000		0	0	3	0	28	0	0	0
524	中级注目原珠	0	1000		0	0	3	0	29	0	0	0
525	初级加护原珠	0	1000		0	0	3	0	30	0	0	0
526	中级加护原珠	0	1000		0	0	3	0	31	0	0	0
527	初级抗性原珠	0	1000		0	0	3	0	32	0	0	0
528	中级抗性原珠	0	1000		0	0	3	0	33	0	0	0
529	初级破坏原珠	0	1000		0	0	3	0	34	0	0	0
530	中级破坏原珠	0	1000		0	0	3	0	35	0	0	0
531	初级底力原珠	0	1000		0	0	3	0	36	0	0	0
532	中级底力原珠	0	1000		0	0	3	0	37	0	0	0
533	初级气候原珠	0	1000		0	0	3	0	38	0	0	0
534	中级气候原珠	0	1000		0	0	3	0	39	0	0	0
535	初级斩铁原珠	0	1000		0	0	3	0	40	0	0	0
536	中级斩铁原珠	0	1000		0	0	3	0	41	0	0	0
537	初级团食原珠	0	1000		0	0	3	0	42	0	0	0
538	中级团食原珠	0	1000		0	0	3	0	43	0	0	0
539	初级弱点原珠	0	1000		0	0	3	0	44	0	0	0
540	中级弱点原珠	0	1000		0	0	3	0	45	0	0	0
541	初级增贯原珠	0	1000		0	0	3	0	46	0	0	0
542	中级增贯原珠	0	1000		0	0	3	0	47	0	0	0
543	初级饱食原珠	0	1000		0	0	3	0	48	0	0	0
544	中级饱食原珠	0	1000		0	0	3	0	49	0	0	0
545	初级体术原珠	0	1000		0	0	3	0	50	0	0	0
546	中级体术原珠	0	1000		0	0	3	0	51	0	0	0
547	初级增散原珠	0	1000		0	0	3	0	52	0	0	0
548	中级增散原珠	0	1000		0	0	3	0	53	0	0	0
