#TSV
#============Begin of sheet============
@Sheet=委托小组奖励
委托小组ID	奖励物品ID	奖励物品数量	每日奖励货币类型	每日奖励货币数量
100	24990	2	1	6
101	24990	3	1	7
102	24990	4	1	8
103	24990	5	1	9
104	24990	6	1	10
105	24990	7	1	11
106	24990	8	1	12
107	24990	9	1	13
108	24990	10	1	14
#============End of sheet============

#============Begin of sheet============
@Sheet=委托大组奖励
委托大组ID	奖励物品ID	奖励物品数量	消耗货币类型	消耗货币数量	是否需要解锁小组
1	1932	1	1	5	0
1	1933	1	1	10	0
1	1934	1	1	50	0
1	1935	1	1	100	0
#============End of sheet============

#============Begin of sheet============
@Sheet=狩猎包静态数据
狩猎包ID	狩猎包名称	是否保留时装	装备ID	物品ID	物品数量
1	临时1	0	60001		
2	临时2	0	60001		
3	临时3	0	60001		
4	临时4	0	60001		
5	临时5	0	60001		
6	临时6	0	60001		
7	临时7	0	60001		
8	临时8	0	60001		
9	临时9	0	60001		
10	临时10	0	60001		
11	临时11	0	60001		
12	临时12	0	60001		
13	临时13	0	60001		
14	临时14	0	60001		
15	临时15	0	60001		
16	临时16	0	60001		
17	临时17	0	60001		
18	临时18	0	60001		
19	临时19	0	60001		
20	临时20	0	60001		
21	临时21	0	60001		
22	临时22	0	60001		
23	临时23	0	60001		
24	临时24	0	60001		
25	临时25	0	60001		
26	临时26	0	60001		
27	临时27	0	60001		
28	临时28	0	60001		
29	临时29	0	60001		
30	临时30	0	60001		
31	临时31	0	60001		
32	临时32	0	60001		
33	临时33	0	60001		
34	临时34	0	60001		
35	临时35	0	60001		
36	临时36	0	60001		
37	临时37	0	60001		
38	临时38	0	60001		
39	临时39	0	60001		
40	临时40	0	60001		
41	临时41	0	60001		
42	临时42	0	60001		
43	临时43	0	60001		
44	临时44	0	60001		
45	临时45	0	60001		
46	临时46	0	60001		
47	临时47	0	60001		
48	临时48	0	60001		
49	临时49	0	60001		
50	临时50	0	60001		
51	临时51	0	60001		
52	临时52	0	60001		
53	临时53	0	60001		
54	临时54	0	60001		
55	临时55	0	60001		
56	临时56	0	60001		
57	临时57	0	60001		
101	求生道具包	0		419	10
101	求生道具包	0		1210	3
101	求生道具包	0		64	5
101	求生道具包	0		1231	1
