#TSV
#============Begin of sheet============
@Sheet=ResourceTypeInfo
ResourceType	ResourceName	MainType	MidType	SubType	DefaultSkillID	CollectPriority	IgnoreTool
0	其他	0	0	0	300100004	13	0
1	矿	1	3	1	300100002	1	0
2	草	0	0	0	300100004	2	0
3	虫	1	3	2	300100003	3	0
4	鱼	1	3	3	300100004	4	1
5	蘑菇	0	0	0	300100004	5	0
6	蜂蜜	0	0	0	300100004	6	0
7	石块	0	0	0	300100004	7	0
8	大便	0	0	0	300100004	8	0
9	遗迹	0	0	0	300100004	9	0
10	怪物尸体	0	0	0	300100001	0	0
11	怪物部位	0	0	0	300100001	-1	0
12	骨堆	0	0	0	300100004	12	0
13	捕鱼	0	0	0	0	14	0
14	怪物特殊掉落	0	0	0	300100004	-2	0
15	猫遗迹	0	0	0	300100004	15	0
16	蛋	0	0	0	300100004	16	0
17	网	0	0	0	300100004	17	0
18	其他	0	0	0	300100004	18	0
#============End of sheet============

#============Begin of sheet============
@Sheet=采集点特殊掉落

#============End of sheet============

#============Begin of sheet============
@Sheet=采集点素材表
ResourceID	MapID	LevelMin	LevelMax	DifMin	DifMax	ResType	RichType	SpecTool	ToolLevel	ToolDmgProb	IsShared	GatherMin	GatherMax	CatGatherMin	CatGatherMax	ItemID	RltvProp	ItemAmountMin	ItemAmountMax	DeleteWhenFull	BuffID	ViewArcheTypeName	LifeTime
987		1	200	1	3	18	1	0	1	0	0	99	99	0	0	47	100	1	1	0	0		0
988		1	200	1	3	1	1	0	1	100	0	10000	10000	1	1	0	100	1	1	0	0		0
989		1	200	1	3	9	1	0	1	0	0	3	3	1	1	6902	100	1	1	0	0		0
990		1	200	1	3	9	1	0	1	0	0	2	5	1	1	6901	100	1	1	0	0		0
991		56	200	1	3	9	1	0	1	0	0	2	5	1	1	0	100	1	1	0	61001		0
993		1	37	1	1	9	1	0	1	0	0	1	1	1	1	4619	100	1	1	0	0		0
994		1	37	1	1	9	1	0	1	0	0	2	2	1	1	4619	100	1	1	0	0		0
994		1	37	1	1	9	1	0	1	0	0	2	2	1	1	4620	50	1	1	0	0		0
995		1	37	1	1	9	1	0	1	0	0	3	3	1	1	4619	50	1	1	0	0		0
995		1	37	1	1	9	1	0	1	0	0	3	3	1	1	4620	100	1	1	0	0		0
995		1	37	1	1	9	1	0	1	0	0	3	3	1	1	4621	50	1	1	0	0		0
996		38	200	2	2	9	1	0	1	0	0	1	1	1	1	4622	100	1	1	0	0		0
997		38	200	2	2	9	1	0	1	0	0	2	2	1	1	4622	100	1	1	0	0		0
997		38	200	2	2	9	1	0	1	0	0	2	2	1	1	4623	50	1	1	0	0		0
998		38	200	2	2	9	1	0	1	0	0	3	3	1	1	4622	50	1	1	0	0		0
998		38	200	2	2	9	1	0	1	0	0	3	3	1	1	4623	100	1	1	0	0		0
998		38	200	2	2	9	1	0	1	0	0	3	3	1	1	4624	50	1	1	0	0		0
1000		1	200	1	3	18	1	0	1	0	1	1	2	0	0	4545	100	1	1	0	0		0
1001		1	200	1	3	18	1	0	1	0	1	2	3	0	0	62	100	1	1	0	0		0
1001		1	200	1	3	18	1	0	1	0	1	1	3	0	0	59	100	1	1	0	0		0
1001		1	200	1	3	18	1	0	1	0	1	1	3	0	0	64	100	1	1	0	0		0
1002		1	200	1	3	18	1	0	1	0	1	2	3	0	0	4540	100	1	1	0	0		0
1002		1	200	1	3	18	1	0	1	0	1	2	3	0	0	4541	100	1	1	0	0		0
1002		1	200	1	3	18	1	0	1	0	1	2	3	0	0	63	100	1	1	0	0		0
1002		1	200	1	3	18	1	0	1	0	1	2	3	0	0	62	100	1	1	0	0		0
1002		1	200	1	3	18	1	0	1	0	1	2	3	0	0	4543	100	1	1	0	0		0
1003		1	200	1	3	18	1	0	1	0	1	2	3	0	0	4544	100	1	1	0	0		0
1003		1	200	1	3	18	1	0	1	0	1	2	3	0	0	4541	100	1	1	0	0		0
1003		1	200	1	3	18	1	0	1	0	1	2	3	0	0	63	100	1	1	0	0		0
1003		1	200	1	3	18	1	0	1	0	1	2	3	0	0	62	100	1	1	0	0		0
1003		1	200	1	3	18	1	0	1	0	1	2	3	0	0	61	100	1	1	0	0		0
1004		1	200	1	3	18	1	0	1	0	1	1	2	0	0	62	100	1	1	0	0		0
1004		1	200	1	3	18	1	0	1	0	1	1	2	0	0	82	100	1	1	0	0		0
1005		1	200	1	3	18	1	0	1	15	1	1	1	0	0	62	20	1	1	0	0		0
1005		1	200	1	3	18	1	0	1	15	1	1	1	0	0	63	80	1	1	0	0		0
1006		1	200	1	3	18	1	0	1	15	1	1	1	0	0	4542	20	1	1	0	0		0
1006		1	200	1	3	18	1	0	1	15	1	1	1	0	0	4543	80	1	1	0	0		0
1007		1	200	1	3	18	1	0	1	0	1	1	2	0	0	59	20	1	1	0	0		0
1007		1	200	1	3	18	1	0	1	0	1	1	2	0	0	64	80	1	1	0	0		0
1008		1	200	1	3	18	1	0	1	0	1	1	1	0	0	1822	100	1	1	0	0		0
1009		1	200	1	3	18	1	0	1	0	1	4	4	0	0	407	30	1	1	0	0		0
1009		1	200	1	3	18	1	0	1	0	1	4	4	0	0	411	30	1	1	0	0		0
