#TSV
#============Begin of sheet============
@Sheet=VIP保底奖励策略
VIP奖励索引ID	道具ID	道具名称	道具数量	相对概率	对应关卡	绑定类型
1	15001	河狸兽的爪	1	100	河狸兽	3
1	15002	河狸兽的皮	1	100	河狸兽	3
1	15003	河狸兽的牙	1	100	河狸兽	3
2	15016	蓝速龙王的爪	1	100	蓝速龙王	3
2	15017	蓝速龙的鳞	1	100	蓝速龙王	3
2	15018	蓝速龙王的牙	1	100	蓝速龙王	3
3	15031	大野猪王的蹄	1	100	大野猪王	3
3	15032	大野猪的皮	1	100	大野猪王	3
3	15033	大野猪王的牙	1	100	大野猪王	3
4	15046	怪鸟的爪	1	100	大怪鸟	3
4	15047	怪鸟的鳞	1	100	大怪鸟	3
4	15048	怪鸟的背甲	1	100	大怪鸟	3
5	15064	黄速龙王的爪	1	100	黄速龙王	3
5	15065	黄速龙的鳞	1	100	黄速龙王	3
5	15066	黄速龙王的麻痹牙	1	100	黄速龙王	3
6	15082	鬼狩蛛的爪	1	100	鬼狩蛛	3
6	15083	鬼狩蛛的甲壳	1	100	鬼狩蛛	3
6	15084	鬼狩蛛的体液	1	100	鬼狩蛛	3
7	15118	沙狸兽的爪	1	100	沙狸兽	3
7	15119	沙狸兽之皮	1	100	沙狸兽	3
7	15120	沙狸兽的牙	1	100	沙狸兽	3
8	15100	毒怪鸟的翼	1	100	毒怪鸟	3
8	15101	毒怪鸟的皮	1	100	毒怪鸟	3
8	15102	毒怪鸟的嘴	1	100	毒怪鸟	3
9	15136	桃毛兽的毛	1	100	桃毛兽王	3
9	15137	桃毛兽王的皮	1	100	桃毛兽王	3
9	15138	桃毛兽王的牙	1	100	桃毛兽王	3
10	15154	火红的鬃毛	1	100	沙雷鸟	3
10	15155	沙雷鸟的皮	1	100	沙雷鸟	3
10	15156	沙雷鸟的翼	1	100	沙雷鸟	3
11	15172	沙龙王的皮	1	100	沙龙王	3
11	15173	沙龙的鳞	1	100	沙龙王	3
11	15174	沙龙王的牙	1	100	沙龙王	3
12	15190	盾蟹的爪	1	100	盾蟹	3
12	15191	盾蟹的甲壳	1	100	盾蟹	3
12	15192	盾蟹的脚	1	100	盾蟹	3
