#TSV
#============Begin of sheet============
@Sheet=LevelInfo
LevelID	BGType	MapID	LevelMode	LevelName	UIShowLevelTarget	ShowMonsterName	ShowMonsterID	UIDropList	DailyFirstUIDropList	UIWarningDropList	UIEntrustNpc	LevelDesc	Difficulty	LevelLv	MonsterLv	IsStarHunt	关联活动ID	解锁类型	基本解锁条件类别	基本解锁条件参数	额外解锁条件1类别	额外解锁条件1参数1	额外解锁条件1参数2	额外解锁条件2类别	额外解锁条件2参数1	额外解锁条件2参数2	需求等级类别	需求等级参数	消耗狩猎券	支付契约金	额外需求条件类别	需求条件参数1	需求条件参数2	允许匹配的武器等级	允许匹配的防具等级总和	HunterBox	MonsterOverView	FinishCountDown	InitScore	BossID	WeatherID	QuestMode	逻辑关卡组ID	逻辑关卡组Name	monsterlevel_rule	BOSS_match	BOSS_攻击系数	BOSS_属性攻击系数	BOSS_HP系数	BOSS_等级浮动	小怪_match	小怪_攻击系数	小怪_属性攻击系数	小怪_HP系数	小怪_等级浮动	BOSS多人因子开关	小怪多人因子开关	BossPBMul	BossLBMul	BossFDMul	BossPoisonMul	BossParalysisMul	BossSleepMul	BossDynamiteMul	BossStunMul	BossPoisonOpen	BossParalysisOpen	BossSleepOpen	BossDynamiteisOpen	BossStunOpen	OffcerLv	OffcierHR	WarningGroupID	EnableLemonSystem	EnableSoulStone	DisableCatFood	BigRandLvMin	BigRandLvMax	BigRandWeaponLvMin	BigRandWeaponLvMax	BigRandArmorLvMin	BigRandArmorLvMax	WeaponLimit	狩猎包开关	解锁等级	需求玩家等级
100151	1	1001	3	尾巴修整术	帮助河狸兽修整尾巴喵！	未知领域	69999	21454			河狸兽观察专员	经过我的仔细调查，温顺的河狸兽之所以会攻击人类，就是因为他们的尾巴上被寄生虫寄生了，痛苦不堪所导致的！所以我特地研制了专门去除寄生虫的小刀，寄生虫喜欢聚集在河狸兽的尾巴根部，所以一定要攻击那个部位。	1	12	12			1	需求人物等级	40							需求人物等级	40								601		10	0	69999	101	3			0	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1											22	0		0	0											
100152	1	1001	3	蓝速龙无双（删除）	蓝速龙大泛滥喵！统统消灭喵！	未知领域	69999				晓风山谷保育员	经过调查，这一季蓝速龙幼崽的出生率非常高。好事？不是不是。这样会威胁到别的生物的繁育，香菇猪宝宝尤其危险。虽然这个请求有点残酷，但还是要拜托猎人们去控制下蓝速龙幼崽的数量。毕竟是为了大自然的平衡。	1	12	12												需求人物等级	9999										10	0	60020	101	3			1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1											22	0		0	0											
100153	1	1001	3	王对王！	蓝速龙王之王出现了喵！用连续攻击来打败喵！	未知领域	69999	21454			怪物格斗学专家	在任何生物当中，总会有超越一般个体的存在。比如在人类中的猎人，而在蓝速龙王中也有这样的存在，那就是蓝速龙王之王。为了能够对抗它，我来教授你格斗的技巧，那就是通过不断连续的攻击来获得胜利！不要给对手有喘息的机会！	1	17	17			1	需求人物等级	40							需求人物等级	40								701		10	0	60020	101	3			0	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1											27	0		0	0											
100154	1	1001	3	肚子痛的狩猎	忍着肚子的疼痛去狩猎喵！	未知领域	69999	21454			食舫斋老板	昨天的晚饭猎人们吃得满意不满意呀。肯定很满意很好吃吧。谢就不用谢啦，只是有个小小的请求呀。最近晓风山谷有点不太平，获取肉类变得困难了诶呀呀。请猎人们去巡逻一下呀。下回有好吃的不会忘记猎人们的呀。	1	12	12			1	需求人物等级	40							需求人物等级	40								701		10	0	69999	101	3			0	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1											22	0		0	0											
100155	1	1001	3	中级炸弹术	一起来测试新的炸弹喵！轰！轰！轰！	未知领域	69999	21454			狩猎道具贸易协会	上次给的道具可否满意呀？这次再来尝试其他的东西吧！威力强大的十字爆桶与可以限制怪物移动的麻痹爆桶是天生的绝配。赶紧拿上他们去体验炸弹猎人的爽快吧。要是觉得用得好，记得来我们协会购买哦。	1	17	17			1	需求人物等级	40							需求人物等级	40								601		10	0	69999	101	3			0	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1											27	0		0	0											
100156	1	1001	3	你有石头我有球！（删除）	与小河狸兽们一起玩球喵！	未知领域	69999				河狸兽研究学士	经过我多年的研究，河狸兽在对抗敌人时会投掷石头。但我非常怀疑河狸兽投掷石头的准确度。为了进行测试，我特地找艾露炼金学会买了一些远程的道具，猎人们这次就用这些道具和河狸兽战斗吧。宝贵的测试数据就拜托猎人们啦。	1	17	17												需求人物等级	9999								601		10	0	60210	101	3			0	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1											27	0		0	0											
100157	1	1001	3	猫车优惠日（删除）	猫车大优惠喵！不怕牺牲消灭河狸兽喵！	未知领域	69999				艾露救助协会	每次猎人体力不支的时候，都是我们辛辛苦苦地用猫车把猎人从危险的境地送回营地的喵！收取了很多的报酬喵！这次出现了厉害的河狸兽了喵！为了回馈广大的猎人，这次的猫车就不收取报酬了喵！猎人可以无限使用我们的服务喵！不要客气喵！	1	17	17												需求人物等级	9999										10	0	60210	101	3			1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1											27	0		0	0											
100158	1	1001	8	[林地的特产][不上]	帮忙收集好吃的鸡腿菇喵！	未知领域	69999				喜欢蘑菇的蘑菇娘	村子的蘑菇短缺了，尤其是鸡腿菇。你说为什么？因为我不愿意去采呀。你也知道，我最近心情不是很好，觉得采蘑菇好无聊，烧蘑菇很无聊。所以我得拜托猎人去替我采蘑菇，不能老是我一个人无聊嘛。	1	7	7												需求人物等级	9999										10	0	60210	101	8			0	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1											17	0		0												
100159	1	1001	3	树柚采集行动（删除）	保护采集树柚的猫猫们喵！	未知领域	69999				稀有食材探索委员会	让人们吃到稀有的物品是我们委员会的职责！这次的目标是河狸兽爱吃的树柚！那么好吃的东西决不能让河狸兽独吞啦！这次我们就要去采集这些树柚。虽然河狸兽被打跑了，但是还是会有很多被香味吸引来的动物，就麻烦猎人来当保镖啦！	1	17	17												需求人物等级	9999										10	0	60210	101	3			1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1											27	0		0	0											
100160	1	1001	8	[侦探猎人首次行动][不上]	受伤的蓝速龙王藏起来了喵！猎人要当侦探喵！	未知领域	69999				名侦探古六郎	又有神秘案件发生了! 连环杀香菇猪的杀手又出现了!这次我有线索，经过我慎密的推理,真相已经很明显了!为了不走漏风声，线索已经放在了补给箱中啦。猎人们快快行动，将真凶绳之以法吧!	1	12	12												需求人物等级	9999										10	0	60210	101	8			1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1											22	0		0												
