#TSV
#============Begin of sheet============
@Sheet=LevelInfo
LevelID	BGType	MapID	LevelMode	LevelName	UIShowLevelTarget	ShowMonsterName	ShowMonsterID	UIDropList	DailyFirstUIDropList	UIWarningDropList	UIEntrustNpc	LevelDesc	Difficulty	LevelLv	MonsterLv	IsStarHunt	关联活动ID	解锁类型	基本解锁条件类别	基本解锁条件参数	额外解锁条件1类别	额外解锁条件1参数1	额外解锁条件1参数2	额外解锁条件2类别	额外解锁条件2参数1	额外解锁条件2参数2	需求等级类别	需求等级参数	消耗狩猎券	支付契约金	额外需求条件类别	需求条件参数1	需求条件参数2	允许匹配的武器等级	允许匹配的防具等级总和	HunterBox	MonsterOverView	FinishCountDown	InitScore	BossID	WeatherID	QuestMode	逻辑关卡组ID	逻辑关卡组Name	monsterlevel_rule	BOSS_match	BOSS_攻击系数	BOSS_属性攻击系数	BOSS_HP系数	BOSS_等级浮动	小怪_match	小怪_攻击系数	小怪_属性攻击系数	小怪_HP系数	小怪_等级浮动	BOSS多人因子开关	小怪多人因子开关	BossPBMul	BossLBMul	BossFDMul	BossPoisonMul	BossParalysisMul	BossSleepMul	BossDynamiteMul	BossStunMul	BossPoisonOpen	BossParalysisOpen	BossSleepOpen	BossDynamiteisOpen	BossStunOpen	OffcerLv	OffcierHR	WarningGroupID	EnableLemonSystem	DisableCatFood	EnableSoulStone	BigRandLvMin	BigRandLvMax	BigRandWeaponLvMin	BigRandWeaponLvMax	BigRandArmorLvMin	BigRandArmorLvMax	WeaponLimit	狩猎包开关	解锁等级	需求玩家等级
200101	1	1001	10	始动！急速讨伐！		河狸兽	60010						2	5	5												需求人物等级	9999										60		60010	101	10			1	1	1	1	1	0	1	1	1	1	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	15	0					15	35	15	35	25	175				
200102	1	1001	10	头部破坏达成！		河狸兽	60010						2	5	5												需求人物等级	9999										60		60010	101	10			1	1	1	1	0.5	0	1	1	1	1	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	15	0					15	35	15	35	25	175				
200103	1	1001	10	蓝色劫匪		蓝速龙王	60020						2	5	5												需求人物等级	9999										60		60020	101	10			1	1	1	1	0.5	0	1	1	1	1	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	15	0					15	35	15	35	25	175				
200104	1	1001	10	窘境！猛兽的围攻		未知领域	69999						2	5	5												需求人物等级	9999										60		60010;60020	101	10			1	1	1	1	1	0	1	1	1	1	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	15	0					15	35	15	35	25	175				
200105	1	1002	10	野猪王的猛攻		大野猪王	60030						2	5	5												需求人物等级	9999										60		60030	201	10			1	1	1	1	1	0	1	1	1	1	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	15	0					15	35	15	35	25	175				
200106	1	1401	10	至高境界！		竞技场	0						2	5	5												需求人物等级	9999										60		60010	0	10			1	1	1	1	1	0	1	1	1	1	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	15	0					15	35	15	35	25	175				
200107	1	1401	10	敏捷考验		竞技场	0						2	5	5												需求人物等级	9999										60		60030	0	10			1	1	1	1	1	0	1	1	1	1	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	15	0					15	35	15	35	25	175				
200108	1	1401	10	难以抗拒的挑战		竞技场	0						2	5	5												需求人物等级	9999										60		60020	0	10			1	1	1	1	1	0	1	1	1	1	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	15	0					15	35	15	35	25	175				
200109	1	1401	10	窘境！猛兽的围攻		竞技场	0						2	5	5												需求人物等级	9999										60		60010;60020	0	10			1	1	1	1	0.35	0	1	1	1	1	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	15	0					15	35	15	35	25	175				
200110	1	1401	10	成为猎人的条件		竞技场	0						2	5	5												需求人物等级	9999										60		60020;60030	0	10			1	1	1	1	0.5	0	1	1	1	1	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	15	0					15	35	15	35	25	175				
