#TSV
#============Begin of sheet============
@Sheet=商城版本号
索引	当前版本号
1	13
#============End of sheet============

#============Begin of sheet============
@Sheet=打折卡
物品ID	折扣	折扣额度上限	商品范围
24959	90	50000	
24957	80	50000	
40273	70	50000	
40274	50	50000	
40275	10	50000	
40578	10	70000	
40579	20	70000	
40580	30	70000	
40581	40	70000	
40582	50	70000	
40583	60	70000	
40584	70	70000	
40585	80	70000	
40586	90	70000	
40605	10	100000	
40637	80	50000	
#============End of sheet============

#============Begin of sheet============
@Sheet=打折卡测试数据
物品ID	折扣	折扣额度上限	商品范围
2	95		
#============End of sheet============

#============Begin of sheet============
@Sheet=点券商城
索引ID	组ID	是否显示	图标ICON	女性图标ICON	结算类型	商品名称	物品ID	贩卖数量	类型	子类型	推荐区	销售标志	价格	优惠价格	会员价格	蓝钻会员价格	免费	会员免费	打折卡是否有效	是否可赠送/索取	是否购买自动使用	开始贩售时间	结束贩售时间	购买上限	限制周期	是否取消上架	功能名称	功能参数	BtlSvr不可购买	VIP等级限制	QQ会员限制	人物等级限制	增加VIP经验	排序参数	微信支付信息	是否是VIP物品	模型类型	模型信息	模型动作	性别限制
1		1	mart_catticket_bigger		猎币	猫车票	40099	1	功能	恢复			300		280	280			1	1														1019						0
2		1	mart_catticket_bigger		猎币	猫车票（10个）	40099	10	功能	恢复			2800		2680	2680			1	1														1020						0
3		1	mart_vip		点券	VIP会员卡（30天）	40083	1	功能	辅助			1680		1680	1680				1									1					989		1				0
4		1	mart_vip		点券	VIP会员卡（90天）	40084	1	功能	辅助			4680		4680	4680				1									1					990		1				0
5		1	mart_vip		点券	VIP会员卡（360天）	40085	1	功能	辅助			16800		16800	16800				1									1					991		1				0
6		1	mart_vip2		猎币	成长助力（365天）	40088	1	功能	辅助																1										1				0
7		1	mart_vip3		猎币	收益帮手	40091	1	功能	辅助																1										1				0
8		1	mart_vip3		猎币	收益帮手（365天）	40092	1	功能	辅助																1										1				0
9		1	mart_pet_ticket_bigger		猎币	艾露猫增员券	40105	1	功能	扩展														2	永久	1														0
10		1	mart_vip_gift_bigger_1		猎币	会员每日礼包	40110	1	功能	扩展														1	每日	1														0
11		1	mart_storehouse_ticket_bigger		猎币	收纳之书（10个）	40100	10	功能	辅助			980		900	900				1														1024						0
12		1	mart_horn_bigger_01		猎币	传声筒	40062	1	功能	辅助			100		95	95			1	1																				0
13		1	mart_horn_bigger_01		猎币	传声筒（10个）	40062	10	功能	辅助			950		900	900			1	1																				0
14		1	mart_horn_bigger_02		猎币	世界传声筒	40063	1	功能	辅助			200		190	190			1	1																				0
15		1	mart_horn_bigger_02		猎币	世界传声筒（10个）	40063	10	功能	辅助			1900		1800	1800			1	1																				0
16		1	mart_firework1_bigger_small		猎币	花火·雉	40071	1	功能	辅助			300		280	280			1	1						1														0
17		1	mart_firework1_bigger_middle		猎币	花火·凰	40072	1	功能	辅助			500		460	460			1	1						1														0
18		1	mart_firework1_bigger_big		猎币	节日礼花3	40073	1	功能	其他			1000		950	950										1														0
19		1	mart_medcine_orange_bigger		猎币	特效强走药	40040	1	功能	增益			200		190	190										1														0
20		1	mart_whetstone_bigger_2		猎币	宗师砥石	40052	1	功能	增益			250		240	240			1	1														1025						0
21		1	mart_medcine_extra_bigger		猎币	回复药GG LV1	40054	20	功能	恢复			4980		4731	4731										1														0
22		1	mart_meat_bigger		猎币	特级烤肉	40057	1	功能	恢复			150		140	140			1	1														1027						0
23		1	mart_medcine_white_bigger		猎币	古龙精华	40043	1	功能	恢复			300		280	280			1	1														1021						0
24		1	prop_jewel_bigger_03		猎币	武器玉	24960	1	功能	其他			2490		2366	2366										1														0
25		1	mat_jade_bigger_04		猎币	突破玉	24990	1	功能	其他			4980		4731	4731										1														0
26		1	prop_bill_bigger_01		猎币	梅杰波尔坦硬币	21176	1	消耗品	其他			12450		11828	11828										1														0
27		1	mart_cat_scroll_bigger_1		猎币	艾露的传承卷轴	40115	1	消耗品	其他			14940		14193	14193										1														0
28		1	mart_cat_toy_bigger		猎币	逗猫棒	40120	1	消耗品	其他			2490		2366	2366										1														0
29		1	mart_cat_scroll_bigger_1		猎币	随行猫表扬券	40125	1	功能	辅助			498		474	474										1														0
30		1	mart_name_ticket_bigger		猎币	随行猫改名卡	40004	1	功能	辅助			1000		950	950			1	1																				0
31	1	1	ma001_01		点券	浪人·喧哗（头部）	762110	1	人物服饰	头部			480		460	460										1														0
32	1	1	ma001_01		点券	浪人·喧哗（头部）	762111	1	人物服饰	头部			1180		1160	1160										1														0
33	1	0	ma001_01		点券	浪人·喧哗（头部）	762112	1	人物服饰	头部			3960		3860	3860										1														0
34	1	0	ma001_01		点券	浪人·喧哗（头部）	762113	1	人物服饰	头部			3960		3860	3860										1														0
35	2	1	ma001_03		点券	浪人·喧哗（腕部）	762120	1	人物服饰	腕部			280		260	260										1														0
36	2	1	ma001_03		点券	浪人·喧哗（腕部）	762121	1	人物服饰	腕部			680		660	660										1														0
37	2	0	ma001_03		点券	浪人·喧哗（腕部）	762122	1	人物服饰	腕部			2360		2260	2260										1														0
38	2	0	ma001_03		点券	浪人·喧哗（腕部）	762123	1	人物服饰	腕部			2360		2260	2260										1														0
39	3	1	ma001_02		点券	浪人·喧哗（胸部）	762130	1	人物服饰	胸部			480		460	460										1														0
40	3	1	ma001_02		点券	浪人·喧哗（胸部）	762131	1	人物服饰	胸部			1180		1160	1160										1														0
41	3	0	ma001_02		点券	浪人·喧哗（胸部）	762132	1	人物服饰	胸部			3960		3860	3860										1														0
