#TSV
#============Begin of sheet============
@Sheet=特殊素材限制
数据Index	道具ID	使用途径限制
1	21471	111
#============End of sheet============

#============Begin of sheet============
@Sheet=素材类型
ID	名称	图标
1	杂物	mat_class_01
2	虫	mat_class_01
3	骨	mat_class_01
4	矿	mat_class_01
5	怪物素材	mat_class_01
6	高阶怪物素材	mat_class_02
7	采集素材	mat_class_03
51	牙兽种素材	mat_sort_01
52	鸟龙种素材	mat_sort_02
53	甲壳种素材	mat_sort_03
54	鱼龙种素材	mat_sort_04
55	飞龙种素材	mat_sort_05
56	古龙种素材	mat_sort_06
57	甲虫种素材	mat_sort_07
58	牙龙种素材	mat_sort_08
59	兽龙种素材	mat_sort_09
60	？？？	mat_sort_05
101	河狸兽素材	60010
102	蓝速龙王素材	60020
103	大野猪王素材	60030
104	大怪鸟素材	60040
105	黄速龙王素材	60060
106	鬼狩蛛素材	60050
107	沙狸兽素材	60011
108	毒怪鸟素材	60070
109	桃毛兽王素材	60080
110	沙雷鸟素材	60090
111	沙龙王素材	60110
112	大名盾蟹素材	60100
113	青怪鸟素材	60041
114	电龙素材	60120
115	岩龙素材	60230
116	眠鸟素材	60140
117	金毛兽王素材	60081
118	骇狩蛛素材	60051
119	紫毒鸟素材	60071
120	将军镰蟹素材	60150
121	雪狮子王素材	60170
122	星龙素材	60130
123	红速龙王素材	60022
124	剑豪镰蟹素材	60152
125	冰雷鸟素材	60091
126	尾晶蝎素材	60260
127	银眠鸟素材	60141
128	黑狼鸟素材	60190
129	晶岩龙素材	60232
130	战鬼河狸兽素材	60012
131	白速龙王素材	60024
132	红电龙素材	60121
133	一角龙素材	60200
134	祸星龙素材	60131
135	雌火龙素材	60210
136	独耳黑狼鸟素材	60191
137	断刃一角龙素材	60202
138	烈焰雌火龙素材	60218
139	吞渊龙素材	60180
140	砦蟹素材	60220
141	砦蟹独行种素材	60221
142	剑极狼素材	60480
143	电甲虫素材	60490
144	雄火龙素材	60250
145	轰龙素材	60280
146	樱火龙素材	60211
147	苍火龙素材	60251
148	角龙素材	60300
149	水龙素材	60160
150	砂岩龙素材	60231
151	铠龙素材	60390
152	金眠鸟素材	60143
153	灰晶蝎素材	60261
154	钢龙素材	60310
155	荒厄龙素材	60240
156	炎狮子素材	60171
157	白一角龙素材	60201
158	熔岩龙素材	60290
159	霞龙素材	60330
160	金狮子素材	60420
161	剑刹狼素材	60481
162	燎渊龙素材	60181
163	御五相素材	60240
164	锈钢龙素材	60311
165	葵盾蟹素材	60102
166	浮岳龙素材	60370
167	雷狼龙素材	60870
168	武镰蟹素材	60151
169	灭星龙素材	60134
170	冰牙龙素材	60900
171	恐暴龙素材	60880
172	麒麟素材	60350
173	老山龙素材	60410
174	绯甲虫素材	60491
175	吞龙素材	60270
176	金火龙素材	60212
177	迅龙素材	60920
178	爆锤龙素材	60910
179	舞雷龙素材	60440
180	黑铠龙素材	60391
181	炎轰龙素材	60281
182	狞龙素材	60630
183	银火龙素材	60252
184	黑角龙素材	60301
185	霸龙素材	60450
186	传奇技能珠素材	prop_lk
187	蛮龙素材	60620
188	劫龙素材	60470
189	碎龙素材	60890
190	冥雷龙素材	60441
191	冰狐龙素材	60580
192	炎王龙素材	60400
193	炎妃龙素材	60380
194	激昂金狮子素材	60421
195	响狼	60340
196	冰狞龙	60631
197	狱狼龙	60871
198	奇烈结晶	prop_lk
199	棘龙	60360
200	倾雷鸟	60710
201	棘茶龙	60361
202	黑穿龙	60800
203	多壳蟹	60670
204	黄金大野猪	60033
205	岚龙	60930
#============End of sheet============

