#TSV
#============Begin of sheet============
@Sheet=messagebox
提示ID	提示内容	提示框类型	模态类型	标题栏内容	按钮1内容	按钮2内容	按钮3内容	关闭此UI默认执行的按钮功能	倒计时时间	参数1	文字颜色	分组	特殊确认功能
8000	确认要摧毁此装备吗？	2		提示	确定	取消		2	15		1	0	
8001	请输入购买数量	3	1	提示	确定	取消		2	0	max	1	0	
8002	是否接受交易	2		提示	同意	拒绝		2	15		1	0	
8003	您的武器已强化成功	1		提示	确定			1	0		1	0	
8004	{人物名称}申请加入您的队伍！	2		提示	同意	拒绝		2	15		1	1	
8005	请输入要获取的数量：	3	1	提示	确定	取消		2	0	max	1	0	
8006	请输入数量：	3	1	提示	确定	取消		2	0	1	1	0	
8007	请确认需要丢弃的物品数量：	3	1	提示	确定	取消		2	0	max	1	0	
8008	是否放弃任务？	2		提示	确定	取消		2	0		1	4	
8009	{人物名称}邀请您加入队伍！	2		提示	同意	拒绝		2	15		1	3	
8010	{人物名称}邀请您进行交易！	2		提示	同意	拒绝		2	15		1	3	
8011	您将出售的物品稀有等级较高，是否继续？	2	1	提示	确定	取消		2	15		1	0	
8012	请输入需要出售的数量：	3	1	提示	确定	取消		2	15		1	0	
8013	是否要离开游戏并同时离开队伍及所在狩猎场？离开后您将无法返回。	2		提示	确定	取消		2	10		1	0	
8014	是否进行Rank提升？	2	1	提示	确定	取消		2					
8015	"<TEXTFORMAT LEADING=\"2\"><P ALIGN=\"LEFT\"><FONT FACE=\"Arial\" SIZE=\"12\" COLOR=\"\#000000\" LETTERSPACING=\"0\" KERNING=\"0\">您的身份信息不完整，将会自动受到防沉迷系统监督，若希望消除该系统的影响，请您登陆：<A HREF=\"http://fcm.qq.com/\" TARGET=\"_blank\">http://fcm.qq.com/</A>补充填写完整，防沉迷系统对年满18周岁以上玩家无限制。</FONT></P></TEXTFORMAT>"	8		提示	确定			1	30				
8016	您累计在线时间已满1小时	8		提示	确定			1	30				
8017	您累计在线时间已满2小时	8		提示	确定			1	30				
8018	"<TEXTFORMAT LEADING=\"2\"><P ALIGN=\"LEFT\"><FONT FACE=\"Arial\" SIZE=\"12\" COLOR=\"\#000000\" LETTERSPACING=\"0\" KERNING=\"0\">您已进入<FONT COLOR=\"\#FF0000\">疲劳游戏时间</FONT>，为了您的健康，请您立即下线休息，如不下线，您的身体将受到<FONT COLOR=\"\#FF0000\">损害</FONT>，您的收益将<FONT COLOR=\"\#FF0000\">减半</FONT>，直到您的累计下线时间满5小时后，才能恢复正常。</FONT></P></TEXTFORMAT>"	8		提示	确定			1	30				
8019	"<TEXTFORMAT LEADING=\"2\"><P ALIGN=\"LEFT\"><FONT FACE=\"Arial\" SIZE=\"12\" COLOR=\"\#000000\" LETTERSPACING=\"0\" KERNING=\"0\">您已进入不健康游戏时间，您的身体将受到<FONT COLOR=\"\#FF0000\">损害</FONT>，您的收益将<FONT COLOR=\"\#FF0000\">降为0</FONT>，您也将无法进行游戏行为，为了您的健康，请您立即下线休息。直到您的累计下线时间满5小时后，才能恢复正常。</FONT></P></TEXTFORMAT>"	8		提示	确定			1	30				
8020	暂未开放，敬请期待！	1		提示	确定			1	0				
8021	获取角色列表错误({数值})!	1		提示	确定			1	0				
8022	无效的WorldServer!	1		提示	确定			1	0				
8023	无效的WorldServer!	1		提示	确定			1	0				
8024	null	1		提示	确定			1	0				
8025	已一个进程已经在运行，是否要启动另一个？	2		提示	确定	取消		2	0				
8026	载入GameDLL失败！	1		提示	确定			1	0				
8027	GameDLL无效！	1		提示	确定			1	0				
8028	创建GameStartup Interface失败！	1		提示	确定			1	0				
