#TSV
#============Begin of sheet============
@Sheet=系统提示
提示ID	提示内容	提示位置1	信息颜色1	提示位置2	信息颜色2	提示位置3	信息颜色3	提示位置4	信息颜色4	提示位置5	信息颜色5	对应icon
7500	Use ballista to attack Shakalaka,don't let them run away!	3	10	1	1							
7501	Bullet supply has been refreshed!	3	10	1	1							
7502	Supply has been refreshed!	3	10	1	1							
7503	Shakalaka's attack is more violent,get more bullet!	3	10	1	1							
7504	The airship is under attack!	3	10	1	1							
7505	The airship is surrounded by Shakalaka!	3	10	1	1							
7506	Go to the shore and defeat Shakalaka!Don't forget to collect their treasure!	3	10	1	1							
7507	Airship parts obtained:	3	10	1	1							
7508	Airship damage rate	3	10	1	1							
7509	Beware of the Blue Kut-ku!	3	10	1	1							
7510	If you don't take out Velocipreys, dears will all die!	3	10	1	1							
7511	Congrats on taking out Velocipreys!But it's just a temporary peace.	3	10	1	1							
7512	Thank you so much, dears are best friends of Shakalaka!	3	10	1	1							
7514	So scared, I saw something weird in this,can you follow me in?	3	10	1	1							
7550	Airship ready to go!	3	10	1	1							
7551	Airship prepared to go,use the actuating lever!	3	10	1	1							
7552	Airship grenades supply ready!	11	1	1	1							
7553	Invade Number	3	10									
7600	Caution!Caution!Unstable somewhere!	3	10	1	1							
7601	The first target monster appeared!	3	10	1	1							
7602	The second target monster appeared!	3	10	1	1							
7603	The third target monster appeared!	3	10	1	1							
7604	The forth target monster appeared!	3	10	1	1							
7605	We can throw it out by using Shakalakas' cannon,careful not to drop it on the ground!	3	10	1	1							
7606	Airship burst bullet supply ready!	11	1	1	1							
7607	Find Leo in Area 5	1	1									
7608	Gather Yelling Bones in Area 7	1	1									
7609	Gather Dark Stones in Area 7	1	1									
7610	Give in Yelling Bones	1	1									
7611	Give in Dark Stones	1	1									
7612	Go to Area 7 and help Leo gather mats	1	1									
7613	Obtain felyne treasure on the island	1	1									
7614	Portect treasure-digging Felyne	1	1									
7615	Rescue Felyne from Shakalaka	1	1									
7616	Use reindeer ball to herd reindeer into the circle	1	1									
7617	Defeat Blue Kut-ku and Shakalakas	1	1									
7618	Use airship ballista to clear the roadblock	1	1									
7619	Defeat all Shakalakas	1	1									
7620	Get any supply	1	1									
7621	Defeat Blue Kut-ku and Shakalakas	1	1									
7622	Airship starboard ballista upgraded!	1	1									
7623	Airship larboard ballista upgraded!	1	1									
7624	Start the airship,return with your treasure	1	1									
7629	Give in Delicious Grass	1	1									
7630	Give in Delicious Mushroom	1	1									
7631	Hunt Genprey in Area 7	1	1									
7632	Hunt Genprey in Area 6	1	1									
7633	Break the rock	1	1									
7634	Go to Area 5 and gather Delicious Grass	1	1									
7635	Gather Delicious Mushroom in Area 5	1	1									
7636	Defeat Blangonga	1	1									
7637	Go to Area 8	1	1									
7638	Protect Lily til she complete her training	1	1									
7639	Go to Area 1 and gather Sour Fruit	1	1									
7640	Gather 5 Sour Fruit	1	1									
7641	Give in it	1	1									
