#TSV
#============Begin of sheet============
@Sheet=DynamiteDamage
等级	关卡模式	难度	人对怪爆破伤系数	怪对人爆破伤系数
1	1	1	2.2275	1
1	1	2	2.2275	1
1	1	3	2.2275	1
2	1	1	2.2275	1
2	1	2	2.2275	1
2	1	3	2.2275	1
3	1	1	2.2275	1
3	1	2	2.2275	1
3	1	3	2.2275	1
4	1	1	2.2275	1
4	1	2	2.2275	1
4	1	3	2.2275	1
5	1	1	2.75785714285714	1
5	1	2	2.75785714285714	1
5	1	3	2.75785714285714	1
6	1	1	2.86392857142857	1
6	1	2	2.86392857142857	1
6	1	3	2.86392857142857	1
7	1	1	2.97	1
7	1	2	2.97	1
7	1	3	2.97	1
8	1	1	3.07607142857143	1
8	1	2	3.07607142857143	1
8	1	3	3.07607142857143	1
9	1	1	3.18214285714286	1
9	1	2	3.18214285714286	1
9	1	3	3.18214285714286	1
10	1	1	3.34125	1
10	1	2	3.34125	1
10	1	3	3.34125	1
11	1	1	3.50035714285714	1
11	1	2	3.50035714285714	1
11	1	3	3.50035714285714	1
12	1	1	3.65946428571429	1
12	1	2	3.65946428571429	1
12	1	3	3.65946428571429	1
13	1	1	3.81857142857143	1
13	1	2	3.81857142857143	1
13	1	3	3.81857142857143	1
14	1	1	3.97767857142857	1
14	1	2	3.97767857142857	1
14	1	3	3.97767857142857	1
15	1	1	4.08375	1
15	1	2	4.08375	1
15	1	3	4.08375	1
16	1	1	4.18982142857143	1
16	1	2	4.18982142857143	1
16	1	3	4.18982142857143	1
17	1	1	4.29589285714286	1
17	1	2	4.29589285714286	1
17	1	3	4.29589285714286	1
18	1	1	4.40196428571428	1
18	1	2	4.40196428571428	1
18	1	3	4.40196428571428	1
19	1	1	4.50803571428571	1
19	1	2	4.50803571428571	1
19	1	3	4.50803571428571	1
20	1	1	4.56107142857143	1
20	1	2	4.56107142857143	1
20	1	3	4.56107142857143	1
21	1	1	4.72017857142857	1
21	1	2	4.72017857142857	1
21	1	3	4.72017857142857	1
22	1	1	4.87928571428571	1
22	1	2	4.87928571428571	1
22	1	3	4.87928571428571	1
23	1	1	5.03839285714286	1
23	1	2	5.03839285714286	1
23	1	3	5.03839285714286	1
24	1	1	5.1975	1
24	1	2	5.1975	1
24	1	3	5.1975	1
25	1	1	5.35660714285714	1
25	1	2	5.35660714285714	1
25	1	3	5.35660714285714	1
26	1	1	5.51571428571429	1
26	1	2	5.51571428571429	1
26	1	3	5.51571428571429	1
27	1	1	5.67482142857143	1
27	1	2	5.67482142857143	1
27	1	3	5.67482142857143	1
28	1	1	5.83392857142857	1
28	1	2	5.83392857142857	1
28	1	3	5.83392857142857	1
29	1	1	5.99303571428571	1
29	1	2	5.99303571428571	1
29	1	3	5.99303571428571	1
30	1	1	6.15214285714285	1
30	1	2	6.15214285714285	1
30	1	3	6.15214285714285	1
31	1	1	6.31125	1
31	1	2	6.31125	1
31	1	3	6.31125	1
32	1	1	6.47035714285714	1
32	1	2	6.47035714285714	1
32	1	3	6.47035714285714	1
33	1	1	6.62946428571428	1
33	1	2	6.62946428571428	1
33	1	3	6.62946428571428	1
34	1	1	6.78857142857143	1
34	1	2	6.78857142857143	1
34	1	3	6.78857142857143	1
35	1	1	6.89464285714286	1
35	1	2	6.89464285714286	1
35	1	3	6.89464285714286	1
36	1	1	7.10678571428571	1
36	1	2	7.10678571428571	1
36	1	3	7.10678571428571	1
37	1	1	7.31892857142857	1
37	1	2	7.31892857142857	1
37	1	3	7.31892857142857	1
38	1	1	7.53107142857143	1
38	1	2	7.53107142857143	1
38	1	3	7.53107142857143	1
39	1	1	7.74321428571428	1
39	1	2	7.74321428571428	1
39	1	3	7.74321428571428	1
40	1	1	8.06142857142857	1
40	1	2	8.06142857142857	1
40	1	3	8.06142857142857	1
41	1	1	8.06142857142857	1
41	1	2	8.06142857142857	1
41	1	3	8.06142857142857	1
42	1	1	8.06142857142857	1
42	1	2	8.06142857142857	1
42	1	3	8.06142857142857	1
43	1	1	8.06142857142857	1
43	1	2	8.06142857142857	1
43	1	3	8.06142857142857	1
44	1	1	8.06142857142857	1
44	1	2	8.06142857142857	1
44	1	3	8.06142857142857	1
45	1	1	8.06142857142857	1
45	1	2	8.06142857142857	1
45	1	3	8.06142857142857	1
46	1	1	8.06142857142857	1
46	1	2	8.06142857142857	1
46	1	3	8.06142857142857	1
47	1	1	8.06142857142857	1
47	1	2	8.06142857142857	1
47	1	3	8.06142857142857	1
48	1	1	8.06142857142857	1
48	1	2	8.06142857142857	1
48	1	3	8.06142857142857	1
49	1	1	8.06142857142857	1
49	1	2	8.06142857142857	1
49	1	3	8.06142857142857	1
50	1	1	8.06142857142857	1
50	1	2	8.06142857142857	1
