#TSV
#============Begin of sheet============
@Sheet=Boss掉落
MonsterID	StrateID	MonsterLvMin	MonsterLvMax	PlayerLootChance	CatLootChance	ItemID	ItemAmountMin	ItemAmountMax	DeleteWhenFull	BuffID	RltvProp	BindType	艾露挖掘绑定类型	权重1	数量1min	数量1max	权重2	数量2min	数量2max	权重3	数量3min	数量3max	权重4	数量4min	数量4max	权重5	数量5min	数量5max
60010	1	0	200	3	1	22796	1	1	1	0	100	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60010	1	0	200	3	1	22797	1	1	1	0	100	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60010	1	0	200	3	1	22798	1	1	1	0	100	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60010	1	0	200	3	1	22799	1	1	1	0	60	3	3	0	1	3	500	1	3	500	1	3	1000	1	3	1000	1	3
60010	1	0	200	3	1	22800	1	1	1	0	12	3	3	0	1	3	0	1	3	100	1	3	300	1	3	500	1	3
60010	1	0	200	3	1	22796	1	1	1	0	60	3	3	0	1	3	0	1	3	0	1	3	0	1	3	0	1	3
60010	1	0	200	3	1	22800	1	1	1	0	60	3	3	0	1	3	0	1	3	0	1	3	0	1	3	0	1	3
60010	2	0	200	3	1	15006	1	1	1	0	100	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60010	2	0	200	3	1	15007	1	1	1	0	100	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60010	2	0	200	3	1	15008	1	1	1	0	100	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
60010	2	0	200	3	1	15009	1	1	1	0	60	3	3	0	1	3	500	1	3	500	1	3	1000	1	3	1000	1	3
60010	2	0	200	3	1	15010	1	1	1	0	8	3	3	0	1	3	0	1	3	100	1	3	300	1	3	500	1	3
60010	3	0	200	3	1	22796	1	1	1	0	100	3	3	500	1	2	1000	1	2	1000	1	2	500	1	2	500	1	2
