#TSV
#============Begin of sheet============
@Sheet=Phonetics
Text	Phonetics
"\"太古之块·旷\"碎片"	tgzk
"\"太古之块·远\"碎片"	tgzk
"\"太古之块·邃\"碎片"	tgzk
100级兵士护石	100jbshs
100级城塞护石	100jcshs
100级女王护石	100jnwhs
100级斗士护石	100jdshs
100级铠玉	100jky
100级骑士护石	100jqshs
10万人奖励	10wrjl
10级城塞护石	10jcshs
10级女王护石	10jnwhs
10级斗士护石	10jdshs
10级礼包	10jlb
10级骑士护石	10jqshs
110级直升券	110jzsq
110级直升小火箭	110jzsxhj
17173中级礼包	17173zjlb
17173精品礼包	17173jplb
17173达人礼包	17173drlb
17173高级礼包	17173gjlb
1元感恩礼	1ygel
1元福利包	1yflb
1折购物券	1zgwq
20级兵士护石	20jbshs
20级城塞护石	20jcshs
20级女王护石	20jnwhs
20级斗士护石	20jdshs
20级礼包	20jlb
20级骑士护石	20jqshs
26支线提升防具	26zxtsfj
2万人奖励	2wrjl
3008支线学习武器招式	3008zxxxwqzs
30天VIP促销礼包	30tvipcxlb
30天会员首充礼包	30thysclb
30天龙舟喵时装礼包	30tlzmszlb
30级兵士护石	30jbshs
30级城塞护石	30jcshs
30级女王护石	30jnwhs
30级斗士护石	30jdshs
30级骑士护石	30jqshs
3506支线武器突破	3506zxwqtp
3564猎装初心者	3564lzcxz
360天VIP促销礼包	360tvipcxlb
360天会员首充礼包	360thysclb
365天龙舟喵时装礼包	365tlzmszlb
382见闻时代变迁	382jwsdbq
3DM中级礼包	3dmzjlb
3DM精品礼包	3dmjplb
3级艾露猫技能书礼包	3jalmjnslb
40级兵士护石	40jbshs
40级城塞护石	40jcshs
40级女王护石	40jnwhs
40级斗士护石	40jdshs
40级骑士护石	40jqshs
50级兵士护石	50jbshs
50级城塞护石	50jcshs
50级女王护石	50jnwhs
50级斗士护石	50jdshs
50级直升券	50jzsq
50级礼包	50jlb
50级骑士护石	50jqshs
5万人奖励	5wrjl
5折购物券	5zgwq
60级兵士护石	60jbshs
60级城塞护石	60jcshs
60级女王护石	60jnwhs
60级斗士护石	60jdshs
60级猎装兑换券	60jlzdhq
60级骑士护石	60jqshs
618狂欢分享礼包	618khfxlb
618狂欢缤纷礼包	618khbflb
618狂欢至尊礼包	618khzzlb
70级兵士护石	70jbshs
70级城塞护石	70jcshs
70级女王护石	70jnwhs
70级斗士护石	70jdshs
70级武器兑换券	70jwqdhq
70级骑士护石	70jqshs
75级武器兑换卷轴	75jwqdhjz
75级直升小火箭	75jzsxhj
7天迅龙时装包	7txlszb
7折购物券	7zgwq
80级兵士护石	80jbshs
80级城塞护石	80jcshs
80级女王护石	80jnwhs
80级斗士护石	80jdshs
80级铠玉	80jky
80级骑士护石	80jqshs
85级铠玉	85jky
8万人奖励	8wrjl
90天VIP促销礼包	90tvipcxlb
90天会员首充礼包	90thysclb
90级兵士护石	90jbshs
90级城塞护石	90jcshs
90级女王护石	90jnwhs
90级斗士护石	90jdshs
90级武器兑换卷轴	90jwqdhjz
90级直升小火箭	90jzsxhj
90级铠玉	90jky
90级骑士护石	90jqshs
95级铠玉	95jky
9999朵玫瑰	9999dmg
999朵玫瑰	999dmg
99朵玫瑰	99dmg
9朵玫瑰	9dmg
AMD奢华猎人礼	amdshlrl
AMD特级礼包	amdtjlb
AMD豪华猎人礼	amdhhlrl
AMD限定礼包	amdxdlb
FFF团团章	fffttz
HR提升券·伍	hrtsqw
HR提升券·叁	hrtsqs
HR提升券·壹	hrtsqy
HR提升券·肆	hrtsqs
HR提升券·贰	hrtsqe
LV1扩散弓（地型1）	lv1ksgdx1
LV1扩散弓（地型1）（龙属性）	lv1ksgdx1lsx
LV1贯通弓（天型1）	lv1gtgtx1
LV1贯通弓（天型1）（龙属性）	lv1gtgtx1lsx
LV1连射弓（天型1）	lv1lsgtx1
LV1连射弓（天型1）（龙属性）	lv1lsgtx1lsx
LV2扩散弓（地型2）	lv2ksgdx2
LV2扩散弓（地型2）（龙属性）	lv2ksgdx2lsx
LV2贯通弓（天型2）	lv2gtgtx2
LV2贯通弓（天型2）（龙属性）	lv2gtgtx2lsx
LV2连射弓（天型2）	lv2lsgtx2
LV2连射弓（天型2）（龙属性）	lv2lsgtx2lsx
LV3扩散弓（地型3）	lv3ksgdx3
LV3扩散弓（地型3）（龙属性）	lv3ksgdx3lsx
LV3贯通弓（天型3）	lv3gtgtx3
LV3贯通弓（天型3）（龙属性）	lv3gtgtx3lsx
LV3连射弓（天型3）	lv3lsgtx3
LV3连射弓（天型3）（龙属性）	lv3lsgtx3lsx
LV4 扩连贯（地型3+天型3）	lv4klgdx3tx3
LV4扩散弓（地型3）	lv4ksgdx3
LV4扩散弓（地型3）（龙属性）	lv4ksgdx3lsx
LV4贯通弓（天型3）	lv4gtgtx3
LV4贯通弓（天型3）（龙属性）	lv4gtgtx3lsx
LV4连射弓（天型3）	lv4lsgtx3
LV4连射弓（天型3）（龙属性）	lv4lsgtx3lsx
MHO新手礼包	mhoxslb
MHO老猎人回归礼	mhollrhgl
MHO豪华蓝钻升级礼包LV10	mhohhlzsjlblv10
MHO豪华蓝钻升级礼包LV15	mhohhlzsjlblv15
MHO豪华蓝钻升级礼包LV20	mhohhlzsjlblv20
MHO豪华蓝钻升级礼包LV25	mhohhlzsjlblv25
MHO豪华蓝钻升级礼包LV30	mhohhlzsjlblv30
MHO豪华蓝钻升级礼包LV35	mhohhlzsjlblv35
MHO豪华蓝钻升级礼包LV40	mhohhlzsjlblv40
MHO豪华蓝钻升级礼包LV5	mhohhlzsjlblv5
MHO豪华蓝钻升级礼包【LV10】	mhohhlzsjlblv10
MHO豪华蓝钻升级礼包【LV15】	mhohhlzsjlblv15
MHO豪华蓝钻升级礼包【LV20】	mhohhlzsjlblv20
MHO豪华蓝钻升级礼包【LV25】	mhohhlzsjlblv25
MHO豪华蓝钻升级礼包【LV30】	mhohhlzsjlblv30
MHO豪华蓝钻升级礼包【LV35】	mhohhlzsjlblv35
MHO豪华蓝钻升级礼包【LV40】	mhohhlzsjlblv40
MHO豪华蓝钻升级礼包【LV5】	mhohhlzsjlblv5
MHO豪华蓝钻年费礼包	mhohhlznflb
MHO豪华蓝钻开通礼包	mhohhlzktlb
MHO豪华蓝钻预约礼包	mhohhlzyylb
MHO豪蓝升级礼包LV110	mhohlsjlblv110
MHO豪蓝升级礼包LV20	mhohlsjlblv20
MHO豪蓝升级礼包LV50	mhohlsjlblv50
MHO豪蓝升级礼包LV90	mhohlsjlblv90
MHO豪蓝周礼包	mhohlzlb
MHO豪蓝年费礼	mhohlnfl
MHO豪蓝新手特权礼	mhohlxstql
MHO豪蓝新手礼包	mhohlxslb
MHO豪蓝日礼包	mhohlrlb
MHO豪蓝月礼包	mhohlylb
MHO豪蓝月费礼	mhohlyfl
MHO豪蓝月费礼包	mhohlyflb
MHO豪蓝特权专享礼	mhohltqzxl
MHO豪蓝用户限购礼包	mhohlyhxglb
MHO豪蓝签到3天礼	mhohlqd3tl
MHO豪蓝签到5天礼	mhohlqd5tl
MHO豪蓝签到7天礼	mhohlqd7tl
MHO豪蓝邀请1位有礼	mhohlyq1wyl
MHO豪蓝邀请2位有礼	mhohlyq2wyl
MHO豪蓝邀请3位有礼	mhohlyq3wyl
MHO金装礼盒	mhojzlh
NB7套装(头部)	nb7tztb
NB7套装(胸部)	nb7tzxb
NB7套装(腕部)	nb7tzwb
NB7套装(腰部)	nb7tzyb
NB7套装(腿部)	nb7tztb
NPC礼物1	npclw1
NPC礼物10	npclw10
NPC礼物11	npclw11
NPC礼物12	npclw12
NPC礼物13	npclw13
NPC礼物14	npclw14
NPC礼物15	npclw15
NPC礼物16	npclw16
NPC礼物17	npclw17
NPC礼物18	npclw18
NPC礼物19	npclw19
NPC礼物2	npclw2
NPC礼物20	npclw20
NPC礼物3	npclw3
NPC礼物4	npclw4
NPC礼物5	npclw5
NPC礼物6	npclw6
NPC礼物7	npclw7
NPC礼物8	npclw8
NPC礼物9	npclw9
PVP2双刀	pvp2sd
PVP2大剑	pvp2dj
PVP2太刀	pvp2td
PVP2弓	pvp2g
PVP2弩	pvp2n
PVP2片手	pvp2ps
PVP2特效双刀	pvp2txsd
PVP2特效大剑	pvp2txdj
PVP2特效太刀	pvp2txtd
PVP2特效弓	pvp2txg
PVP2特效弩	pvp2txn
PVP2特效片手	pvp2txps
PVP2特效狩猎笛	pvp2txsld
PVP2特效铳枪	pvp2txcq
PVP2特效锤	pvp2txc
PVP2特效长枪	pvp2txcq
PVP2狩猎笛	pvp2sld
PVP2铳枪	pvp2cq
PVP2锤	pvp2c
