#TSV
#============Begin of sheet============
@Sheet=ItemBox
盒子ID	名字	说明	规则说明	刷新时间	怪物选择是否开启	投入素材类别	最低消耗素材量	最高消耗素材量	每次消耗素材上升量	研究货币类型	研究货币数量	每日抽奖次数	是否可以手动刷新	每日刷新次数	刷新货币类型	刷新货币数量	VIP免费刷新次数（数组）	刷新物品等级数量（数组）	怪物素材稀有度（数组）	素材命中几率
1	怪物奇谈	嗯……别问啦！在研究什么是绝对不能告诉你们的！毕竟这样的研究内容是会被挑战的啦拿好报酬 继续去狩猎吧！	"【机密研究院之怪物奇谈 规则说明】\n1、在《怪物奇谈》中，猎人可投入指定点数的怪物素材和银币随机获得热门道具奖励；\n2、每天至多可以研究10次，每次研究投入的素材点数不同，货币数量不变。\n3、奖池每日可手动刷新5次，每次消耗200点券，VIP玩家额外享受免费的手动刷新次数，次数随等级变化。\n4、奖励面板每日20点自动刷新一次。抽奖次数、刷新次数、免费刷新次数每日凌晨3点重置。"	20	0	5	100	600	100	0	2000	20	1	5	2	200	0,1,1,1,1,1,2	0,1,1,2,2,2	0	0
2	奇异食谱	不经意的发现！原来食材与食材之间巧妙的搭配，会产生神奇的化学反应。这种能量甚至要比猫饭还要强大！梅城居民们对研究结果十分期待！但是研究所需的大量材料令学士无比头痛。猎人啊，立刻动身，搜集素材吧！	"【机密研究院之奇异食谱 规则说明】\n1、在《奇异食谱》中，猎人可投入指定点数的采集素材和金币随机获得道具奖励；\n2、每天至多可以研究10次，每次研究投入的素材点数不同，货币数量不变。\n3、奖池每日可手动刷新5次，每次消耗200点券，VIP玩家额外享受免费的手动刷新次数，次数随等级变化。\n4、奖励面板每日20点自动刷新一次；抽奖次数、刷新次数、免费刷新次数每日凌晨3点重置。"	20	0	7	100	600	100	1	500	20	1	5	2	200	0,1,1,1,1,1,2	0,1,2,2,2,1	0	0
3	奇珍异宝	本院内最诡秘的研究项目！每日来此处缴纳素材的猎人络绎不绝看着猎人们眼里闪烁着激动紧张的光芒你就会明白所有的辛苦付出，这里，都会给你最好的回报。	"【机密研究院之奇珍异宝 规则说明】\n1、在《奇异食谱》中，猎人可在选择目标怪物后，投入指定点数的怪物素材和点券随机获得目标怪物的珍稀素材或热门道具。\n2、每天至多可以研究20次，每次研究消耗的素材点数不同，货币数量不变。\n3、奖励面板除珍稀怪物素材外的道具，每日20点自动刷新。抽奖次数每日凌晨3点重置。"	20	1	5	100	500	100	2	500	20	0	0	0	0	0	0,3,0,2,1,2	7,10,13	28
#============End of sheet============

#============Begin of sheet============
@Sheet=ItemLottery
盒子ID	物品等级	权重	抽奖概率计算
1	1	30	0.01171875
1	2	120	0.046875
1	3	400	0.15625
1	4	300	0.1171875
1	5	20	0.0078125
2	1	30	0.01171875
2	2	120	0.046875
2	3	400	0.15625
2	4	300	0.1171875
2	5	20	0.0078125
3	1	50	0.01953125
3	2	220	0.0859375
3	3	300	0.1171875
3	4	200	0.078125
3	5	50	0.01953125
#============End of sheet============

#============Begin of sheet============
@Sheet=ItemPool
盒子ID	物品等级	数量	物品总表ID
1	1	20	21474
1	1	30	21474
1	1	1	40376
1	1	1	40062
1	1	5	40325
1	1	2	40178
1	1	1	40152
1	1	5	21451
1	1	5	10508
1	1	5	40142
1	2	40	21474
1	2	50	21474
1	2	2	40542
1	2	1	10805
1	2	1	10797
1	2	1	11876
1	2	1	3882
1	2	1	3881
1	2	1	3858
1	2	1	3853
1	2	1	10794
1	2	1	3877
1	2	1	3862
1	2	1	10312
1	2	1	10804
1	2	1	10801
1	2	1	3878
1	2	1	11779
1	2	1	11878
1	2	1	3864
1	2	1	11542
1	2	1	10800
1	2	1	3861
1	2	1	3884
1	2	1	10867
1	2	1	3876
1	2	1	3886
1	2	1	3879
1	2	5	40152
1	2	1	11342
1	2	1	40099
1	2	10	21451
1	2	1	3860
1	2	1	3883
1	2	1	10798
1	2	1	3885
1	2	1	10868
1	2	1	3857
1	2	2	40063
1	2	1	3872
1	2	1	10795
1	2	1	3871
1	2	1	3880
1	2	1	10799
1	2	1	11780
1	2	1	3866
1	2	1	3875
1	2	1	3865
1	2	1	10802
1	2	1	3859
1	2	1	10796
1	2	1	10803
1	2	10	10509
1	2	1	11877
1	2	10	40142
1	2	1	3863
1	3	5	9014
1	3	5	472
1	3	5	473
1	3	5	474
1	3	5	475
1	3	5	476
1	3	5	477
1	3	5	478
1	3	5	479
1	3	5	480
1	3	5	11604
1	3	5	11606
1	2	5	11474
1	3	2	403
1	3	5	40099
1	3	1	40300
1	3	2	3232
1	3	2	405
1	3	10	10510
1	3	1	9004
1	3	2	462
1	3	2	463
1	3	2	464
1	3	2	465
1	3	2	466
1	3	2	467
1	3	2	468
1	3	2	469
1	3	2	470
1	3	2	11603
1	3	2	11605
1	3	1	21423
1	3	1	4388
1	3	1	21424
1	3	1	21422
1	3	1	4387
1	3	1	21425
1	3	5	399
1	4	60	21474
1	4	70	21474
1	2	5	11475
1	3	10	11474
1	4	1	40241
1	4	1	1950
1	4	1	4391
1	4	5	405
1	4	1	4389
1	4	1	4390
1	5	80	21474
1	5	90	21474
1	5	100	21474
1	5	1	268
1	5	1	1431
1	5	1	23457
1	5	1	23584
1	5	1	40555
1	3	5	11476
