#TSV
#============Begin of sheet============
@Sheet=可选技能
技能ID	技能名称	技能组ID	是否未开放	类型ID	客户端分页ID	客户端分页名称	客户端分组ID	客户端分组名称	cost值	cost增量	被动技组	被动技能点数	被动技编号	是否默认激活	解锁赠送重置次数	需求银币	需求素材ID_1	需求素材数量_1	需求素材ID_2	需求素材数量_2	需求素材ID_3	需求素材数量_3	需求素材ID_4	需求素材数量_4	需求素材ID_5	需求素材数量_5	需求素材ID_6	需求素材数量_6	泛型素材类型_1	泛型素材点数_1	泛型素材类型_2	泛型素材点数_2	泛型素材类型_3	泛型素材点数_3	泛型素材类型_4	泛型素材点数_4	泛型素材类型_5	泛型素材点数_5	泛型素材类型_6	泛型素材点数_6	素材代币ID1	素材代币个数1	素材代币点数1	素材代币ID2	素材代币个数2	素材代币点数2	素材代币ID3	素材代币个数3	素材代币点数3	素材代币ID4	素材代币个数4	素材代币点数4	素材代币ID5	素材代币个数5	素材代币点数5	素材代币ID6	素材代币个数6	素材代币点数6
1001	Attack Up (S)	1		1	1	Attack	1	Basic Skills	20	1	1	10	1	0	1	800													52	35											21474	4	10															
1002	Attack Up (M)	1		1	1	Attack	1	Basic Skills	40	1	1	15	2	0	1	1600													55	45											21474	5	10															
1003	Attack Up (L)	1		1	1	Attack	1	Basic Skills	60	1	1	20	3	0	1	2400	21465	2											158	70											21474	4	10															
1004	Attack Up (XL)	1		1	1	Attack	1	Basic Skills	80	1	1	25	4	0	1	3200	21465	5											163	45	5	180									21474	3	10	21474	18	10												
1005	Attack Up (XXL)	1		1	1	Attack	1	Basic Skills	100	1	1	30	5	0	1	4000	21465	10											160	200	5	400									21474	10	10	21474	40	10												
1010	Defense Up (S)	1		1	2	Defense	1	Basic Skills	10	1	2	10	10	0	1	400													51	35											21474	4	10															
1011	Defense Up (M)	1		1	2	Defense	1	Basic Skills	20	1	2	15	11	0	1	800													53	35											21474	4	10															
1012	Defense Up (L)	1		1	2	Defense	1	Basic Skills	30	1	2	20	12	0	1	1200													129	50											21474	3	10															
1013	Defense Up (XL)	1		1	2	Defense	1	Basic Skills	40	1	2	25	13	0	1	1600													56	22											21474	3	10															
1014	Defense Up (XXL)	1		1	2	Defense	1	Basic Skills	50	1	2	30	14	0	1	2000	21465	2											151	70	5	140									21474	4	10	21474	14	10												
1019	Critical Eye +1	1		1	1	Attack	2	Enhancement Skills	20	1	3	10	19	0	1	800													52	35											21474	4	10															
1020	Critical Eye +2	1		1	1	Attack	2	Enhancement Skills	30	1	3	15	20	0	1	1200													53	40											21474	4	10															
1021	Critical Eye +3	1		1	1	Attack	2	Enhancement Skills	40	1	3	20	21	0	1	1600	21465	1											128	55											21474	3	10															
1022	Critical Eye +4	1		1	1	Attack	2	Enhancement Skills	50	1	3	25	22	0	1	2000	21465	2											157	70											21474	4	10															
1023	Critical Eye +5	1		1	1	Attack	2	Enhancement Skills	60	1	3	30	23	0	1	2400	21465	5											157	90											21474	5	10															
1029	Speed Eating	1		1	3	Status	2	Enhancement Skills	30	1	5	10	29	0	1	400													55	40											21474	4	10															
1034	Detect	1		1	3	Status	4	Special Skills	20	1	7	10	34	0	1	800													56	17											21474	2	10															
1037	Perception	1		1	3	Status	4	Special Skills	60	1	9	10	37	0	1	2400	21465	5											151	90	5	180									21474	5	10	21474	18	10												
1038	Health +1	1		1	2	Defense	1	Basic Skills	15	1	10	10	38	0	1	600													51	35											21474	4	10															
1039	Health +2	1		1	2	Defense	1	Basic Skills	30	1	10	15	39	0	1	1200													55	40											21474	4	10															
1040	Health +3	1		1	2	Defense	1	Basic Skills	45	1	10	20	40	0	1	1800	21465	1											138	60											21474	3	10															
1041	Health +4	1		1	2	Defense	1	Basic Skills	60	1	10	25	41	0	1	2400	21465	2											163	35	5	140									21474	2	10	21474	14	10												
1042	Health +5	1		1	2	Defense	1	Basic Skills	75	1	10	30	42	0	1	3000	21465	5											160	90	5	180									21474	5	10	21474	18	10												
1047	Rec Speed +1	1		1	2	Defense	2	Enhancement Skills	10	1	11	10	47	0	1	400													55	35											21474	4	10															
1048	Rec Speed +2	1		1	2	Defense	2	Enhancement Skills	20	1	11	15	48	0	1	800													51	35											21474	4	10															
1049	Rec Speed +3	1		1	2	Defense	2	Enhancement Skills	30	1	11	20	49	0	1	1200													158	50											21474	3	10															
1057	Water Atk +1	1		1	1	Attack	3	Element	20	1	13	10	57	0	1	800													52	35											21474	4	10															
1058	Water Atk +2	1		1	1	Attack	3	Element	40	1	13	15	58	0	1	1600	21465	1											124	55											21474	3	10															
1059	Water Atk +3	1		1	1	Attack	3	Element	60	1	13	20	59	0	1	2400	21465	2											163	35	5	140									21474	2	10	21474	14	10												
1061	Fire Atk +1	1		1	1	Attack	3	Element	20	1	14	10	61	0	1	800													55	35											21474	4	10															
1062	Fire Atk +2	1		1	1	Attack	3	Element	40	1	14	15	62	0	1	1600	21465	1											147	55											21474	3	10															
1063	Fire Atk +3	1		1	1	Attack	3	Element	60	1	14	20	63	0	1	2400	21465	2											156	70											21474	4	10															
1065	Thunder Atk +1	1		1	1	Attack	3	Element	20	1	15	10	65	0	1	800													57	35											21474	4	10															
1066	Thunder Atk +2	1		1	1	Attack	3	Element	40	1	15	15	66	0	1	1600	21465	1											143	55											21474	3	10															
1067	Thunder Atk +3	1		1	1	Attack	3	Element	60	1	15	20	67	0	1	2400	21465	2											143	70											21474	4	10															
1069	Dragon Atk +1	1		1	1	Attack	3	Element	20	1	16	10	69	0	1	800													56	17											21474	2	10															
1070	Dragon Atk +2	1		1	1	Attack	3	Element	40	1	16	15	70	0	1	1600	21465	1											134	55											21474	3	10															
1071	Dragon Atk +3	1		1	1	Attack	3	Element	60	1	16	20	71	0	1	2400	21465	2											147	70											21474	4	10															
1073	Ice Atk +1	1		1	1	Attack	3	Element	20	1	17	10	73	0	1	800													52	35											21474	4	10															
1074	Ice Atk +2	1		1	1	Attack	3	Element	40	1	17	15	74	0	1	1600	21465	1											154	27											21474	2	10															
1075	Ice Atk +3	1		1	1	Attack	3	Element	60	1	17	20	75	0	1	2400	21465	2											155	35											21474	2	10															
1077	Negate Paralysis	1		1	2	Defense	4	Special Skills	60	1	18	10	78	0	1	2400	21465	2											148	70											21474	4	10															
1079	Halve Stun	1		1	2	Defense	4	Special Skills	30	1	19	10	80	0	1	1200													55	40											21474	4	10															
1080	Negate Stun	1		1	2	Defense	4	Special Skills	60	1	19	15	81	0	1	2400	21465	2											160	70	5	140									21474	4	10	21474	14	10												
1082	Negate Sleep	1		1	2	Defense	4	Special Skills	50	1	20	10	84	0	1	2000	21465	2											152	70											21474	4	10															
1084	Halve Poison	1		1	2	Defense	4	Special Skills	20	1	21	10	86	0	1	800													52	35											21474	4	10															
1085	Negate Poison	1		1	2	Defense	4	Special Skills	40	1	21	15	87	0	1	1600	21465	2											161	70	5	140									21474	4	10	21474	14	10												
1089	Concentrate	1		1	1	Attack	2	Enhancement Skills	40	1	22	10	91	0	1	1600	21465	1											157	55											21474	3	10															
1091	Divine Blessing	1		1	2	Defense	2	Enhancement Skills	40	1	23	10	93	0	1	1600	21465	1											135	55											21474	3	10															
1098	Partbreaker	1		1	1	Attack	2	Enhancement Skills	50	1	25	10	100	0	1	2000	21465	5											157	90											21474	5	10															
1099	Destruction God	1		1	1	Attack	2	Enhancement Skills	80	1	25	15	101	0	1	3000	21465	8											160	150	5	300									21474	8	10	21474	30	10												
1100	Adrenaline +1	1		1	3	Status	2	Enhancement Skills	50	1	26	10	102	0	1	1600	21465	2											156	70											21474	4	10															
1104	Mind's Eye	1		1	1	Attack	4	Special Skills	60	1	27	10	106	0	1	2400	21465	5											161	90	5	180									21474	5	10	21474	18	10												
1106	Weakness Exploit	1		1	1	Attack	4	Special Skills	60	1	29	10	108	0	1	2400	21465	5											160	90	5	180									21474	5	10	21474	18	10												
1110	Halve Hunger	1		1	3	Status	4	Special Skills	15	1	31	10	112	0	1	600													55	35											21474	4	10															
1111	Negate Hunger	1		1	3	Status	4	Special Skills	30	1	31	20	113	0	1	1200													151	50	5	100									21474	3	10	21474	10	10												
1114	Constitution +2	1		1	2	Defense	2	Enhancement Skills	40	1	32	15	116	0	1	1600	21465	2											161	70	5	140									21474	4	10	21474	14	10												
1115	Constitution +3	1		1	2	Defense	2	Enhancement Skills	60	1	32	20	117	0	1	2400	21465	5											156	90											21474	5	10															
1118	Butterfly Form	1		1	3	Status	2	Enhancement Skills	60	1	33	10	120	0	1	2400	21465	2											134	70											21474	4	10															
1127	Status Atk +1	1		1	1	Attack	2	Enhancement Skills	50	1	36	10	129	0	1	2000	21465	2											159	35											21474	2	10															
1134	Trap Master	1		1	3	Status	4	Special Skills	30	1	38	10	136	0	1	1200													56	20											21474	2	10															
1138	Tremor Res	1		1	2	Defense	4	Special Skills	50	1	42	10	140	0	1	2000	21465	2											158	70											21474	4	10															
1139	See Through +1	1		1	2	Defense	4	Special Skills	30	1	43	10	141	0	1	1200													55	40											21474	4	10															
1140	See Through +2	1		1	2	Defense	4	Special Skills	60	1	43	15	142	0	1	2400	21465	5											155	45											21474	3	10															
1141	Attract	1		1	1	Attack	4	Special Skills	40	1	44	10	143	0	1	2000	21465	1											127	55											21474	3	10															
1145	Sneak	1		1	3	Status	4	Special Skills	60	1	48	10	147	0	1	2400	21465	2											159	35											21474	2	10															
1147	Earplugs	1		1	2	Defense	4	Special Skills	60	1	49	10	149	0	1	2400	21465	5											163	45	5	180									21474	3	10	21474	18	10												
1149	Guard +1	1		1	2	Defense	2	Enhancement Skills	40	1	50	10	151	0	1	1600	21465	2											151	70	5	140									21474	4	10	21474	14	10												
1152	Guard Boost	1		1	2	Defense	2	Enhancement Skills	50	1	51	10	154	0	1	2000	21465	2											151	70	5	140									21474	4	10	21474	14	10												
1155	Stam Recov +1	1		1	3	Status	2	Enhancement Skills	40	1	53	10	157	0	1	1600	21465	1											148	55											21474	3	10															
