#TSV
#============Begin of sheet============
@Sheet=场景互动技能

#============End of sheet============

#============Begin of sheet============
@Sheet=场景关卡技能

#============End of sheet============

#============Begin of sheet============
@Sheet=道具物品技能
skillid	level	技能描述	跳转状态	IsTown	IsAngry	group1	group2	group3	group4	FireModeName	前置条件	前置条件参数1	前置条件参数2	技能启动时效果类型	start参数1	start参数2	CBEvent	eventname	技能触发效果类型	trigger参数1	trigger参数2	技能结束时效果类型	stop参数1	stop参数2
200200105		投 高速沙尘弹	NORMAL_THROW		0	20002				Throw_HightSpeedDustBomber								Done						
200200106		投 灭鸟小刀	NORMAL_THROW		0	20002				Throw_BirdKnife								Done						
200200107		投 睡眠弹	NORMAL_THROW		0	20002				Throw_SleepGrenade								Done						
200200108		投 黏着弹	NORMAL_THROW		0	20002				Throw_GrumeGrenade								Done						
200200109		投 硬化鸟蛋	NORMAL_THROW		0	20002				Throw_BirdEgg								Done						
200200110		掷 广域烟雾玉	NORMAL_SMASH		0	20002												Done						
200200111		放 落雷针	NORMAL_SET_ON_GROUND		0	20002				Set_ThunderNeedle								Set						
200200112		投 广域睡眠弹	NORMAL_THROW		0	20002				Throw_FieldSleepGrenade								Done						
200200113		投 冰结手雷	NORMAL_THROW		0	20002				Throw_IcyGrenade								Done						
200200114		放 冰结爆桶	NORMAL_SET_ON_GROUND		0	20002												Set						
200200115		投 毒液手雷 · 试作型	NORMAL_THROW		0	20002				Throw_TestPoisionGrenade								Done						
200200116		投 毒液手雷 · 过充型	NORMAL_THROW		0	20002				Throw_BoostPoisionGrenade								Done						
200200117		投 灭火粉尘	NORMAL_THROW		0	20002				Throw_OutFireGrenade								Done						
200200118		投 爆桶奇面族小刀	NORMAL_SMASH		0	20002				Throw_BoomerParalysisKnife								Done						
200200119		投 驯鹿玉	NORMAL_THROW		0	20002				Throw_DeerJade								Done						
200200120		投 闪光弹	NORMAL_THROW		0	20002				Throw_FlashGrenadePVP								Done						
200200121		投 音爆弹	NORMAL_THROW		0	20002				Throw_NoiceGrenadePVP								Done						
200200122		投 重手雷	NORMAL_THROW		0	20002				Throw_Hi_GrenadePVP								Done						
200200123		投 广域睡眠弹	NORMAL_THROW		0	20002				Throw_FieldSleepGrenadePVP								Done						
200200124		投 睡眠手雷	NORMAL_THROW		0	20002				Throw_Mabi_GrenadePVP								Done						
200200125		投 投掷爆桶	NORMAL_THROW		0	20002				Throw_BombPVP								Done						
200200126		投 投掷地雷	NORMAL_THROW		0	20002				Throw_MinePVP								Done						
200200127		投 混乱丸	NORMAL_THROW		0	20002				Throw_ConfusePVP								Done						
200200128		投 烈酒	NORMAL_THROW		0	20002				Throw_WinePVP								Done						
200200129		掷 漫散型生命粉尘	NORMAL_SMASH		0	20002				Smash_HealPool								Done						
200200130		投 雪球	NORMAL_THROW		0	20002				Throw_SnowBall								Done						
200200131		投 冰球	NORMAL_THROW		0	20002				Throw_IceBall								Done						
200200132		投 冰锥	NORMAL_THROW		0	20002				Throw_IceCone								Done						
200200133		掷 冲锋玉	NORMAL_SMASH		0	20008				Throw_ColorGrenade								Done						
200200134		投 礼装弹	NORMAL_THROW		0	20002				Throw_Reisou								Done						
200200135		轰炸机	NORMAL_THROW		0	20002				FlyModBombThrow								Done						
#============End of sheet============

