#TSV
#============Begin of sheet============
@Sheet=快捷栏信息
ID	FeatureTags	名称	对应按键	对应界面ID	对应解锁值	对应帧位置
1		Character	ui_playerproperty	2	0	1
2		Inventory	ui_inventoryuishortcut	0	0	2
3		Quests	ui_taskuishortcut	16	0	3
4		Weapons	ui_Skillvideo	56	17	7
5		Quest Board	ui_hunterRoad	166	0	8
6		Achievements	ui_ActionPanel	69	3	4
7		Combination	ui_manufacture	31	2	9
8		Felynes	ui_petlist	45	1	5
9		Guild	ui_guild	68	35	10
10		Clan	ui_clan	127	25	17
11		Social	ui_social	18	0	12
12		Leaderboards	ui_RankingList	97	0	13
13		System	ui_systemconfig	28	0	14
14		Shop	ui_Mart	124	0	15
15		Weapon Talents	ui_WeaponTalent	98	99	8
16		Map		59	99	11
17		Map	ui_WorldMap	238	0	18
18	SoulStone	Refining	ui_SoulStone	245	0	21
19		Ecology	ui_IlluStrate	248	0	20
20	Wardrobe	Closet	ui_Wardrobe	271	0	22
#============End of sheet=======
